cluster,action,period,N,resolved,dir_acc,edge
0,FADE,2024H1,54,42,0.5714285714285714,0.1111111111111111
0,FADE,2024H2,64,51,0.49019607843137253,-0.015625
0,FADE,2025,114,93,0.5053763440860215,0.008771929824561403
0,FADE,2026,57,40,0.425,-0.10526315789473684
4,FOLLOW,2024H1,23,23,0.6086956521739131,0.21739130434782608
4,FOLLOW,2024H2,19,17,0.7058823529411765,0.3684210526315789
4,FOLLOW,2025,33,31,0.6129032258064516,0.21212121212121213
4,FOLLOW,2026,22,16,0.6875,0.2727272727272727
5,FADE,2024H1,26,24,0.625,0.23076923076923078
5,FADE,2024H2,41,33,0.45454545454545453,-0.07317073170731707
5,FADE,2025,64,53,0.4528301886792453,-0.078125
5,FADE,2026,49,40,0.525,0.04081632653061224
COMBINED,DISCOVERY_RULE,2024H1,103,89,0.5955056179775281,0.1650485436893204
COMBINED,DISCOVERY_RULE,2024H2,124,101,0.5148514851485149,0.024193548387096774
COMBINED,DISCOVERY_RULE,2025,211,177,0.5084745762711864,0.014218009478672985
COMBINED,DISCOVERY_RULE,2026,128,96,0.5104166666666666,0.015625
