module,year,source,decision,S,dir,outcome,pnlR,cp,runner2,dur_min
LATE_IGNITION_ENDO,2024,2024-01-02 17:35:00,2024-01-02 17:40:00,8.818844225605845,-1,SL,-1.0,0,0,3.0
LATE_IGNITION_ENDO,2024,2024-01-11 18:20:00,2024-01-11 18:25:00,9.331954323126634,-1,CP_BE,0.5,1,0,4.0
LATE_IGNITION_ENDO,2024,2024-01-29 01:10:00,2024-01-29 01:15:00,7.588111893623755,1,RUNNER2,1.5,1,1,14.0
LATE_IGNITION_ENDO,2024,2024-01-29 16:40:00,2024-01-29 16:45:00,8.049202514415546,-1,CP_BE,0.5,1,0,10.0
LATE_IGNITION_ENDO,2024,2024-03-20 20:00:00,2024-03-20 20:05:00,7.5375553099772095,1,RUNNER2,1.5,1,1,2.0
LATE_IGNITION_ENDO,2024,2024-03-21 00:15:00,2024-03-21 00:20:00,9.293444216407432,1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2024,2024-04-04 22:35:00,2024-04-04 22:40:00,13.472545453880382,-1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2024,2024-04-08 01:15:00,2024-04-08 01:20:00,15.951589745333669,-1,CP_BE,0.5,1,0,10.0
LATE_IGNITION_ENDO,2024,2024-04-15 01:05:00,2024-04-15 01:10:00,21.75380713109583,1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2024,2024-04-23 04:35:00,2024-04-23 04:40:00,17.433618650456747,-1,RUNNER2,1.5,1,1,3.0
LATE_IGNITION_ENDO,2024,2024-05-20 04:00:00,2024-05-20 04:05:00,12.305866533599294,1,CP_BE,0.5,1,0,7.0
LATE_IGNITION_ENDO,2024,2024-06-06 04:10:00,2024-06-06 04:15:00,11.631475967110834,1,RUNNER2,1.5,1,1,16.0
LATE_IGNITION_ENDO,2024,2024-06-07 11:00:00,2024-06-07 11:05:00,12.336964055168368,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2024,2024-07-19 03:10:00,2024-07-19 03:15:00,13.094446445563744,-1,CP_BE,0.5,1,0,14.0
LATE_IGNITION_ENDO,2024,2024-08-22 16:30:00,2024-08-22 16:35:00,12.89744313237605,-1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2024,2024-08-23 17:00:00,2024-08-23 17:05:00,12.160902378093516,1,RUNNER2,1.5,1,1,5.0
LATE_IGNITION_ENDO,2024,2024-09-06 19:00:00,2024-09-06 19:05:00,11.228437810963792,-1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2024,2024-10-28 00:00:00,2024-10-28 00:05:00,11.748699971410408,-1,CP_BE,0.5,1,0,7.0
LATE_IGNITION_ENDO,2024,2024-10-28 00:10:00,2024-10-28 00:15:00,11.748699971410408,-1,TIMEOUT15,0.8511580025308553,0,0,15.0
LATE_IGNITION_ENDO,2024,2024-11-06 08:25:00,2024-11-06 08:30:00,12.238231939658164,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2024,2024-11-07 03:15:00,2024-11-07 03:20:00,17.93910252052724,-1,CP_BE,0.5,1,0,5.0
LATE_IGNITION_ENDO,2024,2024-11-25 05:25:00,2024-11-25 05:30:00,15.629997520597003,-1,CP_BE,0.5,1,0,3.0
LATE_IGNITION_ENDO,2024,2024-11-26 01:40:00,2024-11-26 01:45:00,19.777563793015904,-1,TIMEOUT15,-0.19820439165436296,0,0,15.0
LATE_IGNITION_ENDO,2024,2024-11-28 03:05:00,2024-11-28 03:10:00,16.94039890845494,-1,CP_BE,0.5,1,0,18.0
LATE_IGNITION_ENDO,2024,2024-12-02 02:40:00,2024-12-02 02:45:00,13.972205774671906,-1,SL,-1.0,0,0,4.0
LATE_IGNITION_ENDO,2024,2024-12-06 03:05:00,2024-12-06 03:10:00,12.97213420221239,-1,CP_BE,0.5,1,0,13.0
LATE_IGNITION_ENDO,2024,2024-12-09 01:00:00,2024-12-09 01:05:00,13.81869502801325,1,CP_BE,0.5,1,0,3.0
LATE_IGNITION_ENDO,2024,2024-12-18 21:00:00,2024-12-18 21:05:00,10.9331093119362,-1,RUNNER2,1.5,1,1,2.0
LATE_IGNITION_ENDO,2025,2025-01-07 17:00:00,2025-01-07 17:05:00,12.674413052440473,-1,CP_BE,0.5,1,0,8.0
LATE_IGNITION_ENDO,2025,2025-01-08 19:35:00,2025-01-08 19:40:00,11.48557400499011,-1,SL,-1.0,0,0,1.0
LATE_IGNITION_ENDO,2025,2025-02-11 04:35:00,2025-02-11 04:40:00,15.88393298270476,-1,CP_BE,0.5,1,0,2.0
LATE_IGNITION_ENDO,2025,2025-04-01 09:00:00,2025-04-01 09:05:00,16.575504606490277,-1,TIMEOUT15,-0.24855955205042513,0,0,15.0
LATE_IGNITION_ENDO,2025,2025-04-23 01:00:00,2025-04-23 01:05:00,36.93036436116218,-1,CP_BE,0.5,1,0,1.0
LATE_IGNITION_ENDO,2025,2025-05-07 01:05:00,2025-05-07 01:10:00,28.928716144957324,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2025,2025-05-07 01:25:00,2025-05-07 01:30:00,28.928716144957324,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2025,2025-05-07 03:40:00,2025-05-07 03:45:00,28.928716144957324,-1,SL,-1.0,0,0,9.0
LATE_IGNITION_ENDO,2025,2025-05-12 01:00:00,2025-05-12 01:05:00,30.689254652196865,-1,RUNNER2,1.5,1,1,40.0
LATE_IGNITION_ENDO,2025,2025-05-12 01:10:00,2025-05-12 01:15:00,30.689254652196865,-1,RUN_TIMEOUT60,0.8108579894858101,1,0,60.0
LATE_IGNITION_ENDO,2025,2025-05-29 02:10:00,2025-05-29 02:15:00,22.02357136164117,-1,CP_BE,0.5,1,0,3.0
LATE_IGNITION_ENDO,2025,2025-06-12 10:35:00,2025-06-12 10:40:00,21.19428052990612,-1,RUNNER2,1.5,1,1,4.0
LATE_IGNITION_ENDO,2025,2025-06-13 03:05:00,2025-06-13 03:10:00,22.23157997226804,1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2025,2025-06-16 16:50:00,2025-06-16 16:55:00,21.968157444798685,-1,CP_BE,0.5,1,0,2.0
LATE_IGNITION_ENDO,2025,2025-06-23 01:00:00,2025-06-23 01:05:00,18.967567528758007,1,CP_BE,0.5,1,0,1.0
LATE_IGNITION_ENDO,2025,2025-06-30 01:25:00,2025-06-30 01:30:00,18.928526858469954,-1,SL,-1.0,0,0,1.0
LATE_IGNITION_ENDO,2025,2025-09-01 04:55:00,2025-09-01 05:00:00,13.468946636456888,1,RUNNER2,1.5,1,1,7.0
LATE_IGNITION_ENDO,2025,2025-09-04 06:10:00,2025-09-04 06:15:00,18.678260301077348,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2025,2025-09-09 09:05:00,2025-09-09 09:10:00,20.15824748768511,-1,SL,-1.0,0,0,5.0
LATE_IGNITION_ENDO,2025,2025-09-17 21:00:00,2025-09-17 21:05:00,16.484655588465397,1,RUNNER2,1.5,1,1,3.0
LATE_IGNITION_ENDO,2025,2025-09-18 09:10:00,2025-09-18 09:15:00,19.311912655925067,-1,TIMEOUT15,-0.33347292496286435,0,0,15.0
LATE_IGNITION_ENDO,2025,2025-09-23 21:55:00,2025-09-23 22:00:00,19.861567551871964,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2025,2025-10-06 02:00:00,2025-10-06 02:05:00,23.970316527437028,1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2025,2025-10-22 03:00:00,2025-10-22 03:05:00,59.88402162898648,-1,RUNNER2,1.5,1,1,5.0
LATE_IGNITION_ENDO,2025,2025-11-12 17:10:00,2025-11-12 17:15:00,27.374133782300408,1,CP_BE,0.5,1,0,6.0
LATE_IGNITION_ENDO,2025,2025-11-13 20:30:00,2025-11-13 20:35:00,32.07688158576868,-1,RUNNER2,1.5,1,1,3.0
LATE_IGNITION_ENDO,2026,2026-01-19 01:00:00,2026-01-19 01:05:00,33.81246214609477,1,RUNNER2,1.5,1,1,11.0
LATE_IGNITION_ENDO,2026,2026-02-02 03:05:00,2026-02-02 03:10:00,149.1776272932513,-1,CP_BE,0.5,1,0,5.0
LATE_IGNITION_ENDO,2026,2026-02-12 18:10:00,2026-02-12 18:15:00,59.97499064944822,-1,RUNNER2,1.5,1,1,3.0
LATE_IGNITION_ENDO,2026,2026-03-02 01:00:00,2026-03-02 01:05:00,45.710929306263,1,CP_BE,0.5,1,0,1.0
LATE_IGNITION_ENDO,2026,2026-03-03 13:05:00,2026-03-03 13:10:00,61.17367354334924,-1,SL,-1.0,0,0,0.0
LATE_IGNITION_ENDO,2026,2026-03-23 13:05:00,2026-03-23 13:10:00,95.83853796177884,1,RUNNER2,1.5,1,1,1.0
LATE_IGNITION_ENDO,2026,2026-04-02 08:45:00,2026-04-02 08:50:00,70.34582507623747,-1,TIMEOUT15,0.37187707972219936,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-04-13 01:00:00,2026-04-13 01:05:00,49.08600029530072,-1,SL,-1.0,0,0,2.0
LATE_IGNITION_ENDO,2026,2026-04-20 01:00:00,2026-04-20 01:05:00,38.08663998302158,-1,SL,-1.0,0,0,1.0
LATE_IGNITION_ENDO,2026,2026-05-04 13:05:00,2026-05-04 13:10:00,39.21075376646781,-1,RUNNER2,1.5,1,1,12.0
LATE_IGNITION_ENDO,2026,2026-05-25 01:00:00,2026-05-25 01:05:00,34.52595301532754,1,TIMEOUT15,0.21896571534582887,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-06-09 17:40:00,2026-06-09 17:45:00,36.983847137773,-1,SL,-1.0,0,0,6.0
LATE_IGNITION_ENDO,2026,2026-06-11 20:30:00,2026-06-11 20:35:00,49.37460658637536,1,CP_BE,0.5,1,0,15.0
LATE_IGNITION_ENDO,2026,2026-06-15 01:00:00,2026-06-15 01:05:00,52.42595557267015,1,TIMEOUT15,0.3807274427708162,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-06-17 21:00:00,2026-06-17 21:05:00,35.963937771708444,-1,RUNNER2,1.5,1,1,3.0
LATE_IGNITION_ENDO,2026,2026-06-30 09:30:00,2026-06-30 09:35:00,40.1285532960159,1,TIMEOUT15,0.19636890325626447,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-07-13 01:10:00,2026-07-13 01:15:00,32.928106121380715,-1,TIMEOUT15,-0.38022229258636875,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-07-27 01:00:00,2026-07-27 01:05:00,28.34935914378207,1,TIMEOUT15,-0.23280949549958194,0,0,15.0
LATE_IGNITION_ENDO,2026,2026-08-19 15:35:00,2026-08-19 15:40:00,32.872590175385135,1,CP_BE,0.5,1,0,7.0
BB_PERSIST_HTF,2024,2024-01-25 15:30:00,2024-01-25 15:40:00,7.788007941526584,1,SL,-1.0,0,0,9.0
BB_PERSIST_HTF,2024,2024-01-31 16:40:00,2024-01-31 16:50:00,7.763100200496805,1,CP_BE,0.5,1,0,8.0
BB_PERSIST_HTF,2024,2024-03-04 15:55:00,2024-03-04 16:05:00,8.528157883553721,1,RUNNER2,1.5,1,1,24.0
BB_PERSIST_HTF,2024,2024-05-02 16:05:00,2024-05-02 16:15:00,13.864051759072808,-1,TIMEOUT15,-0.39815200461771655,0,0,15.0
BB_PERSIST_HTF,2024,2024-05-13 16:40:00,2024-05-13 16:50:00,12.490739175817628,-1,SL,-1.0,0,0,9.0
BB_PERSIST_HTF,2024,2024-05-17 16:00:00,2024-05-17 16:10:00,10.84704040427693,1,RUNNER2,1.5,1,1,7.0
BB_PERSIST_HTF,2024,2024-05-20 04:00:00,2024-05-20 04:10:00,12.305866533599294,1,SL,-1.0,0,0,2.0
BB_PERSIST_HTF,2024,2024-05-20 08:40:00,2024-05-20 08:50:00,12.514018924056474,1,SL,-1.0,0,0,14.0
BB_PERSIST_HTF,2024,2024-05-20 15:05:00,2024-05-20 15:15:00,12.915874715195288,-1,RUNNER2,1.5,1,1,7.0
BB_PERSIST_HTF,2024,2024-05-21 04:55:00,2024-05-21 05:05:00,14.345244891209244,-1,TIMEOUT15,-0.030672184639395108,0,0,15.0
BB_PERSIST_HTF,2024,2024-05-22 17:05:00,2024-05-22 17:15:00,13.62451453703991,-1,CP_BE,0.5,1,0,7.0
BB_PERSIST_HTF,2024,2024-05-23 08:50:00,2024-05-23 09:00:00,14.599357811651332,-1,CP_BE,0.5,1,0,4.0
BB_PERSIST_HTF,2024,2024-06-06 04:10:00,2024-06-06 04:20:00,11.631475967110834,1,RUNNER2,1.5,1,1,11.0
BB_PERSIST_HTF,2024,2024-06-26 16:05:00,2024-06-26 16:15:00,9.9212249726091,-1,RUNNER2,1.5,1,1,11.0
BB_PERSIST_HTF,2024,2024-07-03 15:30:00,2024-07-03 15:40:00,9.91158899183256,1,SL,-1.0,0,0,4.0
BB_PERSIST_HTF,2024,2024-07-12 15:30:00,2024-07-12 15:40:00,11.06204762550877,-1,SL,-1.0,0,0,9.0
BB_PERSIST_HTF,2024,2024-07-15 18:00:00,2024-07-15 18:10:00,11.554203394510491,1,TIMEOUT15,0.013847774228716794,0,0,15.0
BB_PERSIST_HTF,2024,2024-07-19 16:05:00,2024-07-19 16:15:00,13.999426148785558,-1,TIMEOUT15,0.16000655856840965,0,0,15.0
BB_PERSIST_HTF,2024,2024-07-25 04:15:00,2024-07-25 04:25:00,12.125838379322522,-1,RUNNER2,1.5,1,1,13.0
BB_PERSIST_HTF,2024,2024-07-31 21:40:00,2024-07-31 21:50:00,11.542106259375087,1,TIMEOUT15,-0.19060645869671972,0,0,15.0
BB_PERSIST_HTF,2024,2024-08-01 04:10:00,2024-08-01 04:20:00,12.27421407058363,1,CP_BE,0.5,1,0,13.0
