variant,year,n_train,N,base15,auc15,brier15,mean_p15,level_n,level_hit,fresh_n,fresh_hit,fresh_mean_p
FIXED10,2024,27033,67956,0.010374359879922303,0.8790221580190061,0.009824137466508417,0.006244496741174226,5,0.4,4,0.5,0.8124231239082753
FIXED10,2025,40625,67584,0.07328657670454546,0.8692379150042879,0.05518502235100006,0.06704164984178373,190,0.7210526315789474,64,0.75,0.812904920248745
FIXED10,2026,54139,44605,0.2878376863580316,0.8272799518768558,0.1410030996421598,0.30205351154958454,4707,0.8604206500956023,610,0.7131147540983607,0.8095771802038972
M5_1.5ATR,2024,27033,67956,0.35411148390134795,0.699592957162988,0.2026163605064683,0.34473704267573524,1392,0.8010057471264368,685,0.8175182481751825,0.8153133198751995
M5_1.5ATR,2025,40625,67584,0.35175485321969696,0.6720318882200835,0.20902616709708682,0.3303498712379933,826,0.7929782082324455,477,0.8176100628930818,0.813536448696033
M5_1.5ATR,2026,54139,44605,0.34135186638269255,0.6713244045788722,0.20553831422219315,0.34572128305314476,714,0.8179271708683473,413,0.8038740920096852,0.8137918073010096
H1_0.5ATR,2024,27033,67956,0.23824239213608805,0.801869067906353,0.13738712406128928,0.22894677988464118,3050,0.8281967213114754,604,0.7996688741721855,0.8096613999151284
H1_0.5ATR,2025,40625,67584,0.23811848958333334,0.754581902134329,0.15049461206608838,0.21618493038493058,1780,0.8219101123595506,454,0.8237885462555066,0.8062812790535907
H1_0.5ATR,2026,54139,44605,0.22338302880842956,0.757853030587955,0.14373405205795758,0.22213609102443074,947,0.8099260823653643,275,0.7927272727272727,0.8145869549091256
H4_0.25ATR,2024,26966,67956,0.22644063805992112,0.8142078007409971,0.1288479854889699,0.21961671066134525,3393,0.8272914824638963,648,0.7854938271604939,0.8113750216584797
H4_0.25ATR,2025,40558,67584,0.23404947916666666,0.7649767794127427,0.14585672870650415,0.21712101451800542,2238,0.8145665773011618,531,0.7853107344632768,0.8065523224007378
H4_0.25ATR,2026,54072,44605,0.21176998094384036,0.776974986811223,0.13445781970173828,0.21773973762929943,1267,0.8058405682715075,323,0.7647058823529411,0.8164512040923867
D1_0.10ATR,2024,26355,67956,0.1965536523632939,0.8306320481039925,0.11419310661981283,0.19212404432910501,2815,0.8351687388987566,537,0.7616387337057728,0.8117494537502691
D1_0.10ATR,2025,39947,67584,0.22966974431818182,0.7983934463854809,0.1359015841644769,0.20634012356780995,2572,0.8425349922239502,511,0.8082191780821918,0.8109689013728262
D1_0.10ATR,2026,53461,44605,0.1905391772222845,0.8203267526587775,0.11312425201150803,0.20331318194638393,1869,0.8592830390583199,310,0.7709677419354839,0.8132758922750454
