variant,quarter,N,median_target,base15,level_n,level_hit,fresh_n,fresh_hit
FIXED10,2024Q1,16567,10.0,0.004768515724029697,3,0.3333333333333333,2,0.5
FIXED10,2024Q2,17100,10.0,0.0152046783625731,2,0.5,2,0.5
FIXED10,2024Q3,17364,10.0,0.012036397143515318,0,,0,
FIXED10,2024Q4,16925,10.0,0.009276218611521418,0,,0,
FIXED10,2025Q1,16487,10.0,0.010614423485170135,0,,0,
FIXED10,2025Q2,16835,10.0,0.08476388476388476,49,0.4489795918367347,15,0.3333333333333333
FIXED10,2025Q3,17346,10.0,0.020292862907875013,4,0.75,3,1.0
FIXED10,2025Q4,16916,10.0,0.1772877748876803,137,0.8175182481751825,46,0.8695652173913043
FIXED10,2026Q1,16486,10.0,0.4329127744753124,4008,0.876746506986028,395,0.7291139240506329
FIXED10,2026Q2,16816,10.0,0.23549000951474786,585,0.7521367521367521,174,0.6551724137931034
FIXED10,2026Q3,11303,10.0,0.15411837565248165,114,0.8421052631578947,41,0.8048780487804879
M5_1.5ATR,2024Q1,16567,1.5013753775768577,0.35993239572644414,247,0.805668016194332,136,0.8455882352941176
M5_1.5ATR,2024Q2,17100,2.478847931121668,0.3456140350877193,407,0.7542997542997543,206,0.7766990291262136
M5_1.5ATR,2024Q3,17364,2.3322547972320806,0.35855793595945634,382,0.824607329842932,176,0.8465909090909091
M5_1.5ATR,2024Q4,16925,2.55254561323662,0.35243722304283603,356,0.8258426966292135,167,0.8143712574850299
M5_1.5ATR,2025Q1,16487,2.7129331226993614,0.35239885970764845,183,0.8142076502732241,106,0.8490566037735849
M5_1.5ATR,2025Q2,16835,4.958392641559337,0.35075735075735076,202,0.7722772277227723,111,0.8108108108108109
M5_1.5ATR,2025Q3,17346,3.206251248392703,0.3533379453476306,210,0.7857142857142857,112,0.7767857142857143
M5_1.5ATR,2025Q4,16916,6.596219567801206,0.35049657129344997,231,0.8008658008658008,148,0.831081081081081
M5_1.5ATR,2026Q1,16486,10.591189853717724,0.3396821545553803,269,0.8327137546468402,153,0.8235294117647058
M5_1.5ATR,2026Q2,16816,7.91035272720247,0.3392007611798287,240,0.7958333333333333,141,0.7872340425531915
M5_1.5ATR,2026Q3,11303,6.449553425959691,0.34698752543572503,205,0.824390243902439,119,0.7983193277310925
H1_0.5ATR,2024Q1,16567,2.059030031378241,0.23269149514094284,827,0.8331318016928658,139,0.8345323741007195
H1_0.5ATR,2024Q2,17100,3.277803834846615,0.2352046783625731,921,0.8175895765472313,179,0.770949720670391
H1_0.5ATR,2024Q3,17364,2.9862112953565516,0.24700529831835982,795,0.8477987421383648,155,0.8193548387096774
H1_0.5ATR,2024Q4,16925,3.238615841910573,0.23775480059084195,507,0.8086785009861933,131,0.7786259541984732
H1_0.5ATR,2025Q1,16487,3.4310377397126635,0.24795293261357434,486,0.8374485596707819,111,0.8558558558558559
H1_0.5ATR,2025Q2,16835,6.291507148998407,0.23213543213543214,347,0.8069164265129684,101,0.801980198019802
H1_0.5ATR,2025Q3,17346,4.0676147445734445,0.2329643721895538,518,0.8223938223938224,118,0.8220338983050848
H1_0.5ATR,2025Q4,16916,8.00033385085881,0.23977299598013715,429,0.8158508158508159,124,0.8145161290322581
H1_0.5ATR,2026Q1,16486,13.185220184806559,0.22012616765740628,428,0.8177570093457944,120,0.8166666666666667
H1_0.5ATR,2026Q2,16816,9.801616353126812,0.2244291151284491,324,0.7746913580246914,94,0.7446808510638298
H1_0.5ATR,2026Q3,11303,8.342410328669606,0.2265770149517827,195,0.8512820512820513,61,0.819672131147541
H4_0.25ATR,2024Q1,16567,2.1823067087267476,0.21579042675197682,868,0.8191244239631337,146,0.7876712328767124
H4_0.25ATR,2024Q2,17100,3.404302537431693,0.2222222222222222,979,0.8243105209397344,176,0.7727272727272727
H4_0.25ATR,2024Q3,17364,3.065114372761982,0.23750287952084773,906,0.8554083885209713,176,0.8352272727272727
H4_0.25ATR,2024Q4,16925,3.319053515153365,0.2297784342688331,640,0.803125,150,0.74
H4_0.25ATR,2025Q1,16487,3.4519633474546545,0.24601200946200036,573,0.8464223385689355,136,0.8161764705882353
H4_0.25ATR,2025Q2,16835,6.578814998106642,0.22073062073062072,450,0.8133333333333334,115,0.8173913043478261
H4_0.25ATR,2025Q3,17346,4.082592797387505,0.23538567969560706,658,0.78419452887538,136,0.7132352941176471
H4_0.25ATR,2025Q4,16916,7.7371028504723105,0.2342752423740837,557,0.8186714542190305,144,0.7986111111111112
H4_0.25ATR,2026Q1,16486,13.59895573850414,0.2162440858910591,677,0.8212703101920237,149,0.7986577181208053
H4_0.25ATR,2026Q2,16816,9.969018296495351,0.21116793529971456,379,0.7493403693931399,119,0.6974789915966386
H4_0.25ATR,2026Q3,11303,8.911742341030008,0.20613996284172342,211,0.8578199052132701,55,0.8181818181818182
D1_0.10ATR,2024Q1,16567,2.370085330125873,0.18047926601074424,663,0.8265460030165912,120,0.75
D1_0.10ATR,2024Q2,17100,3.641001658935219,0.20461988304093567,854,0.8313817330210773,177,0.7796610169491526
D1_0.10ATR,2024Q3,17364,3.3352498567347846,0.194713199723566,728,0.8626373626373627,127,0.8031496062992126
D1_0.10ATR,2024Q4,16925,3.7060784643060822,0.20602658788774003,570,0.8157894736842105,113,0.6991150442477876
D1_0.10ATR,2025Q1,16487,3.6217849244226294,0.22775520106750774,434,0.8271889400921659,96,0.8541666666666666
D1_0.10ATR,2025Q2,16835,7.064053839846564,0.22892782892782892,753,0.8446215139442231,150,0.7866666666666666
D1_0.10ATR,2025Q3,17346,4.664141892668711,0.18828548368499942,491,0.8187372708757638,99,0.8484848484848485
D1_0.10ATR,2025Q4,16916,8.134810108883126,0.2747103334121542,894,0.8612975391498882,166,0.7771084337349398
D1_0.10ATR,2026Q1,16486,16.16731516048439,0.259189615431275,1486,0.8808882907133243,197,0.7817258883248731
D1_0.10ATR,2026Q2,16816,11.595164036415866,0.144267364414843,229,0.7074235807860262,75,0.68
D1_0.10ATR,2026Q3,11303,9.800868607241942,0.1592497567017606,154,0.8766233766233766,38,0.8947368421052632
