target,year,N,median_target,q25,q75,hit15
M5_1.5ATR,2022,70171,1.740680062042739,1.3169074469195812,2.3937219966698278,0.34537059469011416
M5_1.5ATR,2023,69907,1.5373617965246453,1.146844104692835,2.1370457047634774,0.345516185789692
M5_1.5ATR,2024,70288,2.229642761943326,1.6393602687984292,3.029029010871422,0.3470578192579103
M5_1.5ATR,2025,69907,4.07891062156934,2.8405247170675376,5.916685708055043,0.3465175161285708
M5_1.5ATR,2026,46135,8.033524140493885,6.18034751903414,11.145089325837386,0.33558036198114227
H1_0.5ATR,2022,70017,2.271445016481317,1.920971085584665,2.7088846621574083,0.23035834154562462
H1_0.5ATR,2023,69907,2.0630147442071656,1.7086014983898494,2.4546491381146915,0.22991975052569844
H1_0.5ATR,2024,70288,2.9456931692634214,2.430211224551968,3.4926160473413645,0.23137662189847485
H1_0.5ATR,2025,69907,5.043391250078874,3.7729639115175377,6.96615410826077,0.23129300356187507
H1_0.5ATR,2026,46135,9.997260881428646,8.459637048470556,12.831731997638233,0.2179039774574618
H4_0.25ATR,2022,69555,2.333410448932816,2.0259731496937627,2.670166213401875,0.22073179498238804
H4_0.25ATR,2023,69907,2.139138035274273,1.796412616541436,2.533062285904385,0.2172314646601914
H4_0.25ATR,2024,70288,3.0261959353557515,2.567817578872312,3.5063863811380815,0.22023674026860915
H4_0.25ATR,2025,69907,5.068120461449982,3.805050028292516,7.23461506835932,0.22751655771238932
H4_0.25ATR,2026,46135,10.087795728168407,9.022424056694508,12.98420135562676,0.20680611249593583
D1_0.10ATR,2022,66393,2.503456848392279,2.325640252543834,2.792765878511882,0.1982437907610742
D1_0.10ATR,2023,69907,2.3730773144707054,2.0591992063844393,2.7322278512623837,0.18267126324974609
D1_0.10ATR,2024,70288,3.308087122040128,2.856086977575018,3.763871666585039,0.19127020259503755
D1_0.10ATR,2025,69907,5.209378464924787,4.011881825784593,7.35989443457044,0.22366858826726937
D1_0.10ATR,2026,46135,11.369782635567653,10.024013295972907,15.687871904253416,0.18658285466565513
