pb,phase,model,year,ntrain,ntest,base,auc,brier
0.25,0,path7,2025,250,222,0.4144144144144144,0.6627926421404683,0.22518269465723487
0.25,0,path7,2026,472,137,0.36496350364963503,0.6388505747126436,0.22535198719635366
0.25,0,path_side,2025,250,222,0.4144144144144144,0.6446488294314382,0.235279287818886
0.25,0,path_side,2026,472,137,0.36496350364963503,0.6459770114942528,0.2264461684681816
0.25,0,context4,2025,250,222,0.4144144144144144,0.5438127090301004,0.24594454109604907
0.25,0,context4,2026,472,137,0.36496350364963503,0.47793103448275864,0.23554307648421874
0.25,0,path_context,2025,250,222,0.4144144144144144,0.6741638795986621,0.22349868957599822
0.25,0,path_context,2026,472,137,0.36496350364963503,0.6324137931034483,0.22793368188388366
0.25,0,path_context_time,2025,250,222,0.4144144144144144,0.672408026755853,0.226004738786264
0.25,0,path_context_time,2026,472,137,0.36496350364963503,0.6388505747126437,0.22665437861819177
0.25,2,path7,2025,288,219,0.4018264840182648,0.7077550312283136,0.21075303747434068
0.25,2,path7,2026,507,130,0.35384615384615387,0.6379399585921325,0.22554112030451678
0.25,2,path_side,2025,288,219,0.4018264840182648,0.698560027758501,0.2148666208196719
0.25,2,path_side,2026,507,130,0.35384615384615387,0.6273291925465838,0.23132596239064365
0.25,2,context4,2025,288,219,0.4018264840182648,0.5037300485773768,0.24402342222353796
0.25,2,context4,2026,507,130,0.35384615384615387,0.49560041407867494,0.23260302713414027
0.25,2,path_context,2025,288,219,0.4018264840182648,0.7122657876474671,0.20870134674395377
0.25,2,path_context,2026,507,130,0.35384615384615387,0.6278467908902692,0.22957258488521673
0.25,2,path_context_time,2025,288,219,0.4018264840182648,0.7146946564885496,0.20822387388061966
0.25,2,path_context_time,2026,507,130,0.35384615384615387,0.6374223602484472,0.22752752862563808
0.4,0,path7,2025,198,177,0.4915254237288136,0.6182630906768839,0.24410001946367488
0.4,0,path7,2026,375,110,0.4090909090909091,0.6003418803418804,0.2438948673913617
0.4,0,path_side,2025,198,177,0.4915254237288136,0.6106002554278416,0.251584136312673
0.4,0,path_side,2026,375,110,0.4090909090909091,0.6044444444444445,0.24876471196257272
0.4,0,context4,2025,198,177,0.4915254237288136,0.5065134099616858,0.25987046810242
0.4,0,context4,2026,375,110,0.4090909090909091,0.4998290598290598,0.24353249364607626
0.4,0,path_context,2025,198,177,0.4915254237288136,0.6266922094508302,0.24681811032470002
0.4,0,path_context,2026,375,110,0.4090909090909091,0.6020512820512821,0.2439150240623007
0.4,0,path_context_time,2025,198,177,0.4915254237288136,0.6302681992337165,0.24635918115877817
0.4,0,path_context_time,2026,375,110,0.4090909090909091,0.6160683760683761,0.23762311052498086
0.4,2,path7,2025,221,181,0.49171270718232046,0.6625549584758184,0.23450581159676656
0.4,2,path7,2026,402,104,0.4230769230769231,0.5973484848484849,0.24370601329552524
0.4,2,path_side,2025,221,181,0.49171270718232046,0.6427699071812408,0.24010392719933277
0.4,2,path_side,2026,402,104,0.4230769230769231,0.5579545454545454,0.25276530906932915
0.4,2,context4,2025,221,181,0.49171270718232046,0.5064728871519297,0.25510760087048456
0.4,2,context4,2026,402,104,0.4230769230769231,0.5465909090909091,0.24519435026751144
0.4,2,path_context,2025,221,181,0.49171270718232046,0.6478993649242796,0.23792495346129108
0.4,2,path_context,2026,402,104,0.4230769230769231,0.5924242424242425,0.24562937249304403
0.4,2,path_context_time,2025,221,181,0.49171270718232046,0.6519296531509526,0.2364588540574878
0.4,2,path_context_time,2026,402,104,0.4230769230769231,0.6068181818181819,0.24313706466125612
0.5,0,path7,2025,159,138,0.5217391304347826,0.6668771043771043,0.23658662805624708
0.5,0,path7,2026,297,95,0.5157894736842106,0.6273291925465839,0.24109816558149
0.5,0,path_side,2025,159,138,0.5217391304347826,0.6546717171717171,0.23938376630521685
0.5,0,path_side,2026,297,95,0.5157894736842106,0.5563442768411713,0.2720411023679461
0.5,0,context4,2025,159,138,0.5217391304347826,0.49957912457912457,0.25591801621079896
0.5,0,context4,2026,297,95,0.5157894736842106,0.5115350488021295,0.2509887355245462
0.5,0,path_context,2025,159,138,0.5217391304347826,0.6639309764309764,0.2380525124987419
0.5,0,path_context,2026,297,95,0.5157894736842106,0.6308784383318544,0.2412827625282512
0.5,0,path_context_time,2025,159,138,0.5217391304347826,0.6500420875420875,0.2418944181982411
0.5,0,path_context_time,2026,297,95,0.5157894736842106,0.6362023070097603,0.23772619762099462
0.5,2,path7,2025,174,135,0.5185185185185185,0.6030769230769231,0.25400506219405256
0.5,2,path7,2026,309,84,0.5238095238095238,0.6102272727272728,0.2472280568369875
0.5,2,path_side,2025,174,135,0.5185185185185185,0.6345054945054945,0.2505186372528633
0.5,2,path_side,2026,309,84,0.5238095238095238,0.5005681818181817,0.28367198187913184
0.5,2,context4,2025,174,135,0.5185185185185185,0.4978021978021978,0.25351140556408985
0.5,2,context4,2026,309,84,0.5238095238095238,0.48636363636363633,0.25186890116941696
0.5,2,path_context,2025,174,135,0.5185185185185185,0.5918681318681318,0.25774991857941004
0.5,2,path_context,2026,309,84,0.5238095238095238,0.5903409090909091,0.24980413335197516
0.5,2,path_context_time,2025,174,135,0.5185185185185185,0.5892307692307692,0.2584015471133262
0.5,2,path_context_time,2026,309,84,0.5238095238095238,0.5738636363636364,0.2516950820512194
