pb,phase,gap,fg,year,ntrain,ntest,base,auc
0.25,0,60,path7,2025,202,187,0.4117647058823529,0.6674144037780402
0.25,0,60,path7,2026,389,118,0.3728813559322034,0.6787469287469287
0.25,0,60,geom2,2025,202,187,0.4117647058823529,0.7022432113341205
0.25,0,60,geom2,2026,389,118,0.3728813559322034,0.7377149877149877
0.25,0,120,path7,2025,179,167,0.41317365269461076,0.6722863058266785
0.25,0,120,path7,2026,346,104,0.3942307692307692,0.6604723190089044
0.25,0,120,geom2,2025,179,167,0.41317365269461076,0.7042295178941143
0.25,0,120,geom2,2026,346,104,0.3942307692307692,0.7282229965156795
0.25,2,60,path7,2025,231,185,0.3891891891891892,0.6890363815142576
0.25,2,60,path7,2026,416,111,0.35135135135135137,0.6766381766381766
0.25,2,60,geom2,2025,231,185,0.3891891891891892,0.7224680432645034
0.25,2,60,geom2,2026,416,111,0.35135135135135137,0.7150997150997151
0.25,2,120,path7,2025,204,169,0.39644970414201186,0.6982733391864208
0.25,2,120,path7,2026,373,96,0.3645833333333333,0.6800936768149883
0.25,2,120,geom2,2025,204,169,0.39644970414201186,0.7367573895229734
0.25,2,120,geom2,2026,373,96,0.3645833333333333,0.7002341920374708
0.4,0,60,path7,2025,172,153,0.48366013071895425,0.613752993499829
0.4,0,60,path7,2026,325,96,0.4270833333333333,0.6199556541019955
0.4,0,60,geom2,2025,172,153,0.48366013071895425,0.66130687649675
0.4,0,60,geom2,2026,325,96,0.4270833333333333,0.738359201773836
0.4,0,120,path7,2025,156,138,0.47101449275362317,0.589041095890411
0.4,0,120,path7,2026,294,91,0.46153846153846156,0.6341107871720117
0.4,0,120,geom2,2025,156,138,0.47101449275362317,0.6524762908324552
0.4,0,120,geom2,2026,294,91,0.46153846153846156,0.7361516034985423
0.4,2,60,path7,2025,191,153,0.477124183006536,0.6523972602739726
0.4,2,60,path7,2026,344,91,0.42857142857142855,0.6070019723865878
0.4,2,60,geom2,2025,191,153,0.477124183006536,0.6559931506849315
0.4,2,60,geom2,2026,344,91,0.42857142857142855,0.7199211045364892
0.4,2,120,path7,2025,171,140,0.4785714285714286,0.6323860151298303
0.4,2,120,path7,2026,311,84,0.47619047619047616,0.5892045454545455
0.4,2,120,geom2,2025,171,140,0.4785714285714286,0.655898589245553
0.4,2,120,geom2,2026,311,84,0.47619047619047616,0.7039772727272727
0.5,0,60,path7,2025,137,124,0.5241935483870968,0.6456323337679271
0.5,0,60,path7,2026,261,84,0.5119047619047619,0.6318774815655134
0.5,0,60,geom2,2025,137,124,0.5241935483870968,0.6166883963494133
0.5,0,60,geom2,2026,261,84,0.5119047619047619,0.7311401020986954
0.5,0,120,path7,2025,126,117,0.5213675213675214,0.6466627634660422
0.5,0,120,path7,2026,243,79,0.5189873417721519,0.6514762516046213
0.5,0,120,geom2,2025,126,117,0.5213675213675214,0.5966042154566745
0.5,0,120,geom2,2026,243,79,0.5189873417721519,0.7362002567394096
0.5,2,60,path7,2025,152,122,0.5327868852459017,0.6175438596491228
0.5,2,60,path7,2026,274,75,0.5333333333333333,0.6042857142857142
0.5,2,60,geom2,2025,152,122,0.5327868852459017,0.6121457489878542
0.5,2,60,geom2,2026,274,75,0.5333333333333333,0.7028571428571428
0.5,2,120,path7,2025,140,117,0.5128205128205128,0.602046783625731
0.5,2,120,path7,2026,257,71,0.5492957746478874,0.6113782051282052
0.5,2,120,geom2,2025,140,117,0.5128205128205128,0.6105263157894737
0.5,2,120,geom2,2026,257,71,0.5492957746478874,0.7155448717948718
