pb,phase,model,year,n,base,auc,brier
0.25,0,prog1,2025,223,0.5515695067264574,0.5073983739837398,0.2581432038904711
0.25,0,prog1,2026,133,0.5263157894736842,0.47777777777777775,0.25046650452691777
0.25,0,micro3,2025,223,0.5515695067264574,0.5214634146341464,0.25793362334919234
0.25,0,micro3,2026,133,0.5263157894736842,0.5111111111111112,0.2504556243319165
0.25,0,path7,2025,223,0.5515695067264574,0.49357723577235774,0.2617045249253573
0.25,0,path7,2026,133,0.5263157894736842,0.5145124716553289,0.24868427502804505
0.25,2,prog1,2025,221,0.5384615384615384,0.5074147305981216,0.25258496832017974
0.25,2,prog1,2026,128,0.5,0.4775390625,0.2500474830976321
0.25,2,micro3,2025,221,0.5384615384615384,0.4775910364145658,0.2532679481303275
0.25,2,micro3,2026,128,0.5,0.55078125,0.25033114105746834
0.25,2,path7,2025,221,0.5384615384615384,0.49258526940187836,0.25830909878353364
0.25,2,path7,2026,128,0.5,0.54296875,0.24904208697896016
0.4,0,prog1,2025,178,0.5168539325842697,0.5077098078867543,0.2519230628109892
0.4,0,prog1,2026,106,0.5377358490566038,0.552094522019334,0.25019183481111495
0.4,0,micro3,2025,178,0.5168539325842697,0.5042972699696663,0.2515394796609608
0.4,0,micro3,2026,106,0.5377358490566038,0.501969208736126,0.25093399690495927
0.4,0,path7,2025,178,0.5168539325842697,0.3700707785642063,0.2705927984388279
0.4,0,path7,2026,106,0.5377358490566038,0.5338345864661653,0.25007362185967624
0.4,2,prog1,2025,181,0.5138121546961326,0.48081622678396874,0.25261036299718176
0.4,2,prog1,2026,102,0.5196078431372549,0.542934154793993,0.250471301927316
0.4,2,micro3,2025,181,0.5138121546961326,0.46358748778103614,0.2554757284464231
0.4,2,micro3,2026,102,0.5196078431372549,0.437812860993454,0.25218760844984783
0.4,2,path7,2025,181,0.5138121546961326,0.44354838709677424,0.2610316520313512
0.4,2,path7,2026,102,0.5196078431372549,0.4859453215248364,0.2535106052152777
0.5,0,prog1,2025,139,0.5107913669064749,0.5173985086992544,0.2498988606797292
0.5,0,prog1,2026,92,0.5652173913043478,0.46730769230769237,0.2540737567862963
0.5,0,micro3,2025,139,0.5107913669064749,0.43993371996686,0.2552318459214886
0.5,0,micro3,2026,92,0.5652173913043478,0.5052884615384615,0.2519258231788816
0.5,0,path7,2025,139,0.5107913669064749,0.5149130074565037,0.2516120005119126
0.5,0,path7,2026,92,0.5652173913043478,0.45480769230769236,0.2623231820470809
0.5,2,prog1,2025,135,0.5259259259259259,0.5088028169014085,0.25458957694451373
0.5,2,prog1,2026,82,0.5487804878048781,0.5105105105105104,0.25317919711852305
0.5,2,micro3,2025,135,0.5259259259259259,0.38798415492957744,0.26776732962346517
0.5,2,micro3,2026,82,0.5487804878048781,0.5201201201201201,0.2529127657569843
0.5,2,path7,2025,135,0.5259259259259259,0.5459947183098591,0.26179241517784535
0.5,2,path7,2026,82,0.5487804878048781,0.4756756756756757,0.2560453495334925
