phase,rh,pb,actual_leg,year,fresh_n,reveal_n,accept_n,A_touch_resolved_n,A_touch_target_rate,A_touch_amb_n,A_touch_cens_n,A_close_resolved_n,A_close_target_rate,A_close_amb_n,A_close_cens_n,A_equal25_resolved_n,A_equal25_target_rate,A_equal25_amb_n,A_equal25_cens_n,B_state_n,C_state_n
0,15,0.25,0,2024,653,426,295,261,0.3716475095785441,3,0,264,0.3939393939393939,0,0,259,0.4671814671814672,0,5,96,49
0,15,0.25,0,2025,535,361,251,231,0.42424242424242425,2,1,233,0.45064377682403434,0,1,230,0.5608695652173913,0,4,92,48
0,15,0.25,0,2026,321,211,157,140,0.32857142857142857,0,1,138,0.3695652173913043,0,3,135,0.5111111111111111,0,6,51,24
0,15,0.25,1,2024,653,426,279,250,0.372,1,0,251,0.3944223107569721,0,0,246,0.45121951219512196,0,5,95,47
0,15,0.25,1,2025,535,361,236,222,0.4144144144144144,1,1,223,0.4484304932735426,0,1,223,0.5515695067264574,0,1,85,42
0,15,0.25,1,2026,321,211,153,137,0.36496350364963503,0,2,134,0.39552238805970147,0,5,133,0.5263157894736842,0,6,52,26
0,15,0.4,0,2024,653,426,239,211,0.38388625592417064,1,0,211,0.3981042654028436,0,1,207,0.45893719806763283,0,5,82,48
0,15,0.4,0,2025,535,361,205,190,0.4421052631578947,1,2,191,0.45549738219895286,0,2,192,0.546875,0,1,77,40
0,15,0.4,0,2026,321,211,134,119,0.31932773109243695,0,2,117,0.38461538461538464,0,4,116,0.5172413793103449,0,5,44,22
0,15,0.4,1,2024,653,426,210,198,0.41919191919191917,1,0,198,0.41414141414141414,0,1,194,0.4690721649484536,0,5,77,41
0,15,0.4,1,2025,535,361,184,177,0.4915254237288136,0,2,177,0.4632768361581921,0,2,178,0.5168539325842697,0,1,72,38
0,15,0.4,1,2026,321,211,117,110,0.4090909090909091,0,2,108,0.4722222222222222,0,4,106,0.5377358490566038,0,6,44,24
0,15,0.5,0,2024,653,426,209,186,0.41935483870967744,1,1,186,0.41397849462365593,0,2,182,0.46703296703296704,0,6,79,44
0,15,0.5,0,2025,535,361,174,164,0.47560975609756095,0,2,164,0.47560975609756095,0,2,165,0.509090909090909,0,1,70,34
0,15,0.5,0,2026,321,211,120,107,0.4205607476635514,0,2,105,0.47619047619047616,0,4,103,0.5631067961165048,0,6,47,29
0,15,0.5,1,2024,653,426,169,159,0.4591194968553459,1,3,157,0.4585987261146497,0,6,156,0.4807692307692308,0,7,69,37
0,15,0.5,1,2025,535,361,142,138,0.5217391304347826,0,2,138,0.5144927536231884,0,2,139,0.5107913669064749,0,1,64,32
0,15,0.5,1,2026,321,211,97,95,0.5157894736842106,0,1,94,0.5319148936170213,0,2,92,0.5652173913043478,0,4,46,30
0,30,0.25,0,2024,653,557,373,331,0.3867069486404834,3,0,333,0.3963963963963964,0,1,328,0.4725609756097561,0,6,129,70
0,30,0.25,0,2025,535,474,326,303,0.40264026402640263,2,1,305,0.4360655737704918,0,1,299,0.5484949832775919,0,7,115,60
0,30,0.25,0,2026,321,282,199,182,0.32967032967032966,0,1,179,0.3575418994413408,0,4,173,0.5086705202312138,0,10,62,31
0,30,0.25,1,2024,653,557,351,318,0.3836477987421384,1,0,318,0.39937106918238996,0,1,313,0.46645367412140576,0,6,124,65
0,30,0.25,1,2025,535,474,308,293,0.3856655290102389,1,1,294,0.42517006802721086,0,1,291,0.5326460481099656,0,4,105,52
0,30,0.25,1,2026,321,282,194,177,0.3672316384180791,0,3,174,0.3793103448275862,0,6,170,0.5235294117647059,0,10,64,33
0,30,0.4,0,2024,653,557,299,267,0.41947565543071164,1,0,266,0.424812030075188,0,2,262,0.4847328244274809,0,6,113,69
0,30,0.4,0,2025,535,474,267,250,0.42,1,2,251,0.43824701195219123,0,2,251,0.5219123505976095,0,2,98,52
0,30,0.4,0,2026,321,282,161,146,0.3287671232876712,0,2,144,0.3680555555555556,0,4,141,0.5177304964539007,0,7,50,26
0,30,0.4,1,2024,653,557,260,247,0.46153846153846156,1,0,246,0.45121951219512196,0,2,242,0.5,0,6,106,60
0,30,0.4,1,2025,535,474,234,226,0.4690265486725664,0,2,226,0.45132743362831856,0,2,226,0.5,0,2,91,48
0,30,0.4,1,2026,321,282,144,137,0.4233576642335766,0,2,135,0.45185185185185184,0,4,131,0.5267175572519084,0,8,53,29
0,30,0.5,0,2024,653,557,258,231,0.45454545454545453,1,1,231,0.45021645021645024,0,2,226,0.49557522123893805,0,7,107,61
0,30,0.5,0,2025,535,474,222,211,0.4549763033175355,0,2,211,0.46445497630331756,0,2,212,0.5,0,1,88,45
0,30,0.5,0,2026,321,282,146,133,0.43609022556390975,0,2,131,0.4580152671755725,0,4,127,0.5433070866141733,0,8,57,34
0,30,0.5,1,2024,653,557,207,197,0.4873096446700508,1,3,195,0.48205128205128206,0,6,193,0.49222797927461137,0,8,90,49
0,30,0.5,1,2025,535,474,184,179,0.4972067039106145,0,2,179,0.4972067039106145,0,2,180,0.49444444444444446,0,1,81,43
0,30,0.5,1,2026,321,282,118,116,0.5,0,1,115,0.4956521739130435,0,2,111,0.5315315315315315,0,6,53,32
2,15,0.25,0,2024,733,493,333,298,0.3691275167785235,3,0,301,0.38870431893687707,0,0,298,0.49328859060402686,0,3,104,55
2,15,0.25,0,2025,579,370,253,230,0.43043478260869567,3,1,232,0.4482758620689655,0,2,230,0.5434782608695652,0,4,95,52
2,15,0.25,0,2026,292,200,149,133,0.3082706766917293,0,0,132,0.3560606060606061,0,1,130,0.4846153846153846,0,3,46,21
2,15,0.25,1,2024,733,493,316,288,0.3923611111111111,2,0,290,0.41724137931034483,0,0,286,0.4755244755244755,0,4,107,56
2,15,0.25,1,2025,579,370,235,219,0.4018264840182648,2,1,220,0.44545454545454544,0,2,221,0.5384615384615384,0,1,83,42
2,15,0.25,1,2026,292,200,144,130,0.35384615384615387,0,1,128,0.3984375,0,3,128,0.5,0,3,47,23
2,15,0.4,0,2024,733,493,265,238,0.41596638655462187,1,0,237,0.4219409282700422,0,2,235,0.4765957446808511,0,4,92,56
2,15,0.4,0,2025,579,370,214,199,0.41708542713567837,1,1,199,0.4371859296482412,0,2,200,0.525,0,1,78,43
2,15,0.4,0,2026,292,200,127,114,0.35964912280701755,0,1,113,0.415929203539823,0,2,113,0.48672566371681414,0,2,45,22
2,15,0.4,1,2024,733,493,233,221,0.45248868778280543,1,0,220,0.42727272727272725,0,2,217,0.46543778801843316,0,5,89,50
2,15,0.4,1,2025,579,370,189,181,0.49171270718232046,0,1,180,0.46111111111111114,0,2,181,0.5138121546961326,0,1,78,44
