pb,phase,model,year,n,base,auc,brier,logloss
0.25,0,geom2,2025,222,0.4144144144144144,0.6868729096989967,0.2200281659299751,0.6318202081833227
0.25,0,geom2,2026,137,0.36496350364963503,0.6983908045977012,0.20720464858639706,0.6020461331417621
0.25,0,micro3,2025,222,0.4144144144144144,0.6798494983277592,0.22136621429996226,0.6373296183100012
0.25,0,micro3,2026,137,0.36496350364963503,0.647816091954023,0.21861132511284131,0.6275209585850495
0.25,0,geom_micro,2025,222,0.4144144144144144,0.6939799331103679,0.2169964705501856,0.6259853512934248
0.25,0,geom_micro,2026,137,0.36496350364963503,0.6809195402298851,0.21298971065398742,0.6152625524918185
0.25,2,geom2,2025,219,0.4018264840182648,0.7179042331714087,0.20955459431438478,0.6100673049093503
0.25,2,geom2,2026,130,0.35384615384615387,0.6891821946169772,0.2088101084481568,0.6054234314623445
0.25,2,micro3,2025,219,0.4018264840182648,0.722414989590562,0.20827833250506028,0.6061604451618609
0.25,2,micro3,2026,130,0.35384615384615387,0.6506211180124224,0.21894880374630254,0.6273276728514167
0.25,2,geom_micro,2025,219,0.4018264840182648,0.7291811242192922,0.2051287993948348,0.599000808095294
0.25,2,geom_micro,2026,130,0.35384615384615387,0.6718426501035196,0.21569241771558975,0.6205823226136689
0.4,0,geom2,2025,177,0.4915254237288136,0.6720306513409962,0.23196326830318,0.6546734030390581
0.4,0,geom2,2026,110,0.4090909090909091,0.7282051282051282,0.20782379673840906,0.6048765149700667
0.4,0,micro3,2025,177,0.4915254237288136,0.6467432950191571,0.2349855774803205,0.6616538821973733
0.4,0,micro3,2026,110,0.4090909090909091,0.6229059829059828,0.23756242407835965,0.6744767698407342
0.4,0,geom_micro,2025,177,0.4915254237288136,0.6752234993614303,0.22840117698844026,0.6472851885288773
0.4,0,geom_micro,2026,110,0.4090909090909091,0.6847863247863248,0.2188765990317612,0.6302501059847657
0.4,2,geom2,2025,181,0.49171270718232046,0.66695163654128,0.23201754892625812,0.6561109624380037
0.4,2,geom2,2026,104,0.4230769230769231,0.7087121212121212,0.21595385777547244,0.6223674070864764
0.4,2,micro3,2025,181,0.49171270718232046,0.651685393258427,0.23437172316701296,0.6604740890037472
0.4,2,micro3,2026,104,0.4230769230769231,0.6299242424242425,0.23505903582610582,0.6646200415971294
0.4,2,geom_micro,2025,181,0.49171270718232046,0.6753786028334148,0.22991708125369326,0.6513382204413772
0.4,2,geom_micro,2026,104,0.4230769230769231,0.6678030303030303,0.22667107266364314,0.6458561943242671
0.5,0,geom2,2025,138,0.5217391304347826,0.6390993265993267,0.23501928538161768,0.6619934471249457
0.5,0,geom2,2026,95,0.5157894736842106,0.7382431233362909,0.21992169874623488,0.6312949656933421
0.5,0,micro3,2025,138,0.5217391304347826,0.5957491582491583,0.24260646843752506,0.677495333980096
0.5,0,micro3,2026,95,0.5157894736842106,0.6459627329192547,0.2367403874514219,0.6668238656621408
0.5,0,geom_micro,2025,138,0.5217391304347826,0.6502525252525253,0.2342821919594682,0.6601348853438765
0.5,0,geom_micro,2026,95,0.5157894736842106,0.7031943212067435,0.22248053590481015,0.6356513602868571
0.5,2,geom2,2025,135,0.5185185185185185,0.6301098901098902,0.24011492464384113,0.6740004865562973
0.5,2,geom2,2026,84,0.5238095238095238,0.6948863636363636,0.22674655508561434,0.6456137438937678
0.5,2,micro3,2025,135,0.5185185185185185,0.5551648351648351,0.24999099325833024,0.6926696692432628
0.5,2,micro3,2026,84,0.5238095238095238,0.6193181818181818,0.24310563603291455,0.6803713562180563
0.5,2,geom_micro,2025,135,0.5185185185185185,0.6149450549450549,0.24534794475359853,0.6868442955813328
0.5,2,geom_micro,2026,84,0.5238095238095238,0.6596590909090908,0.2315333037711041,0.6550480009033828
