pb,phase,model,year,ntrain,ntest,base,auc,brier
0.25,0,prog1,2025,250,222,0.4144144144144144,0.6683110367892976,0.22468822896362878
0.25,0,prog1,2026,472,137,0.36496350364963503,0.6331034482758621,0.2221217459641943
0.25,0,prog1_run,2025,250,222,0.4144144144144144,0.6865384615384615,0.22209679085321657
0.25,0,prog1_run,2026,472,137,0.36496350364963503,0.6406896551724138,0.22119604864196513
0.25,0,micro3,2025,250,222,0.4144144144144144,0.6798494983277592,0.22136621429996226
0.25,0,micro3,2026,472,137,0.36496350364963503,0.647816091954023,0.21861132511284131
0.25,0,path7,2025,250,222,0.4144144144144144,0.6627926421404683,0.22518269465723487
0.25,0,path7,2026,472,137,0.36496350364963503,0.6388505747126436,0.22535198719635366
0.25,2,prog1,2025,288,219,0.4018264840182648,0.7107911172796668,0.21255747965129332
0.25,2,prog1,2026,507,130,0.35384615384615387,0.6270703933747412,0.22365232649012282
0.25,2,prog1_run,2025,288,219,0.4018264840182648,0.7253643303261625,0.2095841596345609
0.25,2,prog1_run,2026,507,130,0.35384615384615387,0.6348343685300207,0.222406175630154
0.25,2,micro3,2025,288,219,0.4018264840182648,0.722414989590562,0.20827833250506028
0.25,2,micro3,2026,507,130,0.35384615384615387,0.6506211180124224,0.21894880374630254
0.25,2,path7,2025,288,219,0.4018264840182648,0.7077550312283136,0.21075303747434068
0.25,2,path7,2026,507,130,0.35384615384615387,0.6379399585921325,0.22554112030451678
0.4,0,prog1,2025,198,177,0.4915254237288136,0.6669220945083014,0.23452480944090745
0.4,0,prog1,2026,375,110,0.4090909090909091,0.6044444444444445,0.2414286605569527
0.4,0,prog1_run,2025,198,177,0.4915254237288136,0.6673052362707536,0.23454407810689834
0.4,0,prog1_run,2026,375,110,0.4090909090909091,0.604102564102564,0.24162729637594937
0.4,0,micro3,2025,198,177,0.4915254237288136,0.6467432950191571,0.2349855774803205
0.4,0,micro3,2026,375,110,0.4090909090909091,0.6229059829059828,0.23756242407835965
0.4,0,path7,2025,198,177,0.4915254237288136,0.6182630906768839,0.24410001946367488
0.4,0,path7,2026,375,110,0.4090909090909091,0.6003418803418804,0.2438948673913617
0.4,2,prog1,2025,221,181,0.49171270718232046,0.677943331704934,0.23256098925020868
0.4,2,prog1,2026,402,104,0.4230769230769231,0.6151515151515152,0.2387206515391181
0.4,2,prog1_run,2025,221,181,0.49171270718232046,0.6664631167562286,0.23356945881578964
0.4,2,prog1_run,2026,402,104,0.4230769230769231,0.6155303030303031,0.23902101975269296
0.4,2,micro3,2025,221,181,0.49171270718232046,0.651685393258427,0.23437172316701296
0.4,2,micro3,2026,402,104,0.4230769230769231,0.6299242424242425,0.23505903582610582
0.4,2,path7,2025,221,181,0.49171270718232046,0.6625549584758184,0.23450581159676656
0.4,2,path7,2026,402,104,0.4230769230769231,0.5973484848484849,0.24370601329552524
0.5,0,prog1,2025,159,138,0.5217391304347826,0.6256313131313131,0.24174007266477462
0.5,0,prog1,2026,297,95,0.5157894736842106,0.5851818988464952,0.24465782142477205
0.5,0,prog1_run,2025,159,138,0.5217391304347826,0.6243686868686869,0.2418364669573788
0.5,0,prog1_run,2026,297,95,0.5157894736842106,0.5869565217391305,0.24471983795852173
0.5,0,micro3,2025,159,138,0.5217391304347826,0.5957491582491583,0.24260646843752506
0.5,0,micro3,2026,297,95,0.5157894736842106,0.6459627329192547,0.2367403874514219
0.5,0,path7,2025,159,138,0.5217391304347826,0.6668771043771043,0.23658662805624708
0.5,0,path7,2026,297,95,0.5157894736842106,0.6273291925465839,0.24109816558149
0.5,2,prog1,2025,174,135,0.5185185185185185,0.6151648351648351,0.24243317485463603
0.5,2,prog1,2026,309,84,0.5238095238095238,0.5539772727272727,0.2502211124740981
0.5,2,prog1_run,2025,174,135,0.5185185185185185,0.6138461538461538,0.2423741021316748
0.5,2,prog1_run,2026,309,84,0.5238095238095238,0.5602272727272728,0.250613394346719
0.5,2,micro3,2025,174,135,0.5185185185185185,0.5551648351648351,0.24999099325833024
0.5,2,micro3,2026,309,84,0.5238095238095238,0.6193181818181818,0.24310563603291455
0.5,2,path7,2025,174,135,0.5185185185185185,0.6030769230769231,0.25400506219405256
0.5,2,path7,2026,309,84,0.5238095238095238,0.6102272727272728,0.2472280568369875
