pb,phase,year,quarter,n,base,auc,highhalf,lowhalf
0.25,0,2025,2025Q1,61,0.3770491803278688,0.6681922196796338,0.45161290322580644,0.3
0.25,0,2025,2025Q2,49,0.4897959183673469,0.735,0.6,0.375
0.25,0,2025,2025Q3,56,0.375,0.6176870748299319,0.4642857142857143,0.2857142857142857
0.25,0,2025,2025Q4,56,0.42857142857142855,0.6640625,0.4642857142857143,0.39285714285714285
0.25,0,2026,2026Q1,72,0.3888888888888889,0.7077922077922079,0.5555555555555556,0.2222222222222222
0.25,0,2026,2026Q2,46,0.32608695652173914,0.5161290322580645,0.30434782608695654,0.34782608695652173
0.25,0,2026,2026Q3,19,0.3684210526315789,0.6666666666666666,0.5,0.2222222222222222
0.25,2,2025,2025Q1,58,0.3620689655172414,0.7503217503217503,0.5517241379310345,0.1724137931034483
0.25,2,2025,2025Q2,49,0.42857142857142855,0.7380952380952381,0.6,0.25
0.25,2,2025,2025Q3,55,0.43636363636363634,0.6814516129032258,0.6428571428571429,0.2222222222222222
0.25,2,2025,2025Q4,57,0.38596491228070173,0.7051948051948053,0.5172413793103449,0.25
0.25,2,2026,2026Q1,70,0.37142857142857144,0.7272727272727272,0.5142857142857142,0.22857142857142856
0.25,2,2026,2026Q2,42,0.30952380952380953,0.49867374005305043,0.3333333333333333,0.2857142857142857
0.25,2,2026,2026Q3,18,0.3888888888888889,0.6233766233766234,0.4444444444444444,0.3333333333333333
0.4,0,2025,2025Q1,47,0.46808510638297873,0.5563636363636364,0.5416666666666666,0.391304347826087
0.4,0,2025,2025Q2,37,0.5405405405405406,0.7970588235294118,0.7894736842105263,0.2777777777777778
0.4,0,2025,2025Q3,50,0.5,0.5151999999999999,0.56,0.44
0.4,0,2025,2025Q4,43,0.46511627906976744,0.6413043478260869,0.5454545454545454,0.38095238095238093
0.4,0,2026,2026Q1,59,0.3559322033898305,0.6390977443609023,0.4666666666666667,0.2413793103448276
0.4,0,2026,2026Q2,37,0.43243243243243246,0.5654761904761905,0.5263157894736842,0.3333333333333333
0.4,0,2026,2026Q3,14,0.5714285714285714,0.5833333333333334,0.5714285714285714,0.5714285714285714
0.4,2,2025,2025Q1,45,0.4666666666666667,0.6031746031746031,0.6086956521739131,0.3181818181818182
0.4,2,2025,2025Q2,38,0.5526315789473685,0.7815126050420168,0.7368421052631579,0.3684210526315789
0.4,2,2025,2025Q3,49,0.5306122448979592,0.576923076923077,0.56,0.5
0.4,2,2025,2025Q4,49,0.42857142857142855,0.7193877551020408,0.56,0.2916666666666667
0.4,2,2026,2026Q1,57,0.3684210526315789,0.6349206349206349,0.4482758620689655,0.2857142857142857
0.4,2,2026,2026Q2,33,0.3939393939393939,0.5615384615384615,0.4117647058823529,0.375
0.4,2,2026,2026Q3,14,0.7142857142857143,0.7250000000000001,0.8571428571428571,0.5714285714285714
0.5,0,2025,2025Q1,32,0.4375,0.7103174603174603,0.5625,0.3125
0.5,0,2025,2025Q2,33,0.5454545454545454,0.674074074074074,0.6470588235294118,0.4375
0.5,0,2025,2025Q3,39,0.6410256410256411,0.6028571428571429,0.7,0.5789473684210527
0.5,0,2025,2025Q4,34,0.4411764705882353,0.7192982456140351,0.5882352941176471,0.29411764705882354
0.5,0,2026,2026Q1,53,0.5094339622641509,0.6367521367521367,0.6296296296296297,0.38461538461538464
0.5,0,2026,2026Q2,31,0.5161290322580645,0.7083333333333333,0.6875,0.3333333333333333
0.5,0,2026,2026Q3,11,0.5454545454545454,0.36666666666666664,0.3333333333333333,0.8
0.5,2,2025,2025Q1,28,0.42857142857142855,0.7291666666666666,0.7142857142857143,0.14285714285714285
0.5,2,2025,2025Q2,33,0.6363636363636364,0.5515873015873016,0.7058823529411765,0.5625
0.5,2,2025,2025Q3,37,0.6216216216216216,0.484472049689441,0.5789473684210527,0.6666666666666666
0.5,2,2025,2025Q4,37,0.3783783783783784,0.6490683229813665,0.47368421052631576,0.2777777777777778
0.5,2,2026,2026Q1,46,0.5217391304347826,0.606060606060606,0.6086956521739131,0.43478260869565216
0.5,2,2026,2026Q2,28,0.4642857142857143,0.641025641025641,0.5714285714285714,0.35714285714285715
0.5,2,2026,2026Q3,10,0.7,0.5714285714285714,0.6,0.8
