pb,fg,phase,year,n,base,auc,boot_lo,boot_hi,perm_p,topq,bottomq
0.25,geom2,0,2025,222,0.4144144144144144,0.6868729096989967,0.6060140891986716,0.7673760887706671,0.0024937655860349127,0.625,0.23214285714285715
0.25,geom2,0,2026,137,0.36496350364963503,0.6983908045977012,0.5997610413970891,0.7976715386081468,0.0024937655860349127,0.5714285714285714,0.14285714285714285
0.25,geom2,2,2025,219,0.4018264840182648,0.7179042331714087,0.6516459896178346,0.7817979236768683,0.0024937655860349127,0.6727272727272727,0.14545454545454545
0.25,geom2,2,2026,130,0.35384615384615387,0.6891821946169772,0.5808452715281941,0.7976384306316853,0.0024937655860349127,0.5454545454545454,0.15151515151515152
0.25,path7,0,2025,222,0.4144144144144144,0.6627926421404683,0.5695471402304579,0.7489929371345867,0.0024937655860349127,0.6428571428571429,0.25
0.25,path7,0,2026,137,0.36496350364963503,0.6388505747126436,0.5488991596638656,0.7137579449152542,0.007481296758104738,0.5142857142857142,0.22857142857142856
0.25,path7,2,2025,219,0.4018264840182648,0.7077550312283136,0.6456129331764445,0.7724490489998034,0.0024937655860349127,0.6545454545454545,0.21818181818181817
0.25,path7,2,2026,130,0.35384615384615387,0.6379399585921325,0.5406062271062271,0.7332490449747953,0.00997506234413965,0.5454545454545454,0.18181818181818182
0.4,geom2,0,2025,177,0.4915254237288136,0.6720306513409962,0.5887656289900408,0.7735357709122502,0.0024937655860349127,0.6888888888888889,0.26666666666666666
0.4,geom2,0,2026,110,0.4090909090909091,0.7282051282051282,0.6305279975654291,0.7848452670495139,0.0024937655860349127,0.6785714285714286,0.17857142857142858
0.4,geom2,2,2025,181,0.49171270718232046,0.66695163654128,0.5756109003227476,0.7462902595658437,0.0024937655860349127,0.6521739130434783,0.30434782608695654
0.4,geom2,2,2026,104,0.4230769230769231,0.7087121212121212,0.6370768316742893,0.78278572852586,0.0024937655860349127,0.6538461538461539,0.15384615384615385
0.4,path7,0,2025,177,0.4915254237288136,0.6182630906768839,0.5363851356214707,0.721066652478619,0.004987531172069825,0.6444444444444445,0.35555555555555557
0.4,path7,0,2026,110,0.4090909090909091,0.6003418803418804,0.5123348063973063,0.6790212765957448,0.02743142144638404,0.6428571428571429,0.32142857142857145
0.4,path7,2,2025,181,0.49171270718232046,0.6625549584758184,0.5868564647669006,0.738359413463185,0.0024937655860349127,0.6739130434782609,0.2826086956521739
0.4,path7,2,2026,104,0.4230769230769231,0.5973484848484849,0.490342407873807,0.6830597527472528,0.022443890274314215,0.6153846153846154,0.34615384615384615
0.5,geom2,0,2025,138,0.5217391304347826,0.6390993265993267,0.5240909396344549,0.7313750477889641,0.004987531172069825,0.7142857142857143,0.45714285714285713
0.5,geom2,0,2026,95,0.5157894736842106,0.7382431233362909,0.5949122830950563,0.8354644906743185,0.0024937655860349127,0.7916666666666666,0.25
0.5,geom2,2,2025,135,0.5185185185185185,0.6301098901098902,0.5295295290512864,0.7213963582276642,0.022443890274314215,0.6176470588235294,0.4117647058823529
0.5,geom2,2,2026,84,0.5238095238095238,0.6948863636363636,0.5558341127020984,0.8374177543357768,0.004987531172069825,0.7619047619047619,0.3333333333333333
0.5,path7,0,2025,138,0.5217391304347826,0.6668771043771043,0.5685669077343306,0.7459171078889388,0.0024937655860349127,0.7714285714285715,0.37142857142857144
0.5,path7,0,2026,95,0.5157894736842106,0.6273291925465839,0.5291463230056981,0.716660419790105,0.012468827930174564,0.75,0.4583333333333333
0.5,path7,2,2025,135,0.5185185185185185,0.6030769230769231,0.5180988508701521,0.6933952572197357,0.057356608478802994,0.5882352941176471,0.4117647058823529
0.5,path7,2,2026,84,0.5238095238095238,0.6102272727272728,0.48670595366379316,0.7041667833514194,0.03740648379052369,0.6666666666666666,0.42857142857142855
