phase,m5_index,year,decision,origin,S,p15,reveal_i,retest_i,accept_i,direction,pullback_extreme,retest_level,reveal_time,reveal_close,reveal_min,reveal_overshoot,pb_depth_s,accept_pos_s,t_reveal_retest,t_retest_accept,path_eff,flip_rate,prog1,prog3,prog5,retest_time,accept_time,accept_close,A_out,A_out_i,A_target,A_fail,A_resolve_min,A_origin_out,A_equal25_out,B_i,B_time,B_close,B_pos_s,B_time_from_accept,B_out,B_out_i,B_resolve_min,B_equal25_out,C_i,C_time,C_close,C_pos_s,C_time_from_B,C_out,C_out_i,C_resolve_min
0,141814,2024,2024-01-02 15:35:00,2069.45,8.502601473729385,0.7978693995293715,708365,708402,708403,-1,2067.91,2067.6575,2024-01-02 15:51:00,2067.06,16.0,0.03109044124722199,0.09996940379084764,0.26580100302037196,38.0,2.0,0.08975377283557823,0.4528301886792453,0.02587443392231627,-0.02352221265670464,-0.1564227141668639,2024-01-02 16:28:00,2024-01-02 16:29:00,2067.19,0.0,708409.0,2065.198699263135,2067.91,6.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,
0,141818,2024,2024-01-02 15:55:00,2066.94,8.502601473729385,0.7638681238201211,708411,-1,-1,1,2066.45,2068.755,2024-01-02 16:37:00,2069.36,42.0,0.034618773145746407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,141827,2024,2024-01-02 16:40:00,2066.94,8.818844225605845,0.8034106879925101,708417,-1,-1,-1,2069.32,2064.1875,2024-01-02 16:43:00,2063.27,3.0,0.16615430617813726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,141835,2024,2024-01-02 17:20:00,2065.09,8.818844225605845,0.7932697580771053,708471,-1,-1,-1,2065.62,2063.215,2024-01-02 17:37:00,2062.59,17.0,0.0334838597943658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,141839,2024,2024-01-02 17:40:00,2057.45,8.818844225605845,0.9000254501575097,708478,-1,-1,1,2057.31,2059.3925,2024-01-02 17:44:00,2060.04,4.0,0.043689278746979476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,141845,2024,2024-01-02 18:10:00,2065.57,8.818844225605845,0.7885654976630492,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,142073,2024,2024-01-03 14:10:00,2044.86,8.622699710421738,0.7666493149815855,709661,709662,709664,-1,2043.73,2042.6775,2024-01-03 14:28:00,2041.95,18.0,0.08748131069469028,0.20643186702287614,0.3108075301243161,2.0,3.0,0.2233333333333197,0.65,0.15308430588212782,-0.026673780570374152,0.18555673440257758,2024-01-03 14:29:00,2024-01-03 14:31:00,2042.18,0.0,709666.0,2040.548650144789,2043.73,2.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,
0,142090,2024,2024-01-03 15:35:00,2042.94,8.622699710421738,0.7873968935906015,709741,709743,709743,-1,2040.34,2040.27,2024-01-03 15:48:00,2039.38,13.0,0.16286373404575227,0.11133404064153073,0.34907860659486784,3.0,1.0,0.37114673242912416,0.35714285714285715,0.02087513262027218,0.19715403030275516,0.23078618841322004,2024-01-03 15:50:00,2024-01-03 15:50:00,2039.93,0.0,709745.0,2038.6286501447892,2040.34,2.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,
0,142093,2024,2024-01-03 15:50:00,2039.93,8.622699710421738,0.7536428110883775,709764,-1,-1,-1,2037.72,2038.0175000000002,2024-01-03 16:11:00,2037.38,21.0,0.045731045454119545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,142100,2024,2024-01-03 16:25:00,2035.92,9.326078302534457,0.7656307058892878,709790,709791,709791,-1,2033.58,2033.55,2024-01-03 16:37:00,2032.76,12.0,0.08883481325063713,0.08792548951439674,0.268065516812206,2.0,1.0,0.3180661577608091,0.6666666666666666,-0.07076929643843116,0.24233122719823325,0.26913777887945384,2024-01-03 16:38:00,2024-01-03 16:38:00,2033.42,0.0,709792.0,2031.256960848733,2033.58,1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,
0,142102,2024,2024-01-03 16:35:00,2035.68,9.326078302534457,0.757275017566478,709790,-1,-1,-1,2035.73,2033.49,2024-01-03 16:37:00,2032.76,2.0,0.06310052363666441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
