H,phase,year,retain15_y,n,same75_hit,opp75_hit,same_first
60,0,2025,0,136,0.27941176470588236,0.04411764705882353,0.27205882352941174
60,0,2025,1,78,0.5384615384615384,0.0,0.5384615384615384
60,0,2026,0,85,0.2823529411764706,0.08235294117647059,0.2823529411764706
60,0,2026,1,51,0.43137254901960786,0.0196078431372549,0.43137254901960786
60,2,2025,0,133,0.2932330827067669,0.05263157894736842,0.2857142857142857
60,2,2025,1,77,0.5714285714285714,0.0,0.5714285714285714
60,2,2026,0,83,0.26506024096385544,0.08433734939759036,0.26506024096385544
60,2,2026,1,48,0.4583333333333333,0.020833333333333332,0.4583333333333333
120,0,2025,0,136,0.40441176470588236,0.13970588235294118,0.39705882352941174
120,0,2025,1,78,0.6794871794871795,0.05128205128205128,0.6794871794871795
120,0,2026,0,87,0.40229885057471265,0.1839080459770115,0.3793103448275862
120,0,2026,1,51,0.5882352941176471,0.0784313725490196,0.5882352941176471
120,2,2025,0,133,0.43609022556390975,0.14285714285714285,0.42105263157894735
120,2,2025,1,77,0.6883116883116883,0.03896103896103896,0.6883116883116883
120,2,2026,0,84,0.40476190476190477,0.19047619047619047,0.38095238095238093
120,2,2026,1,48,0.625,0.08333333333333333,0.625
240,0,2025,0,136,0.4411764705882353,0.25735294117647056,0.4338235294117647
240,0,2025,1,78,0.7435897435897436,0.1282051282051282,0.7307692307692307
240,0,2026,0,87,0.4942528735632184,0.27586206896551724,0.47126436781609193
240,0,2026,1,51,0.6666666666666666,0.17647058823529413,0.6666666666666666
240,2,2025,0,133,0.47368421052631576,0.24812030075187969,0.45864661654135336
240,2,2025,1,77,0.7532467532467533,0.1038961038961039,0.7402597402597403
240,2,2026,0,84,0.4880952380952381,0.2976190476190476,0.4642857142857143
240,2,2026,1,48,0.6666666666666666,0.16666666666666666,0.6666666666666666
