phase,year,m5_index,direction,decision,accept_time,conf_time,preconf_same75,preconf_opp75,postconf_same75_H60,postconf_opp75_H60,postconf_same75_H120,postconf_opp75_H120,postconf_same75_H240,postconf_opp75_H240
0,2024,144022,1,2024-01-12 15:35:00,2024-01-12 15:46:00,2024-01-12 16:01:00,False,False,1.0,0.0,1,0,1,1
0,2024,144844,1,2024-01-17 17:35:00,2024-01-17 17:40:00,2024-01-17 17:55:00,False,False,0.0,0.0,0,0,0,0
0,2024,145096,-1,2024-01-18 15:35:00,2024-01-18 15:56:00,2024-01-18 16:11:00,False,False,0.0,0.0,0,0,0,0
0,2024,146199,-1,2024-01-24 15:30:00,2024-01-24 15:38:00,2024-01-24 15:53:00,False,False,0.0,0.0,1,0,1,0
0,2024,147312,1,2024-01-30 16:15:00,2024-01-30 16:21:00,2024-01-30 16:36:00,False,False,0.0,1.0,0,1,0,1
0,2024,147322,-1,2024-01-30 17:05:00,2024-01-30 17:09:00,2024-01-30 17:24:00,True,False,1.0,0.0,1,0,1,0
0,2024,147593,1,2024-01-31 16:40:00,2024-01-31 16:46:00,2024-01-31 17:01:00,True,False,1.0,0.0,1,0,1,0
0,2024,148132,-1,2024-02-02 15:35:00,2024-02-02 15:43:00,2024-02-02 15:58:00,True,False,1.0,0.0,1,0,1,0
0,2024,148981,1,2024-02-07 17:20:00,2024-02-07 17:37:00,2024-02-07 17:52:00,False,False,0.0,0.0,0,0,0,0
0,2024,149242,1,2024-02-08 16:05:00,2024-02-08 16:21:00,2024-02-08 16:36:00,True,False,1.0,0.0,1,0,1,0
0,2024,149512,-1,2024-02-09 15:35:00,2024-02-09 15:41:00,2024-02-09 15:56:00,True,False,1.0,0.0,1,0,1,0
0,2024,150064,-1,2024-02-13 15:35:00,2024-02-13 15:42:00,2024-02-13 15:57:00,True,False,1.0,0.0,1,0,1,0
0,2024,150352,-1,2024-02-14 16:35:00,2024-02-14 16:53:00,2024-02-14 17:08:00,True,False,1.0,0.0,1,0,1,0
0,2024,152277,1,2024-02-23 18:35:00,2024-02-23 19:00:00,2024-02-23 19:15:00,False,False,0.0,0.0,0,0,0,0
0,2024,154738,1,2024-03-07 16:40:00,2024-03-07 17:33:00,2024-03-07 17:48:00,False,False,,,0,0,1,0
0,2024,155553,1,2024-03-12 14:35:00,2024-03-12 14:37:00,2024-03-12 14:52:00,True,False,0.0,1.0,0,1,0,1
0,2024,157497,-1,2024-03-21 15:35:00,2024-03-21 15:49:00,2024-03-21 16:04:00,True,False,1.0,0.0,1,0,1,0
0,2024,158862,-1,2024-03-28 14:20:00,2024-03-28 14:34:00,2024-03-28 14:49:00,False,False,0.0,0.0,1,0,1,0
0,2024,159154,-1,2024-04-01 16:40:00,2024-04-01 17:00:00,2024-04-01 17:15:00,True,False,1.0,0.0,1,0,1,0
0,2024,159971,1,2024-04-04 15:45:00,2024-04-04 16:13:00,2024-04-04 16:28:00,False,False,0.0,0.0,1,0,1,0
0,2024,160265,1,2024-04-05 17:15:00,2024-04-05 17:28:00,2024-04-05 17:43:00,True,False,1.0,0.0,1,0,1,0
0,2024,161105,1,2024-04-10 18:15:00,2024-04-10 19:00:00,2024-04-10 19:15:00,False,False,,,0,0,1,0
0,2024,161133,-1,2024-04-10 20:35:00,2024-04-10 21:16:00,2024-04-10 21:31:00,False,False,0.0,0.0,1,0,1,0
0,2024,161637,1,2024-04-12 16:35:00,2024-04-12 16:45:00,2024-04-12 17:00:00,False,False,1.0,0.0,1,1,1,1
0,2024,162754,1,2024-04-18 17:40:00,2024-04-18 17:54:00,2024-04-18 18:09:00,False,False,0.0,0.0,1,0,1,0
0,2024,162869,1,2024-04-19 04:15:00,2024-04-19 04:26:00,2024-04-19 04:41:00,True,False,1.0,0.0,1,0,1,0
0,2024,164391,-1,2024-04-26 16:05:00,2024-04-26 16:16:00,2024-04-26 16:31:00,False,False,1.0,0.0,1,0,1,0
