horizon_min,phase,year,direction,n,base,auc
15,0,2025,-1,129,0.32558139534883723,0.8078817733990148
15,0,2025,1,107,0.4205607476635514,0.6218637992831542
15,0,2026,-1,65,0.27692307692307694,0.789598108747045
15,0,2026,1,88,0.3977272727272727,0.6884097035040432
15,2,2025,-1,127,0.33070866141732286,0.7997198879551821
15,2,2025,1,108,0.4074074074074074,0.6963778409090909
15,2,2026,-1,63,0.30158730158730157,0.7942583732057417
15,2,2026,1,81,0.38271604938271603,0.6690322580645162
30,0,2025,-1,129,0.24031007751937986,0.7857142857142857
30,0,2025,1,107,0.3364485981308411,0.6353677621283255
30,0,2026,-1,65,0.24615384615384617,0.7971938775510204
30,0,2026,1,88,0.29545454545454547,0.6308933002481389
30,2,2025,-1,127,0.2283464566929134,0.7522871217452498
30,2,2025,1,108,0.3333333333333333,0.6940586419753086
30,2,2026,-1,63,0.2698412698412698,0.8107416879795396
30,2,2026,1,81,0.2839506172839506,0.5862068965517241
60,0,2025,-1,129,0.15503875968992248,0.828440366972477
60,0,2025,1,107,0.308411214953271,0.6236691236691236
60,0,2026,-1,65,0.18461538461538463,0.8050314465408805
60,0,2026,1,88,0.25,0.6336088154269972
60,2,2025,-1,127,0.14960629921259844,0.7933723196881092
60,2,2025,1,108,0.28703703703703703,0.6644323418516966
60,2,2026,-1,63,0.19047619047619047,0.8104575163398693
60,2,2026,1,81,0.2345679012345679,0.566213921901528
