H,phase,year,model,direction,n,base,auc
60,0,2025,ext_only,-1,113,0.3893805309734513,0.4927536231884058
60,0,2025,ext_only,1,101,0.3564356435643564,0.5927350427350427
60,0,2025,micro3,-1,113,0.3893805309734513,0.5843214756258235
60,0,2025,micro3,1,101,0.3564356435643564,0.6444444444444445
60,0,2025,micro3_ext,-1,113,0.3893805309734513,0.5536890645586298
60,0,2025,micro3_ext,1,101,0.3564356435643564,0.6743589743589744
60,0,2025,micro3_ext_inter,-1,113,0.3893805309734513,0.5332674571805006
60,0,2025,micro3_ext_inter,1,101,0.3564356435643564,0.6688034188034188
60,0,2026,ext_only,-1,54,0.42592592592592593,0.6339410939691444
60,0,2026,ext_only,1,82,0.2804878048780488,0.58069270449521
60,0,2026,micro3,-1,54,0.42592592592592593,0.6269284712482468
60,0,2026,micro3,1,82,0.2804878048780488,0.6226971260132645
60,0,2026,micro3_ext,-1,54,0.42592592592592593,0.6788218793828892
60,0,2026,micro3_ext,1,82,0.2804878048780488,0.6484893146647015
60,0,2026,micro3_ext_inter,-1,54,0.42592592592592593,0.6914446002805049
60,0,2026,micro3_ext_inter,1,82,0.2804878048780488,0.6285924834193073
60,2,2025,ext_only,-1,110,0.39090909090909093,0.4869836862200625
60,2,2025,ext_only,1,100,0.4,0.5833333333333334
60,2,2025,micro3,-1,110,0.39090909090909093,0.5480735855605693
60,2,2025,micro3,1,100,0.4,0.6241666666666666
60,2,2025,micro3_ext,-1,110,0.39090909090909093,0.5053800763623741
60,2,2025,micro3_ext,1,100,0.4,0.6245833333333334
60,2,2025,micro3_ext_inter,-1,110,0.39090909090909093,0.5019090593543908
60,2,2025,micro3_ext_inter,1,100,0.4,0.6245833333333334
60,2,2026,ext_only,-1,54,0.46296296296296297,0.5627586206896552
60,2,2026,ext_only,1,77,0.24675324675324675,0.617059891107078
60,2,2026,micro3,-1,54,0.46296296296296297,0.6027586206896551
60,2,2026,micro3,1,77,0.24675324675324675,0.6515426497277677
60,2,2026,micro3_ext,-1,54,0.46296296296296297,0.6220689655172413
60,2,2026,micro3_ext,1,77,0.24675324675324675,0.6932849364791288
60,2,2026,micro3_ext_inter,-1,54,0.46296296296296297,0.6331034482758621
60,2,2026,micro3_ext_inter,1,77,0.24675324675324675,0.6796733212341198
120,0,2025,ext_only,-1,113,0.5132743362831859,0.5667711598746081
120,0,2025,ext_only,1,101,0.49504950495049505,0.5325490196078432
120,0,2025,micro3,-1,113,0.5132743362831859,0.5561128526645768
120,0,2025,micro3,1,101,0.49504950495049505,0.5705882352941176
120,0,2025,micro3_ext,-1,113,0.5132743362831859,0.558307210031348
120,0,2025,micro3_ext,1,101,0.49504950495049505,0.592156862745098
120,0,2025,micro3_ext_inter,-1,113,0.5132743362831859,0.5605015673981191
120,0,2025,micro3_ext_inter,1,101,0.49504950495049505,0.5968627450980392
120,0,2026,ext_only,-1,54,0.48148148148148145,0.5645604395604396
120,0,2026,ext_only,1,84,0.4642857142857143,0.5686609686609687
120,0,2026,micro3,-1,54,0.48148148148148145,0.5604395604395604
120,0,2026,micro3,1,84,0.4642857142857143,0.6222222222222222
120,0,2026,micro3_ext,-1,54,0.48148148148148145,0.5961538461538461
120,0,2026,micro3_ext,1,84,0.4642857142857143,0.6433048433048433
120,0,2026,micro3_ext_inter,-1,54,0.48148148148148145,0.614010989010989
120,0,2026,micro3_ext_inter,1,84,0.4642857142857143,0.6136752136752137
120,2,2025,ext_only,-1,110,0.5,0.5259504132231405
120,2,2025,ext_only,1,100,0.56,0.5616883116883117
120,2,2025,micro3,-1,110,0.5,0.5153719008264462
120,2,2025,micro3,1,100,0.56,0.557224025974026
120,2,2025,micro3_ext,-1,110,0.5,0.48132231404958675
120,2,2025,micro3_ext,1,100,0.56,0.583198051948052
120,2,2025,micro3_ext_inter,-1,110,0.5,0.4809917355371901
120,2,2025,micro3_ext_inter,1,100,0.56,0.5876623376623377
120,2,2026,ext_only,-1,54,0.5185185185185185,0.4876373626373626
120,2,2026,ext_only,1,78,0.46153846153846156,0.5628306878306878
120,2,2026,micro3,-1,54,0.5185185185185185,0.532967032967033
120,2,2026,micro3,1,78,0.46153846153846156,0.625
120,2,2026,micro3_ext,-1,54,0.5185185185185185,0.5439560439560439
120,2,2026,micro3_ext,1,78,0.46153846153846156,0.6223544973544973
120,2,2026,micro3_ext_inter,-1,54,0.5185185185185185,0.5494505494505495
120,2,2026,micro3_ext_inter,1,78,0.46153846153846156,0.623015873015873
240,0,2025,ext_only,-1,113,0.5486725663716814,0.5705249841872233
240,0,2025,ext_only,1,101,0.5544554455445545,0.5146825396825396
240,0,2025,micro3,-1,113,0.5486725663716814,0.560404807084124
240,0,2025,micro3,1,101,0.5544554455445545,0.5944444444444444
240,0,2025,micro3_ext,-1,113,0.5486725663716814,0.5553447185325743
240,0,2025,micro3_ext,1,101,0.5544554455445545,0.5761904761904761
240,0,2025,micro3_ext_inter,-1,113,0.5486725663716814,0.5509171410499684
240,0,2025,micro3_ext_inter,1,101,0.5544554455445545,0.5793650793650794
240,0,2026,ext_only,-1,54,0.5370370370370371,0.5282758620689655
240,0,2026,ext_only,1,84,0.5714285714285714,0.5532407407407407
240,0,2026,micro3,-1,54,0.5370370370370371,0.5310344827586206
240,0,2026,micro3,1,84,0.5714285714285714,0.6400462962962963
240,0,2026,micro3_ext,-1,54,0.5370370370370371,0.56
240,0,2026,micro3_ext,1,84,0.5714285714285714,0.6672453703703703
240,0,2026,micro3_ext_inter,-1,54,0.5370370370370371,0.56
240,0,2026,micro3_ext_inter,1,84,0.5714285714285714,0.6423611111111112
240,2,2025,ext_only,-1,110,0.5545454545454546,0.5148879223820676
240,2,2025,ext_only,1,100,0.6,0.52125
240,2,2025,micro3,-1,110,0.5545454545454546,0.5245901639344263
240,2,2025,micro3,1,100,0.6,0.6141666666666666
240,2,2025,micro3_ext,-1,110,0.5545454545454546,0.4784208765473402
240,2,2025,micro3_ext,1,100,0.6,0.5908333333333333
240,2,2025,micro3_ext_inter,-1,110,0.5545454545454546,0.47875543660086983
240,2,2025,micro3_ext_inter,1,100,0.6,0.5975
240,2,2026,ext_only,-1,54,0.5555555555555556,0.46805555555555556
240,2,2026,ext_only,1,78,0.5512820512820513,0.5827242524916944
240,2,2026,micro3,-1,54,0.5555555555555556,0.4930555555555556
240,2,2026,micro3,1,78,0.5512820512820513,0.6245847176079734
240,2,2026,micro3_ext,-1,54,0.5555555555555556,0.4861111111111111
240,2,2026,micro3_ext,1,78,0.5512820512820513,0.6451827242524917
240,2,2026,micro3_ext_inter,-1,54,0.5555555555555556,0.49583333333333335
240,2,2026,micro3_ext_inter,1,78,0.5512820512820513,0.6285714285714286
