H,phase,year,model,quarter,n,base,auc
60,0,2025,ext_only,2025Q1,60,0.36666666666666664,0.5179425837320574
60,0,2025,ext_only,2025Q2,49,0.40816326530612246,0.5982758620689655
60,0,2025,ext_only,2025Q3,53,0.33962264150943394,0.5555555555555556
60,0,2025,ext_only,2025Q4,52,0.38461538461538464,0.5546875
60,0,2025,micro3,2025Q1,60,0.36666666666666664,0.6507177033492823
60,0,2025,micro3,2025Q2,49,0.40816326530612246,0.6103448275862069
60,0,2025,micro3,2025Q3,53,0.33962264150943394,0.5650793650793651
60,0,2025,micro3,2025Q4,52,0.38461538461538464,0.6125
60,0,2025,micro3_ext,2025Q1,60,0.36666666666666664,0.6363636363636364
60,0,2025,micro3_ext,2025Q2,49,0.40816326530612246,0.5948275862068966
60,0,2025,micro3_ext,2025Q3,53,0.33962264150943394,0.5793650793650794
60,0,2025,micro3_ext,2025Q4,52,0.38461538461538464,0.6296875
60,0,2025,micro3_ext_inter,2025Q1,60,0.36666666666666664,0.604066985645933
60,0,2025,micro3_ext_inter,2025Q2,49,0.40816326530612246,0.5706896551724138
60,0,2025,micro3_ext_inter,2025Q3,53,0.33962264150943394,0.5777777777777777
60,0,2025,micro3_ext_inter,2025Q4,52,0.38461538461538464,0.6203125
60,0,2026,ext_only,2026Q1,73,0.3835616438356164,0.5714285714285714
60,0,2026,ext_only,2026Q2,45,0.26666666666666666,0.5707070707070707
60,0,2026,ext_only,2026Q3,18,0.3333333333333333,0.6388888888888888
60,0,2026,micro3,2026Q1,73,0.3835616438356164,0.6904761904761905
60,0,2026,micro3,2026Q2,45,0.26666666666666666,0.43434343434343436
60,0,2026,micro3,2026Q3,18,0.3333333333333333,0.7361111111111112
60,0,2026,micro3_ext,2026Q1,73,0.3835616438356164,0.7111111111111111
60,0,2026,micro3_ext,2026Q2,45,0.26666666666666666,0.5277777777777778
60,0,2026,micro3_ext,2026Q3,18,0.3333333333333333,0.7361111111111112
60,0,2026,micro3_ext_inter,2026Q1,73,0.3835616438356164,0.707936507936508
60,0,2026,micro3_ext_inter,2026Q2,45,0.26666666666666666,0.5126262626262627
60,0,2026,micro3_ext_inter,2026Q3,18,0.3333333333333333,0.7222222222222222
60,2,2025,ext_only,2025Q1,58,0.3793103448275862,0.5290404040404041
60,2,2025,ext_only,2025Q2,47,0.3829787234042553,0.5689655172413793
60,2,2025,ext_only,2025Q3,52,0.4423076923076923,0.4947526236881559
60,2,2025,ext_only,2025Q4,53,0.37735849056603776,0.593939393939394
60,2,2025,micro3,2025Q1,58,0.3793103448275862,0.6919191919191919
60,2,2025,micro3,2025Q2,47,0.3829787234042553,0.41762452107279696
60,2,2025,micro3,2025Q3,52,0.4423076923076923,0.5577211394302849
60,2,2025,micro3,2025Q4,53,0.37735849056603776,0.6545454545454545
60,2,2025,micro3_ext,2025Q1,58,0.3793103448275862,0.6199494949494949
60,2,2025,micro3_ext,2025Q2,47,0.3829787234042553,0.4386973180076628
60,2,2025,micro3_ext,2025Q3,52,0.4423076923076923,0.5142428785607196
60,2,2025,micro3_ext,2025Q4,53,0.37735849056603776,0.6530303030303031
60,2,2025,micro3_ext_inter,2025Q1,58,0.3793103448275862,0.6098484848484849
60,2,2025,micro3_ext_inter,2025Q2,47,0.3829787234042553,0.4501915708812261
60,2,2025,micro3_ext_inter,2025Q3,52,0.4423076923076923,0.5097451274362819
60,2,2025,micro3_ext_inter,2025Q4,53,0.37735849056603776,0.6439393939393939
60,2,2026,ext_only,2026Q1,70,0.35714285714285715,0.5066666666666667
60,2,2026,ext_only,2026Q2,44,0.2727272727272727,0.6119791666666666
60,2,2026,ext_only,2026Q3,17,0.4117647058823529,0.7
60,2,2026,micro3,2026Q1,70,0.35714285714285715,0.6995555555555556
60,2,2026,micro3,2026Q2,44,0.2727272727272727,0.4348958333333333
60,2,2026,micro3,2026Q3,17,0.4117647058823529,0.7857142857142857
60,2,2026,micro3_ext,2026Q1,70,0.35714285714285715,0.664
60,2,2026,micro3_ext,2026Q2,44,0.2727272727272727,0.5390625
60,2,2026,micro3_ext,2026Q3,17,0.4117647058823529,0.7857142857142857
60,2,2026,micro3_ext_inter,2026Q1,70,0.35714285714285715,0.6737777777777778
60,2,2026,micro3_ext_inter,2026Q2,44,0.2727272727272727,0.5390625
60,2,2026,micro3_ext_inter,2026Q3,17,0.4117647058823529,0.7857142857142857
120,0,2025,ext_only,2025Q1,60,0.45,0.4826038159371493
120,0,2025,ext_only,2025Q2,49,0.5714285714285714,0.5578231292517006
