H,phase,year,model,n,base,auc,brier
60,0,2025,ext_only,214,0.37383177570093457,0.5438432835820896,0.23460596252486046
60,0,2025,micro3,214,0.37383177570093457,0.6207089552238806,0.22636474617334554
60,0,2025,micro3_ext,214,0.37383177570093457,0.6163246268656717,0.22676267248312418
60,0,2025,micro3_ext_inter,214,0.37383177570093457,0.6032649253731344,0.2269766915662769
60,0,2026,ext_only,136,0.3382352941176471,0.5954106280193237,0.21760775835385499
60,0,2026,micro3,136,0.3382352941176471,0.6270531400966184,0.21123734704524655
60,0,2026,micro3_ext,136,0.3382352941176471,0.6673913043478261,0.20583436344972425
60,0,2026,micro3_ext_inter,136,0.3382352941176471,0.6623188405797101,0.20617044604068238
60,2,2025,ext_only,210,0.3952380952380952,0.5343895266103785,0.24403527012965984
60,2,2025,micro3,210,0.3952380952380952,0.5884640925908358,0.23511811080058623
60,2,2025,micro3_ext,210,0.3952380952380952,0.5660753249217342,0.23814095547173744
60,2,2025,micro3_ext_inter,210,0.3952380952380952,0.5643677070486671,0.23864463267352146
60,2,2026,ext_only,131,0.33587786259541985,0.5765412748171369,0.2197163468018778
60,2,2026,micro3,131,0.33587786259541985,0.6308777429467085,0.21256218613682623
60,2,2026,micro3_ext,131,0.33587786259541985,0.6520376175548589,0.20870688865274403
60,2,2026,micro3_ext_inter,131,0.33587786259541985,0.6499477533960293,0.2092369156774604
120,0,2025,ext_only,214,0.5046728971962616,0.5496156533892383,0.24918114524289178
120,0,2025,micro3,214,0.5046728971962616,0.5714535290006988,0.24729296058156858
120,0,2025,micro3_ext,214,0.5046728971962616,0.5726764500349406,0.24655850795403667
120,0,2025,micro3_ext_inter,214,0.5046728971962616,0.5784416491963662,0.24604231866050483
120,0,2026,ext_only,138,0.47101449275362317,0.5614330874604847,0.24633071536799675
120,0,2026,micro3,138,0.47101449275362317,0.593677555321391,0.2426306221588699
120,0,2026,micro3_ext,138,0.47101449275362317,0.6280295047418335,0.23941121247157945
120,0,2026,micro3_ext_inter,138,0.47101449275362317,0.620231822971549,0.24078147312559767
120,2,2025,ext_only,210,0.5285714285714286,0.5425425425425425,0.24994057213244092
120,2,2025,micro3,210,0.5285714285714286,0.5288015288015288,0.2505515396616009
120,2,2025,micro3_ext,210,0.5285714285714286,0.5278915278915279,0.25011257437786044
120,2,2025,micro3_ext_inter,210,0.5285714285714286,0.530985530985531,0.2502189716275826
120,2,2026,ext_only,132,0.48484848484848486,0.5337775735294118,0.2508219738125154
120,2,2026,micro3,132,0.48484848484848486,0.5896139705882353,0.2472826030257765
120,2,2026,micro3_ext,132,0.48484848484848486,0.5903033088235294,0.2467487287757413
120,2,2026,micro3_ext_inter,132,0.48484848484848486,0.5944393382352942,0.24758771621093037
240,0,2025,ext_only,214,0.5514018691588785,0.5429025423728814,0.24855417571061464
240,0,2025,micro3,214,0.5514018691588785,0.5747704802259888,0.24666493153352181
240,0,2025,micro3_ext,214,0.5514018691588785,0.5673552259887006,0.24680708387823022
240,0,2025,micro3_ext_inter,214,0.5514018691588785,0.5657662429378532,0.2462465168398879
240,0,2026,ext_only,138,0.5579710144927537,0.5443900361933148,0.2447675812595142
240,0,2026,micro3,138,0.5579710144927537,0.5920800510964446,0.24148011737233713
240,0,2026,micro3_ext,138,0.5579710144927537,0.6193314881839472,0.2397708719506902
240,0,2026,micro3_ext_inter,138,0.5579710144927537,0.6052799659357037,0.24111523803199073
240,2,2025,ext_only,210,0.5761904761904761,0.5171325099823567,0.24681804605178514
240,2,2025,micro3,210,0.5761904761904761,0.5571547961742037,0.24515821292201226
240,2,2025,micro3_ext,210,0.5761904761904761,0.531339957284799,0.24593033833191982
240,2,2025,micro3_ext_inter,210,0.5761904761904761,0.5347757451945399,0.24562718064779124
240,2,2026,ext_only,132,0.553030303030303,0.5388901787787322,0.2483332018668498
240,2,2026,micro3,132,0.553030303030303,0.565590898537265,0.24737120883938807
240,2,2026,micro3_ext,132,0.553030303030303,0.5744137450661714,0.24671155316767204
240,2,2026,micro3_ext_inter,132,0.553030303030303,0.5672161597399582,0.24799854223046816
