label,phase,year,train_decile,n,actual_retention,mean_pred,test_base,horizon_min
accept_retain_extreme_15,0,2025,1,15,0.13333333333333333,0.08173791648074154,0.3686440677966102,15
accept_retain_extreme_15,0,2025,2,26,0.038461538461538464,0.12462461431226134,0.3686440677966102,15
accept_retain_extreme_15,0,2025,3,22,0.22727272727272727,0.1535795327218674,0.3686440677966102,15
accept_retain_extreme_15,0,2025,4,32,0.21875,0.25769922637194104,0.3686440677966102,15
accept_retain_extreme_15,0,2025,5,24,0.375,0.2971952166178261,0.3686440677966102,15
accept_retain_extreme_15,0,2025,6,28,0.35714285714285715,0.32498000898133045,0.3686440677966102,15
accept_retain_extreme_15,0,2025,7,24,0.7083333333333334,0.3561167504703148,0.3686440677966102,15
accept_retain_extreme_15,0,2025,8,31,0.5161290322580645,0.40264640803911317,0.3686440677966102,15
accept_retain_extreme_15,0,2025,9,16,0.5625,0.4643045836815735,0.3686440677966102,15
accept_retain_extreme_15,0,2025,10,18,0.6111111111111112,0.6340813425787439,0.3686440677966102,15
accept_retain_extreme_15,0,2026,1,17,0.0,0.09329756865971962,0.3464052287581699,15
accept_retain_extreme_15,0,2026,2,17,0.058823529411764705,0.14213820702839441,0.3464052287581699,15
accept_retain_extreme_15,0,2026,3,19,0.2631578947368421,0.1877372195412255,0.3464052287581699,15
accept_retain_extreme_15,0,2026,4,12,0.3333333333333333,0.29034233170374796,0.3464052287581699,15
accept_retain_extreme_15,0,2026,5,12,0.3333333333333333,0.3330354684529166,0.3464052287581699,15
accept_retain_extreme_15,0,2026,6,9,0.4444444444444444,0.36037163810825684,0.3464052287581699,15
accept_retain_extreme_15,0,2026,7,18,0.3888888888888889,0.39119418141006396,0.3464052287581699,15
accept_retain_extreme_15,0,2026,8,18,0.6111111111111112,0.4349474328464568,0.3464052287581699,15
accept_retain_extreme_15,0,2026,9,19,0.5789473684210527,0.4905012909046924,0.3464052287581699,15
accept_retain_extreme_15,0,2026,10,12,0.5,0.6071134740141285,0.3464052287581699,15
accept_retain_extreme_15,2,2025,1,20,0.15,0.08746195901855502,0.3659574468085106,15
accept_retain_extreme_15,2,2025,2,22,0.0,0.13370851239513942,0.3659574468085106,15
accept_retain_extreme_15,2,2025,3,22,0.09090909090909091,0.16914404377088943,0.3659574468085106,15
accept_retain_extreme_15,2,2025,4,24,0.20833333333333334,0.26599722898253475,0.3659574468085106,15
accept_retain_extreme_15,2,2025,5,22,0.22727272727272727,0.3125095407896778,0.3659574468085106,15
accept_retain_extreme_15,2,2025,6,33,0.45454545454545453,0.3571048835813171,0.3659574468085106,15
accept_retain_extreme_15,2,2025,7,24,0.6666666666666666,0.3889869924391191,0.3659574468085106,15
accept_retain_extreme_15,2,2025,8,27,0.6296296296296297,0.43893590775735564,0.3659574468085106,15
accept_retain_extreme_15,2,2025,9,17,0.6470588235294118,0.4905029280275671,0.3659574468085106,15
accept_retain_extreme_15,2,2025,10,24,0.5,0.6133475369031004,0.3659574468085106,15
accept_retain_extreme_15,2,2026,1,17,0.058823529411764705,0.08612851415504005,0.3472222222222222,15
accept_retain_extreme_15,2,2026,2,8,0.0,0.14095940401151377,0.3472222222222222,15
accept_retain_extreme_15,2,2026,3,14,0.21428571428571427,0.1714685582674706,0.3472222222222222,15
accept_retain_extreme_15,2,2026,4,15,0.26666666666666666,0.28627076031399473,0.3472222222222222,15
accept_retain_extreme_15,2,2026,5,12,0.25,0.3383108603249976,0.3472222222222222,15
accept_retain_extreme_15,2,2026,6,19,0.47368421052631576,0.37528654308763976,0.3472222222222222,15
accept_retain_extreme_15,2,2026,7,14,0.35714285714285715,0.4101083788691281,0.3472222222222222,15
accept_retain_extreme_15,2,2026,8,12,0.4166666666666667,0.4372147041573223,0.3472222222222222,15
accept_retain_extreme_15,2,2026,9,21,0.6666666666666666,0.5136283904415263,0.3472222222222222,15
accept_retain_extreme_15,2,2026,10,12,0.5,0.634085651723315,0.3472222222222222,15
accept_retain_extreme_30,0,2025,1,21,0.09523809523809523,0.06074944609976709,0.2838983050847458,30
accept_retain_extreme_30,0,2025,2,20,0.0,0.08801124971975124,0.2838983050847458,30
accept_retain_extreme_30,0,2025,3,22,0.09090909090909091,0.11541001455985964,0.2838983050847458,30
accept_retain_extreme_30,0,2025,4,27,0.2222222222222222,0.1785782556853532,0.2838983050847458,30
accept_retain_extreme_30,0,2025,5,25,0.2,0.200589664322698,0.2838983050847458,30
accept_retain_extreme_30,0,2025,6,30,0.3333333333333333,0.22425961174858156,0.2838983050847458,30
accept_retain_extreme_30,0,2025,7,22,0.45454545454545453,0.24969374221085464,0.2838983050847458,30
accept_retain_extreme_30,0,2025,8,24,0.4166666666666667,0.27021747237876986,0.2838983050847458,30
accept_retain_extreme_30,0,2025,9,24,0.5,0.3000104310974812,0.2838983050847458,30
accept_retain_extreme_30,0,2025,10,21,0.47619047619047616,0.4093827597122089,0.2838983050847458,30
accept_retain_extreme_30,0,2026,1,15,0.0,0.062044424364755504,0.27450980392156865,30
accept_retain_extreme_30,0,2026,2,18,0.1111111111111111,0.09766542446534471,0.27450980392156865,30
accept_retain_extreme_30,0,2026,3,20,0.1,0.13463784658724662,0.27450980392156865,30
accept_retain_extreme_30,0,2026,4,12,0.25,0.20619182235963493,0.27450980392156865,30
accept_retain_extreme_30,0,2026,5,12,0.08333333333333333,0.23676767139469693,0.27450980392156865,30
accept_retain_extreme_30,0,2026,6,14,0.42857142857142855,0.2616614779219035,0.27450980392156865,30
accept_retain_extreme_30,0,2026,7,15,0.5333333333333333,0.2912403594878074,0.27450980392156865,30
accept_retain_extreme_30,0,2026,8,14,0.5714285714285714,0.31990177733404074,0.27450980392156865,30
accept_retain_extreme_30,0,2026,9,17,0.35294117647058826,0.36151696813451545,0.27450980392156865,30
accept_retain_extreme_30,0,2026,10,16,0.375,0.4576195133571445,0.27450980392156865,30
accept_retain_extreme_30,2,2025,1,24,0.125,0.07039058916762599,0.2765957446808511,30
accept_retain_extreme_30,2,2025,2,16,0.0,0.09994920062786244,0.2765957446808511,30
accept_retain_extreme_30,2,2025,3,20,0.05,0.1257189485192151,0.2765957446808511,30
accept_retain_extreme_30,2,2025,4,21,0.14285714285714285,0.1753483727032084,0.2765957446808511,30
accept_retain_extreme_30,2,2025,5,32,0.15625,0.21019204124913324,0.2765957446808511,30
accept_retain_extreme_30,2,2025,6,24,0.375,0.23864168490515028,0.2765957446808511,30
