horizon_min,phase,year,n,base,auc,week_blocks,boot_lo,boot_med,boot_hi,quarter_perm_p,perm_lo,perm_med,perm_hi
15,0,2025,236,0.3686440677966102,0.7289979171488081,52,0.650113215062659,0.7311054695080121,0.8049965997726242,0.0004997501249375312,0.42574635501041425,0.4998457147265294,0.5719432230193627
15,0,2026,153,0.3464052287581699,0.7352830188679246,33,0.6812898743414362,0.7364301677533818,0.7946721806064427,0.0004997501249375312,0.40150471698113205,0.4999056603773585,0.5956650943396226
15,2,2025,235,0.3659574468085106,0.75401904167317,52,0.6697837616628227,0.7553223540277869,0.8266827419739352,0.0004997501249375312,0.4330419853285469,0.5072967067270173,0.5821855002341189
15,2,2026,144,0.3472222222222222,0.7270212765957447,32,0.6596861930022685,0.7272628715715009,0.8030562591862901,0.0004997501249375312,0.39574468085106385,0.4991489361702128,0.5981170212765956
30,0,2025,236,0.2838983050847458,0.722158438576349,52,0.645866044643755,0.7199830499039803,0.7907087293867856,0.0004997501249375312,0.4205599222820807,0.5009714739909918,0.5870683564426387
30,0,2026,153,0.27450980392156865,0.7123552123552124,33,0.6416380800571978,0.7126904027660966,0.7953478863478862,0.0004997501249375312,0.39253003003003006,0.5025740025740025,0.6023434148434147
30,2,2025,235,0.2765957446808511,0.7252488687782805,52,0.6323159747809711,0.7250995021664579,0.8100152079627322,0.0004997501249375312,0.4257805429864253,0.5080090497737557,0.5845339366515837
30,2,2026,144,0.2777777777777778,0.6932692307692307,32,0.6209707876633422,0.6927549579988604,0.7752645211930925,0.0004997501249375312,0.4009555288461539,0.5019230769230769,0.6091526442307691
60,0,2025,236,0.2245762711864407,0.7256418187442004,52,0.6594568479008419,0.7263449633630932,0.7969344217286053,0.0004997501249375312,0.4162155892360037,0.5039179296834726,0.591710485617074
60,0,2026,153,0.2222222222222222,0.71280276816609,33,0.6440539117770742,0.7102126583060142,0.7925128321270776,0.0004997501249375312,0.3860603064755314,0.5042016806722689,0.6136925358378645
60,2,2025,235,0.2127659574468085,0.721081081081081,52,0.6343673297538851,0.7203735854983926,0.7942101193471438,0.0004997501249375312,0.4169432432432432,0.5077297297297297,0.593954054054054
60,2,2026,144,0.2152777777777778,0.6839851555809306,32,0.6089897486772486,0.6831413633917212,0.7664282774123364,0.0009995002498750624,0.3927990294033685,0.5009991435912076,0.613838138738224
