horizon_min,phase,quarter,n,base,auc,mean_pred
15,0,2025Q1,64,0.28125,0.8103864734299517,0.3066688893185848
15,0,2025Q2,53,0.4716981132075472,0.7928571428571428,0.30642913968959085
15,0,2025Q3,60,0.35,0.6312576312576312,0.29796935671208663
15,0,2025Q4,59,0.3898305084745763,0.6835748792270532,0.31269529790809963
15,0,2026Q1,84,0.34523809523809523,0.7460815047021944,0.32330196305950354
15,0,2026Q2,50,0.36,0.6927083333333334,0.3266751360505294
15,0,2026Q3,19,0.3157894736842105,0.8333333333333334,0.3304003829098326
15,2,2025Q1,63,0.25396825396825395,0.8550531914893617,0.3031210687936598
15,2,2025Q2,52,0.40384615384615385,0.815668202764977,0.3282771577408588
15,2,2025Q3,60,0.4166666666666667,0.5977142857142858,0.3509980614561672
15,2,2025Q4,60,0.4,0.7685185185185185,0.3412420788899365
15,2,2026Q1,79,0.34177215189873417,0.7670940170940171,0.352721601763733
15,2,2026Q2,47,0.3617021276595745,0.6333333333333333,0.3487422359391254
15,2,2026Q3,18,0.3333333333333333,0.8194444444444444,0.3113378878489509
30,0,2025Q1,64,0.265625,0.8160200250312891,0.2116673926562888
30,0,2025Q2,53,0.3018867924528302,0.660472972972973,0.21126245684320966
30,0,2025Q3,60,0.25,0.6533333333333333,0.20917987754183115
30,0,2025Q4,59,0.3220338983050847,0.7302631578947368,0.21390644945185133
30,0,2026Q1,84,0.2976190476190476,0.752542372881356,0.2412508191110193
30,0,2026Q2,50,0.26,0.5945945945945946,0.24011552249678447
30,0,2026Q3,19,0.21052631578947367,0.8666666666666667,0.23180324054636875
30,2,2025Q1,63,0.2222222222222222,0.8600583090379009,0.2060464222537098
30,2,2025Q2,52,0.23076923076923078,0.73125,0.2211942908042547
30,2,2025Q3,60,0.3333333333333333,0.58375,0.24222521925859977
30,2,2025Q4,60,0.31666666666666665,0.7496790757381258,0.23144113096172333
30,2,2026Q1,79,0.3037974683544304,0.759090909090909,0.2549445416878667
30,2,2026Q2,47,0.2553191489361702,0.5238095238095238,0.2499717468824123
30,2,2026Q3,18,0.2222222222222222,0.7321428571428571,0.22074928824671647
60,0,2025Q1,64,0.234375,0.7714285714285715,0.15678403363542837
60,0,2025Q2,53,0.18867924528301888,0.6837209302325581,0.15979717437521776
60,0,2025Q3,60,0.18333333333333332,0.6901669758812616,0.1551185880915448
60,0,2025Q4,59,0.288135593220339,0.7128851540616247,0.1561519589277313
60,0,2026Q1,84,0.2261904761904762,0.7336032388663968,0.18820016160013683
60,0,2026Q2,50,0.22,0.634032634032634,0.18285038081825833
60,0,2026Q3,19,0.21052631578947367,0.8833333333333333,0.17289738208999608
60,2,2025Q1,63,0.19047619047619047,0.8366013071895425,0.15794633981566253
60,2,2025Q2,52,0.1346153846153846,0.7174603174603175,0.16574566819430536
60,2,2025Q3,60,0.25,0.6029629629629629,0.18073908434903874
60,2,2025Q4,60,0.26666666666666666,0.734375,0.17640153031014302
60,2,2026Q1,79,0.21518987341772153,0.7390891840607211,0.2011916036489101
60,2,2026Q2,47,0.2127659574468085,0.5594594594594594,0.19152238121903284
60,2,2026Q3,18,0.2222222222222222,0.7142857142857143,0.1653234038825082
