actual,rh,ah,pb,n2024,base2024,amb2024,cen2024,n2025,base2025,amb2025,cen2025,n2026,base2026,amb2026,cen2026,dist_prior
0,15,15,0.25,222,0.40384615384615385,14,0,175,0.45614035087719296,4,0,113,0.3333333333333333,2,0,21
0,15,15,0.4,160,0.4342105263157895,8,0,124,0.4793388429752066,3,0,78,0.358974358974359,0,0,155
0,15,15,0.5,128,0.4793388429752066,7,0,94,0.5434782608695652,2,0,65,0.46153846153846156,0,0,230
0,15,30,0.25,275,0.39080459770114945,14,0,231,0.4469026548672566,4,1,146,0.34265734265734266,2,1,135
0,15,30,0.4,217,0.3923444976076555,8,0,191,0.44623655913978494,3,2,118,0.3333333333333333,0,1,9
0,15,30,0.5,186,0.42696629213483145,7,1,158,0.4675324675324675,2,2,101,0.43,0,1,72
0,15,45,0.25,290,0.38768115942028986,14,0,241,0.4449152542372881,4,1,153,0.36,2,1,167
0,15,45,0.4,234,0.39823008849557523,8,0,198,0.44559585492227977,3,2,129,0.3543307086614173,0,2,44
0,15,45,0.5,203,0.4307692307692308,7,1,167,0.4785276073619632,2,2,116,0.4298245614035088,0,2,31
0,15,60,0.25,295,0.3879003558718861,14,0,251,0.44308943089430897,4,1,157,0.35064935064935066,2,1,186
0,15,60,0.4,239,0.4069264069264069,8,0,205,0.45,3,2,134,0.3409090909090909,0,2,61
0,15,60,0.5,209,0.43283582089552236,7,1,174,0.4823529411764706,2,2,120,0.423728813559322,0,2,18
0,30,30,0.25,330,0.40634920634920635,15,0,283,0.4244604316546763,4,1,169,0.3493975903614458,2,1,265
0,30,30,0.4,251,0.4132231404958678,9,0,227,0.42792792792792794,3,2,129,0.3359375,0,1,90
0,30,30,0.5,211,0.4504950495049505,8,1,182,0.4550561797752809,2,2,111,0.44545454545454544,0,1,13
0,30,45,0.25,363,0.4051724137931034,15,0,313,0.4155844155844156,4,1,191,0.35638297872340424,2,1,350
0,30,45,0.4,289,0.43214285714285716,9,0,253,0.41935483870967744,3,2,153,0.3576158940397351,0,2,178
0,30,45,0.5,247,0.47058823529411764,8,1,206,0.4603960396039604,2,2,138,0.4411764705882353,0,2,74
0,30,60,0.25,373,0.40502793296089384,15,0,326,0.4174454828660436,4,1,199,0.3469387755102041,2,1,381
0,30,60,0.4,299,0.4413793103448276,9,0,267,0.42748091603053434,3,2,161,0.34591194968553457,0,2,210
0,30,60,0.5,258,0.46987951807228917,8,1,222,0.463302752293578,2,2,146,0.4375,0,2,109
0,60,60,0.25,413,0.4080604534005038,15,1,356,0.4057142857142857,4,2,213,0.3476190476190476,2,1,465
0,60,60,0.4,328,0.44025157232704404,9,1,289,0.4169611307420495,3,3,169,0.3473053892215569,0,2,269
0,60,60,0.5,277,0.46441947565543074,8,2,238,0.452991452991453,2,2,154,0.4342105263157895,0,2,152
1,15,15,0.25,198,0.4166666666666667,6,0,155,0.45394736842105265,3,0,103,0.34951456310679613,0,0,61
1,15,15,0.4,126,0.45901639344262296,4,0,103,0.54,3,0,63,0.4444444444444444,0,0,225
1,15,15,0.5,79,0.5641025641025641,1,0,61,0.639344262295082,0,0,41,0.6097560975609756,0,0,336
1,15,30,0.25,258,0.3888888888888889,6,0,217,0.4225352112676056,3,1,139,0.3695652173913043,0,1,97
1,15,30,0.4,185,0.4143646408839779,4,0,165,0.4875,3,2,98,0.4020618556701031,0,1,69
1,15,30,0.5,144,0.4859154929577465,1,1,124,0.5245901639344263,0,2,74,0.5405405405405406,0,0,175
1,15,45,0.25,275,0.38661710037174724,6,0,225,0.42081447963800905,3,1,148,0.3793103448275862,1,2,131
1,15,45,0.4,204,0.415,4,0,176,0.49122807017543857,3,2,112,0.42727272727272725,0,2,25
1,15,45,0.5,161,0.46540880503144655,1,1,134,0.5227272727272727,0,2,92,0.5274725274725275,0,1,130
1,15,60,0.25,279,0.3882783882783883,6,0,236,0.4267241379310345,3,1,153,0.36666666666666664,1,2,151
1,15,60,0.4,210,0.4223300970873786,4,0,184,0.4972067039106145,3,2,117,0.40869565217391307,0,2,6
1,15,60,0.5,169,0.4727272727272727,1,3,142,0.5214285714285715,0,2,97,0.5208333333333334,0,1,109
1,30,30,0.25,304,0.39730639730639733,7,0,262,0.40310077519379844,3,1,161,0.37735849056603776,0,2,210
1,30,30,0.4,208,0.4362745098039216,4,0,187,0.4835164835164835,3,2,108,0.4205607476635514,0,1,20
1,30,30,0.5,157,0.49032258064516127,1,1,141,0.5179856115107914,0,2,81,0.5308641975308642,0,0,138
1,30,45,0.25,342,0.3970149253731343,7,0,290,0.3916083916083916,3,1,185,0.3756906077348066,1,3,300
1,30,45,0.4,247,0.4609053497942387,4,0,217,0.4716981132075472,3,2,135,0.44360902255639095,0,2,82
1,30,45,0.5,191,0.4973544973544973,1,1,168,0.5060240963855421,0,2,110,0.5137614678899083,0,1,48
1,30,60,0.25,351,0.39825581395348836,7,0,308,0.39473684210526316,3,1,194,0.3684210526315789,1,3,336
1,30,60,0.4,260,0.46484375,4,0,234,0.4759825327510917,3,2,144,0.4225352112676056,0,2,121
1,30,60,0.5,207,0.4975369458128079,1,3,184,0.5,0,2,118,0.5042735042735043,0,1,8
1,60,60,0.25,385,0.3978779840848806,7,1,333,0.3902439024390244,3,2,207,0.3645320197044335,1,3,408
1,60,60,0.4,283,0.460431654676259,4,1,248,0.46502057613168724,3,2,152,0.42,0,2,166
1,60,60,0.5,219,0.4930232558139535,1,3,195,0.48704663212435234,0,2,125,0.5,0,1,22
