k,x,phase,year,accept_n,dwell_n,resolved_n,same_rate
1,0.1,0,2024,279,279,279,0.5197132616487455
1,0.1,0,2025,236,236,236,0.5211864406779662
1,0.1,0,2026,153,153,153,0.45751633986928103
1,0.1,2,2024,316,316,316,0.5474683544303798
1,0.1,2,2025,235,235,235,0.5106382978723404
1,0.1,2,2026,144,144,144,0.4513888888888889
1,0.15,0,2024,279,279,279,0.4982078853046595
1,0.15,0,2025,236,236,235,0.5319148936170213
1,0.15,0,2026,153,153,151,0.46357615894039733
1,0.15,2,2024,316,316,316,0.5189873417721519
1,0.15,2,2025,235,235,234,0.5299145299145299
1,0.15,2,2026,144,144,144,0.4444444444444444
1,0.25,0,2024,279,279,271,0.46494464944649444
1,0.25,0,2025,236,236,232,0.521551724137931
1,0.25,0,2026,153,153,145,0.5241379310344828
1,0.25,2,2024,316,316,308,0.4772727272727273
1,0.25,2,2025,235,235,233,0.5236051502145923
1,0.25,2,2026,144,144,139,0.4892086330935252
2,0.1,0,2024,279,231,231,0.48917748917748916
2,0.1,0,2025,236,210,210,0.49523809523809526
2,0.1,0,2026,153,134,134,0.4701492537313433
2,0.1,2,2024,316,264,264,0.5189393939393939
2,0.1,2,2025,235,210,210,0.49523809523809526
2,0.1,2,2026,144,124,124,0.47580645161290325
2,0.15,0,2024,279,231,231,0.47619047619047616
2,0.15,0,2025,236,210,210,0.5
2,0.15,0,2026,153,134,134,0.5149253731343284
2,0.15,2,2024,316,264,264,0.5075757575757576
2,0.15,2,2025,235,210,210,0.5047619047619047
2,0.15,2,2026,144,124,124,0.5241935483870968
2,0.25,0,2024,279,231,224,0.49107142857142855
2,0.25,0,2025,236,210,202,0.504950495049505
2,0.25,0,2026,153,134,125,0.512
2,0.25,2,2024,316,264,255,0.4980392156862745
2,0.25,2,2025,235,210,207,0.5024154589371981
2,0.25,2,2026,144,124,118,0.5
3,0.1,0,2024,279,215,215,0.49767441860465117
3,0.1,0,2025,236,193,193,0.5077720207253886
3,0.1,0,2026,153,122,122,0.4672131147540984
3,0.1,2,2024,316,247,247,0.5263157894736842
3,0.1,2,2025,235,191,191,0.49214659685863876
3,0.1,2,2026,144,108,108,0.4722222222222222
3,0.15,0,2024,279,215,215,0.5023255813953489
3,0.15,0,2025,236,193,192,0.5104166666666666
3,0.15,0,2026,153,122,121,0.4628099173553719
3,0.15,2,2024,316,247,247,0.5101214574898786
3,0.15,2,2025,235,191,190,0.5
3,0.15,2,2026,144,108,108,0.49074074074074076
3,0.25,0,2024,279,215,209,0.507177033492823
3,0.25,0,2025,236,193,184,0.5380434782608695
3,0.25,0,2026,153,122,115,0.5565217391304348
3,0.25,2,2024,316,247,240,0.5041666666666667
3,0.25,2,2025,235,191,186,0.5376344086021505
3,0.25,2,2026,144,108,104,0.5480769230769231
5,0.1,0,2024,279,187,187,0.5240641711229946
5,0.1,0,2025,236,171,171,0.4853801169590643
5,0.1,0,2026,153,109,109,0.44036697247706424
5,0.1,2,2024,316,220,220,0.5136363636363637
5,0.1,2,2025,235,170,170,0.47058823529411764
5,0.1,2,2026,144,97,97,0.4639175257731959
5,0.15,0,2024,279,187,187,0.48128342245989303
5,0.15,0,2025,236,171,170,0.5117647058823529
5,0.15,0,2026,153,109,109,0.47706422018348627
5,0.15,2,2024,316,220,219,0.4748858447488584
5,0.15,2,2025,235,170,169,0.514792899408284
5,0.15,2,2026,144,97,97,0.4948453608247423
5,0.25,0,2024,279,187,181,0.47513812154696133
5,0.25,0,2025,236,171,162,0.5123456790123457
5,0.25,0,2026,153,109,102,0.49019607843137253
5,0.25,2,2024,316,220,214,0.4719626168224299
5,0.25,2,2025,235,170,163,0.5337423312883436
5,0.25,2,2026,144,97,92,0.45652173913043476
