state,pb,phase,fg,year,ntrain,ntest,base,auc,brier
B,0.25,0,geom,2025,89,82,0.5609756097560976,0.5314009661835749,0.24638058493619783
B,0.25,0,geom,2026,171,48,0.5833333333333334,0.6232142857142857,0.23102216598949574
B,0.25,0,path,2025,89,82,0.5609756097560976,0.5301932367149758,0.2506951094526591
B,0.25,0,path,2026,171,48,0.5833333333333334,0.5785714285714285,0.26072814770292746
B,0.25,0,extended,2025,89,82,0.5609756097560976,0.5144927536231884,0.264136312511159
B,0.25,0,extended,2026,171,48,0.5833333333333334,0.5428571428571429,0.268134573349115
B,0.25,0,geom_path,2025,89,82,0.5609756097560976,0.5621980676328502,0.25513948924989516
B,0.25,0,geom_path,2026,171,48,0.5833333333333334,0.6285714285714286,0.24588439509687676
C,0.25,0,geom,2025,43,40,0.65,0.45054945054945056,0.28990459651740447
C,0.25,0,geom,2026,83,22,0.5454545454545454,0.7833333333333333,0.21704561125483635
C,0.25,0,path,2025,43,40,0.65,0.5686813186813188,0.2987524014841484
C,0.25,0,path,2026,83,22,0.5454545454545454,0.5791666666666666,0.24901464011432797
C,0.25,0,extended,2025,43,40,0.65,0.5659340659340659,0.3115016866840796
C,0.25,0,extended,2026,83,22,0.5454545454545454,0.5416666666666666,0.2495531027297102
C,0.25,0,geom_path,2025,43,40,0.65,0.5164835164835164,0.32810126740557044
C,0.25,0,geom_path,2026,83,22,0.5454545454545454,0.6083333333333334,0.23763287007259112
B,0.25,2,geom,2025,100,79,0.6075949367088608,0.5961021505376344,0.23091817111110158
B,0.25,2,geom,2026,179,43,0.6046511627906976,0.6674208144796381,0.2208127092774271
B,0.25,2,path,2025,100,79,0.6075949367088608,0.5524193548387097,0.25146331631457197
B,0.25,2,path,2026,179,43,0.6046511627906976,0.5169683257918553,0.2501144053453707
B,0.25,2,extended,2025,100,79,0.6075949367088608,0.5477150537634409,0.2585893079118299
B,0.25,2,extended,2026,179,43,0.6046511627906976,0.49547511312217196,0.2652841967776427
B,0.25,2,geom_path,2025,100,79,0.6075949367088608,0.5994623655913979,0.24457123222857238
B,0.25,2,geom_path,2026,179,43,0.6046511627906976,0.6470588235294117,0.23202276943128478
C,0.25,2,geom,2025,52,39,0.6153846153846154,0.4333333333333333,0.26075551901921273
C,0.25,2,geom,2026,91,18,0.4444444444444444,0.7625000000000001,0.23801124347893
C,0.25,2,path,2025,52,39,0.6153846153846154,0.5041666666666667,0.2798018599515183
C,0.25,2,path,2026,91,18,0.4444444444444444,0.6125,0.2429755696258963
C,0.25,2,extended,2025,52,39,0.6153846153846154,0.5305555555555557,0.2872619883748778
C,0.25,2,extended,2026,91,18,0.4444444444444444,0.6375,0.22897347022023462
C,0.25,2,geom_path,2025,52,39,0.6153846153846154,0.42777777777777776,0.3276566852795628
C,0.25,2,geom_path,2026,91,18,0.4444444444444444,0.6375000000000001,0.23861451095832292
B,0.4,0,geom,2025,73,70,0.5714285714285714,0.5858333333333333,0.2389852889118447
B,0.4,0,geom,2026,143,42,0.5238095238095238,0.5772727272727273,0.23839512733752016
B,0.4,0,path,2025,73,70,0.5714285714285714,0.5479166666666667,0.24956960761175978
B,0.4,0,path,2026,143,42,0.5238095238095238,0.46136363636363636,0.2802927481691725
B,0.4,0,extended,2025,73,70,0.5714285714285714,0.5991666666666666,0.24496558229842869
B,0.4,0,extended,2026,143,42,0.5238095238095238,0.4477272727272727,0.29884489772724826
B,0.4,0,geom_path,2025,73,70,0.5714285714285714,0.5883333333333334,0.24705112699724394
B,0.4,0,geom_path,2026,143,42,0.5238095238095238,0.5659090909090909,0.263148201118267
C,0.4,0,geom,2025,38,37,0.6486486486486487,0.5769230769230769,0.23854947843520197
C,0.4,0,geom,2026,75,21,0.5714285714285714,0.7777777777777778,0.21158944612253847
C,0.4,0,path,2025,38,37,0.6486486486486487,0.5705128205128205,0.24714232713371376
C,0.4,0,path,2026,75,21,0.5714285714285714,0.6342592592592593,0.23405973269737704
C,0.4,0,extended,2025,38,37,0.6486486486486487,0.5032051282051282,0.2755581221566702
C,0.4,0,extended,2026,75,21,0.5714285714285714,0.6296296296296295,0.23457382523841738
C,0.4,0,geom_path,2025,38,37,0.6486486486486487,0.5352564102564102,0.25647326679999066
C,0.4,0,geom_path,2026,75,21,0.5714285714285714,0.6851851851851852,0.21678714575181995
B,0.4,2,geom,2025,85,75,0.6266666666666667,0.5820668693009119,0.22846303236484602
B,0.4,2,geom,2026,160,40,0.525,0.6015037593984963,0.24032111108356338
B,0.4,2,path,2025,85,75,0.6266666666666667,0.5144376899696049,0.24224884329806007
B,0.4,2,path,2026,160,40,0.525,0.4385964912280702,0.2735660897621946
B,0.4,2,extended,2025,85,75,0.6266666666666667,0.5554711246200609,0.23907276224445406
B,0.4,2,extended,2026,160,40,0.525,0.4887218045112782,0.2781241516066917
B,0.4,2,geom_path,2025,85,75,0.6266666666666667,0.5805471124620061,0.23222127071343698
B,0.4,2,geom_path,2026,160,40,0.525,0.581453634085213,0.25264756049184744
C,0.4,2,geom,2025,47,42,0.6904761904761905,0.53315649867374,0.22900057473132224
C,0.4,2,geom,2026,89,19,0.3684210526315789,0.9047619047619048,0.26813335978647657
C,0.4,2,path,2025,47,42,0.6904761904761905,0.5570291777188329,0.22234177211051737
C,0.4,2,path,2026,89,19,0.3684210526315789,0.6547619047619047,0.26788212594831906
C,0.4,2,extended,2025,47,42,0.6904761904761905,0.5782493368700264,0.22545098304966363
C,0.4,2,extended,2026,89,19,0.3684210526315789,0.7857142857142857,0.23749002376183914
C,0.4,2,geom_path,2025,47,42,0.6904761904761905,0.5305039787798409,0.2325448502877302
C,0.4,2,geom_path,2026,89,19,0.3684210526315789,0.6785714285714286,0.2655861692068133
B,0.5,0,geom,2025,64,63,0.5396825396825397,0.6186612576064909,0.24218344862477342
B,0.5,0,geom,2026,127,43,0.6511627906976745,0.6166666666666667,0.22968347177589885
B,0.5,0,path,2025,64,63,0.5396825396825397,0.3752535496957404,0.27262420853095126
B,0.5,0,path,2026,127,43,0.6511627906976745,0.530952380952381,0.24164617623210072
B,0.5,0,extended,2025,64,63,0.5396825396825397,0.4046653144016227,0.27376313782167444
B,0.5,0,extended,2026,127,43,0.6511627906976745,0.5404761904761904,0.24594064254274672
B,0.5,0,geom_path,2025,64,63,0.5396825396825397,0.4178498985801218,0.26500718965387615
B,0.5,0,geom_path,2026,127,43,0.6511627906976745,0.5904761904761905,0.23965085936844666
C,0.5,0,geom,2025,36,31,0.6774193548387096,0.5238095238095238,0.24630750253602665
C,0.5,0,geom,2026,67,27,0.6666666666666666,0.808641975308642,0.20583677731508018
C,0.5,0,path,2025,36,31,0.6774193548387096,0.47857142857142854,0.2611091508353139
C,0.5,0,path,2026,67,27,0.6666666666666666,0.5308641975308642,0.23227529860759044
C,0.5,0,extended,2025,36,31,0.6774193548387096,0.36666666666666664,0.3748246102192312
C,0.5,0,extended,2026,67,27,0.6666666666666666,0.5432098765432098,0.24210789210474987
C,0.5,0,geom_path,2025,36,31,0.6774193548387096,0.4666666666666667,0.2632522453948742
C,0.5,0,geom_path,2026,67,27,0.6666666666666666,0.6666666666666666,0.21849810227555183
B,0.5,2,geom,2025,70,62,0.5967741935483871,0.612972972972973,0.24206848397631078
B,0.5,2,geom,2026,132,38,0.5789473684210527,0.6505681818181818,0.2314535033850139
B,0.5,2,path,2025,70,62,0.5967741935483871,0.3567567567567568,0.26172073443445076
B,0.5,2,path,2026,132,38,0.5789473684210527,0.4857954545454546,0.2501926817243836
B,0.5,2,extended,2025,70,62,0.5967741935483871,0.5037837837837839,0.25223548168165016
B,0.5,2,extended,2026,132,38,0.5789473684210527,0.5681818181818182,0.2461522653447675
B,0.5,2,geom_path,2025,70,62,0.5967741935483871,0.4064864864864865,0.2574139279464245
B,0.5,2,geom_path,2026,132,38,0.5789473684210527,0.5539772727272727,0.2415941392517219
C,0.5,2,geom,2025,39,33,0.6363636363636364,0.4880952380952381,0.2359162694689812
C,0.5,2,geom,2026,72,21,0.5714285714285714,0.8425925925925926,0.2230465737213673
C,0.5,2,path,2025,39,33,0.6363636363636364,0.6428571428571428,0.21935953066258365
C,0.5,2,path,2026,72,21,0.5714285714285714,0.5648148148148149,0.24235244113882012
C,0.5,2,extended,2025,39,33,0.6363636363636364,0.49206349206349204,0.26190210572630396
C,0.5,2,extended,2026,72,21,0.5714285714285714,0.6203703703703703,0.23093332778442904
C,0.5,2,geom_path,2025,39,33,0.6363636363636364,0.5833333333333333,0.22694612311022377
C,0.5,2,geom_path,2026,72,21,0.5714285714285714,0.5648148148148149,0.24287109035696577
