pb,phase,year,feature,n,base,raw_auc,abs_auc,sign
0.25,0,2024,t_reveal_retest,250,0.372,0.49938360386274916,0.5006163961372508,-
0.25,0,2024,t_retest_accept,250,0.372,0.5840353400452023,0.5840353400452023,+
0.25,0,2024,accept_eff,250,0.372,0.5246216012601876,0.5246216012601876,+
0.25,0,2024,accept_flip,250,0.372,0.5060269844531198,0.5060269844531198,+
0.25,0,2024,prog1,250,0.372,0.7085816039997261,0.7085816039997261,+
0.25,0,2024,prog3,250,0.372,0.5768098075474282,0.5768098075474282,+
0.25,0,2024,prog5,250,0.372,0.5260941031436203,0.5260941031436203,+
0.25,0,2024,retest_accept_eff,250,0.372,0.4679816450928018,0.5320183549071982,-
0.25,0,2024,run_accept,250,0.372,0.6248544620231491,0.6248544620231491,+
0.25,0,2024,atr1_s,250,0.372,0.5349291144442161,0.5349291144442161,+
0.25,0,2024,tv5_60,250,0.372,0.49308266557085134,0.5069173344291487,-
0.25,0,2025,t_reveal_retest,222,0.4144144144144144,0.4362876254180602,0.5637123745819398,-
0.25,0,2025,t_retest_accept,222,0.4144144144144144,0.6104096989966554,0.6104096989966554,+
0.25,0,2025,accept_eff,222,0.4144144144144144,0.5665969899665553,0.5665969899665553,+
0.25,0,2025,accept_flip,222,0.4144144144144144,0.44970735785953175,0.5502926421404682,-
0.25,0,2025,prog1,222,0.4144144144144144,0.6683110367892976,0.6683110367892976,+
0.25,0,2025,prog3,222,0.4144144144144144,0.571571906354515,0.571571906354515,+
0.25,0,2025,prog5,222,0.4144144144144144,0.5611204013377926,0.5611204013377926,+
0.25,0,2025,retest_accept_eff,222,0.4144144144144144,0.4583612040133779,0.5416387959866221,-
0.25,0,2025,run_accept,222,0.4144144144144144,0.6071070234113712,0.6071070234113712,+
0.25,0,2025,atr1_s,222,0.4144144144144144,0.5334448160535118,0.5334448160535118,+
0.25,0,2025,tv5_60,222,0.4144144144144144,0.5418060200668898,0.5418060200668898,+
0.25,0,2026,t_reveal_retest,137,0.36496350364963503,0.5035632183908046,0.5035632183908046,+
0.25,0,2026,t_retest_accept,137,0.36496350364963503,0.615632183908046,0.615632183908046,+
0.25,0,2026,accept_eff,137,0.36496350364963503,0.44321839080459774,0.5567816091954023,-
0.25,0,2026,accept_flip,137,0.36496350364963503,0.4967816091954023,0.5032183908045977,-
0.25,0,2026,prog1,137,0.36496350364963503,0.6331034482758621,0.6331034482758621,+
0.25,0,2026,prog3,137,0.36496350364963503,0.5949425287356321,0.5949425287356321,+
0.25,0,2026,prog5,137,0.36496350364963503,0.5108045977011495,0.5108045977011495,+
0.25,0,2026,retest_accept_eff,137,0.36496350364963503,0.4650574712643678,0.5349425287356322,-
0.25,0,2026,run_accept,137,0.36496350364963503,0.6310344827586207,0.6310344827586207,+
0.25,0,2026,atr1_s,137,0.36496350364963503,0.479080459770115,0.520919540229885,-
0.25,0,2026,tv5_60,137,0.36496350364963503,0.47149425287356317,0.5285057471264368,-
0.25,2,2024,t_reveal_retest,288,0.3923611111111111,0.4805815423514539,0.5194184576485461,-
0.25,2,2024,t_retest_accept,288,0.3923611111111111,0.5878128950695323,0.5878128950695323,+
0.25,2,2024,accept_eff,288,0.3923611111111111,0.5559544879898861,0.5559544879898861,+
0.25,2,2024,accept_flip,288,0.3923611111111111,0.5072819216182047,0.5072819216182047,+
0.25,2,2024,prog1,288,0.3923611111111111,0.7033375474083439,0.7033375474083439,+
0.25,2,2024,prog3,288,0.3923611111111111,0.5983817951959545,0.5983817951959545,+
0.25,2,2024,prog5,288,0.3923611111111111,0.5549431099873577,0.5549431099873577,+
0.25,2,2024,retest_accept_eff,288,0.3923611111111111,0.47514538558786346,0.5248546144121365,-
0.25,2,2024,run_accept,288,0.3923611111111111,0.6240960809102402,0.6240960809102402,+
0.25,2,2024,atr1_s,288,0.3923611111111111,0.5196207332490519,0.5196207332490519,+
0.25,2,2024,tv5_60,288,0.3923611111111111,0.4822503160556258,0.5177496839443743,-
0.25,2,2025,t_reveal_retest,219,0.4018264840182648,0.4227966689798751,0.5772033310201249,-
0.25,2,2025,t_retest_accept,219,0.4018264840182648,0.6344118667591949,0.6344118667591949,+
0.25,2,2025,accept_eff,219,0.4018264840182648,0.5681818181818182,0.5681818181818182,+
0.25,2,2025,accept_flip,219,0.4018264840182648,0.44639139486467727,0.5536086051353227,-
0.25,2,2025,prog1,219,0.4018264840182648,0.7107911172796668,0.7107911172796668,+
0.25,2,2025,prog3,219,0.4018264840182648,0.6040943789035391,0.6040943789035391,+
0.25,2,2025,prog5,219,0.4018264840182648,0.5675746009715475,0.5675746009715475,+
0.25,2,2025,retest_accept_eff,219,0.4018264840182648,0.4391047883414295,0.5608952116585705,-
0.25,2,2025,run_accept,219,0.4018264840182648,0.6498091603053435,0.6498091603053435,+
0.25,2,2025,atr1_s,219,0.4018264840182648,0.5313150589868147,0.5313150589868147,+
0.25,2,2025,tv5_60,219,0.4018264840182648,0.5301006245662735,0.5301006245662735,+
0.25,2,2026,t_reveal_retest,130,0.35384615384615387,0.5183747412008282,0.5183747412008282,+
0.25,2,2026,t_retest_accept,130,0.35384615384615387,0.6037784679089027,0.6037784679089027,+
0.25,2,2026,accept_eff,130,0.35384615384615387,0.411231884057971,0.588768115942029,-
0.25,2,2026,accept_flip,130,0.35384615384615387,0.5267857142857143,0.5267857142857143,+
0.25,2,2026,prog1,130,0.35384615384615387,0.6270703933747412,0.6270703933747412,+
0.25,2,2026,prog3,130,0.35384615384615387,0.5929089026915113,0.5929089026915113,+
0.25,2,2026,prog5,130,0.35384615384615387,0.5002587991718427,0.5002587991718427,+
0.25,2,2026,retest_accept_eff,130,0.35384615384615387,0.45833333333333337,0.5416666666666666,-
0.25,2,2026,run_accept,130,0.35384615384615387,0.6088250517598344,0.6088250517598344,+
0.25,2,2026,atr1_s,130,0.35384615384615387,0.44177018633540377,0.5582298136645962,-
0.25,2,2026,tv5_60,130,0.35384615384615387,0.4785196687370601,0.5214803312629399,-
0.4,0,2024,t_reveal_retest,198,0.41919191919191917,0.46547930853850183,0.5345206914614982,-
0.4,0,2024,t_retest_accept,198,0.41919191919191917,0.5449449973808277,0.5449449973808277,+
0.4,0,2024,accept_eff,198,0.41919191919191917,0.5123101100052384,0.5123101100052384,+
0.4,0,2024,accept_flip,198,0.41919191919191917,0.46773179675222626,0.5322682032477737,-
0.4,0,2024,prog1,198,0.41919191919191917,0.6494499738082766,0.6494499738082766,+
0.4,0,2024,prog3,198,0.41919191919191917,0.5804085908852802,0.5804085908852802,+
0.4,0,2024,prog5,198,0.41919191919191917,0.536406495547407,0.536406495547407,+
0.4,0,2024,retest_accept_eff,198,0.41919191919191917,0.47323205866946044,0.5267679413305395,-
0.4,0,2024,run_accept,198,0.41919191919191917,0.528496595075956,0.528496595075956,+
0.4,0,2024,atr1_s,198,0.41919191919191917,0.5170770036668413,0.5170770036668413,+
0.4,0,2024,tv5_60,198,0.41919191919191917,0.5080670508119434,0.5080670508119434,+
0.4,0,2025,t_reveal_retest,177,0.4915254237288136,0.4485312899106002,0.5514687100893998,-
0.4,0,2025,t_retest_accept,177,0.4915254237288136,0.55,0.55,+
0.4,0,2025,accept_eff,177,0.4915254237288136,0.5799489144316731,0.5799489144316731,+
0.4,0,2025,accept_flip,177,0.4915254237288136,0.5201149425287357,0.5201149425287357,+
0.4,0,2025,prog1,177,0.4915254237288136,0.6669220945083014,0.6669220945083014,+
0.4,0,2025,prog3,177,0.4915254237288136,0.5426564495530014,0.5426564495530014,+
0.4,0,2025,prog5,177,0.4915254237288136,0.5727969348659004,0.5727969348659004,+
0.4,0,2025,retest_accept_eff,177,0.4915254237288136,0.4987228607918264,0.5012771392081736,-
0.4,0,2025,run_accept,177,0.4915254237288136,0.5280970625798211,0.5280970625798211,+
0.4,0,2025,atr1_s,177,0.4915254237288136,0.5347381864623244,0.5347381864623244,+
0.4,0,2025,tv5_60,177,0.4915254237288136,0.5515964240102171,0.5515964240102171,+
0.4,0,2026,t_reveal_retest,110,0.4090909090909091,0.5035897435897436,0.5035897435897436,+
0.4,0,2026,t_retest_accept,110,0.4090909090909091,0.5806837606837607,0.5806837606837607,+
0.4,0,2026,accept_eff,110,0.4090909090909091,0.4519658119658119,0.5480341880341881,-
0.4,0,2026,accept_flip,110,0.4090909090909091,0.5377777777777778,0.5377777777777778,+
0.4,0,2026,prog1,110,0.4090909090909091,0.6044444444444445,0.6044444444444445,+
0.4,0,2026,prog3,110,0.4090909090909091,0.5976068376068375,0.5976068376068375,+
0.4,0,2026,prog5,110,0.4090909090909091,0.4984615384615384,0.5015384615384616,-
0.4,0,2026,retest_accept_eff,110,0.4090909090909091,0.467008547008547,0.532991452991453,-
0.4,0,2026,run_accept,110,0.4090909090909091,0.5452991452991452,0.5452991452991452,+
0.4,0,2026,atr1_s,110,0.4090909090909091,0.5483760683760683,0.5483760683760683,+
0.4,0,2026,tv5_60,110,0.4090909090909091,0.5593162393162393,0.5593162393162393,+
0.4,2,2024,t_reveal_retest,221,0.45248868778280543,0.482107438016529,0.517892561983471,-
0.4,2,2024,t_retest_accept,221,0.45248868778280543,0.5196280991735537,0.5196280991735537,+
0.4,2,2024,accept_eff,221,0.45248868778280543,0.5187190082644628,0.5187190082644628,+
0.4,2,2024,accept_flip,221,0.45248868778280543,0.49082644628099176,0.5091735537190083,-
0.4,2,2024,prog1,221,0.45248868778280543,0.6262809917355372,0.6262809917355372,+
0.4,2,2024,prog3,221,0.45248868778280543,0.5833057851239669,0.5833057851239669,+
0.4,2,2024,prog5,221,0.45248868778280543,0.5637190082644628,0.5637190082644628,+
0.4,2,2024,retest_accept_eff,221,0.45248868778280543,0.505495867768595,0.505495867768595,+
0.4,2,2024,run_accept,221,0.45248868778280543,0.5099586776859504,0.5099586776859504,+
0.4,2,2024,atr1_s,221,0.45248868778280543,0.5218595041322314,0.5218595041322314,+
0.4,2,2024,tv5_60,221,0.45248868778280543,0.5102066115702479,0.5102066115702479,+
