reveal_horizon,pullback_frac,retention_horizon,phase,year,n,base,auc
15,0.25,15,0,2025,236,0.3686440677966102,0.7289979171488081
15,0.25,15,0,2026,153,0.3464052287581699,0.7352830188679246
15,0.25,15,2,2025,235,0.3659574468085106,0.75401904167317
15,0.25,15,2,2026,144,0.3472222222222222,0.7270212765957447
15,0.25,30,0,2025,236,0.2838983050847458,0.722158438576349
15,0.25,30,0,2026,153,0.27450980392156865,0.7123552123552124
15,0.25,30,2,2025,235,0.2765957446808511,0.7252488687782805
15,0.25,30,2,2026,144,0.2777777777777778,0.6932692307692307
15,0.25,60,0,2025,236,0.2245762711864407,0.7256418187442004
15,0.25,60,0,2026,153,0.2222222222222222,0.71280276816609
15,0.25,60,2,2025,235,0.2127659574468085,0.721081081081081
15,0.25,60,2,2026,144,0.2152777777777778,0.6839851555809306
15,0.4,15,0,2025,184,0.4782608695652174,0.6658380681818182
15,0.4,15,0,2026,117,0.41025641025641024,0.7346014492753623
15,0.4,15,2,2025,189,0.49206349206349204,0.6727150537634409
15,0.4,15,2,2026,108,0.4166666666666667,0.7396825396825397
15,0.4,30,0,2025,184,0.3423913043478261,0.6656172110717565
15,0.4,30,0,2026,117,0.2905982905982906,0.728206945428774
15,0.4,30,2,2025,189,0.3544973544973545,0.6425250795204306
15,0.4,30,2,2026,108,0.3148148148148148,0.705087440381558
15,0.4,60,0,2025,184,0.2608695652173913,0.6410845588235294
15,0.4,60,0,2026,117,0.2222222222222222,0.6842772612003382
15,0.4,60,2,2025,189,0.26455026455026454,0.6366906474820144
15,0.4,60,2,2026,108,0.23148148148148148,0.6539759036144578
15,0.5,15,0,2025,142,0.5563380281690141,0.5814747840064296
15,0.5,15,0,2026,97,0.5257731958762887,0.6683716965046889
15,0.5,15,2,2025,140,0.5714285714285714,0.5870833333333333
15,0.5,15,2,2026,86,0.5232558139534884,0.7062330623306233
15,0.5,30,0,2025,142,0.4154929577464789,0.5550336940984276
15,0.5,30,0,2026,97,0.422680412371134,0.6890243902439024
15,0.5,30,2,2025,140,0.42142857142857143,0.5268884703912953
15,0.5,30,2,2026,86,0.43023255813953487,0.7076668505239934
15,0.5,60,0,2025,142,0.323943661971831,0.536911231884058
15,0.5,60,0,2026,97,0.32989690721649484,0.6230769230769231
15,0.5,60,2,2025,140,0.32142857142857145,0.519766081871345
15,0.5,60,2,2026,86,0.32558139534883723,0.6231527093596059
30,0.25,15,0,2025,308,0.35714285714285715,0.7314967860422406
30,0.25,15,0,2026,194,0.38144329896907214,0.7326576576576577
30,0.25,15,2,2025,326,0.37116564417177916,0.7385607740374924
30,0.25,15,2,2026,182,0.36813186813186816,0.72744970798183
30,0.25,30,0,2025,308,0.275974025974026,0.7158533368504353
30,0.25,30,0,2026,194,0.27835051546391754,0.7088624338624339
30,0.25,30,2,2025,326,0.2822085889570552,0.7029914529914529
30,0.25,30,2,2026,182,0.2802197802197802,0.6895674300254453
30,0.25,60,0,2025,308,0.21428571428571427,0.72145003756574
30,0.25,60,0,2026,194,0.21649484536082475,0.7160087719298246
30,0.25,60,2,2025,326,0.20245398773006135,0.7032634032634033
30,0.25,60,2,2026,182,0.21428571428571427,0.6810112963959117
30,0.4,15,0,2025,234,0.48717948717948717,0.6665204678362573
30,0.4,15,0,2026,144,0.4513888888888889,0.7104186952288218
30,0.4,15,2,2025,255,0.5019607843137255,0.6779035433070866
30,0.4,15,2,2026,134,0.43283582089552236,0.7323049001814882
30,0.4,30,0,2025,234,0.3547008547008547,0.662331444985239
30,0.4,30,0,2026,144,0.2847222222222222,0.7215249822401136
30,0.4,30,2,2025,255,0.3607843137254902,0.6501066951186983
30,0.4,30,2,2026,134,0.29850746268656714,0.7037234042553191
30,0.4,60,0,2025,234,0.2692307692307692,0.6312076487515084
30,0.4,60,0,2026,144,0.2222222222222222,0.7017299107142857
30,0.4,60,2,2025,255,0.25882352941176473,0.6121532788199455
30,0.4,60,2,2026,134,0.22388059701492538,0.6724358974358975
30,0.5,15,0,2025,184,0.5489130434782609,0.6012167481808421
30,0.5,15,0,2026,118,0.5423728813559322,0.6192129629629629
30,0.5,15,2,2025,194,0.5721649484536082,0.6318245956800174
30,0.5,15,2,2026,105,0.5238095238095238,0.6734545454545454
30,0.5,30,0,2025,184,0.41304347826086957,0.5651803118908382
30,0.5,30,0,2026,118,0.3813559322033898,0.6550989345509893
30,0.5,30,2,2025,194,0.4175257731958763,0.5712881022615536
30,0.5,30,2,2026,105,0.38095238095238093,0.6923076923076923
30,0.5,60,0,2025,184,0.32608695652173914,0.5493279569892473
30,0.5,60,0,2026,118,0.3050847457627119,0.6226287262872628
30,0.5,60,2,2025,194,0.30927835051546393,0.5303482587064676
30,0.5,60,2,2026,105,0.29523809523809524,0.6416739319965127
