horizon_min,phase,year,collapse_gap_min,n,base,auc
15,0,2025,0,236,0.3686440677966102,0.7289979171488081
15,0,2025,60,199,0.36180904522613067,0.7421259842519685
15,0,2025,120,177,0.3615819209039548,0.739629424778761
15,0,2026,0,153,0.3464052287581699,0.7352830188679246
15,0,2026,60,130,0.34615384615384615,0.7518954248366013
15,0,2026,120,114,0.3684210526315789,0.7533068783068783
15,2,2025,0,235,0.3659574468085106,0.75401904167317
15,2,2025,60,200,0.34,0.7483288770053476
15,2,2025,120,183,0.3442622950819672,0.7383597883597883
15,2,2026,0,144,0.3472222222222222,0.7270212765957447
15,2,2026,60,120,0.35833333333333334,0.7378435517970402
15,2,2026,120,103,0.3786407766990291,0.7307692307692307
30,0,2025,0,236,0.2838983050847458,0.722158438576349
30,0,2025,60,199,0.2814070351758794,0.7287712287712288
30,0,2025,120,177,0.2824858757062147,0.721259842519685
30,0,2026,0,153,0.27450980392156865,0.7123552123552124
30,0,2026,60,130,0.2692307692307692,0.7383458646616541
30,0,2026,120,114,0.2894736842105263,0.7298915076692855
30,2,2025,0,235,0.2765957446808511,0.7252488687782805
30,2,2025,60,200,0.26,0.734537422037422
30,2,2025,120,183,0.26229508196721313,0.729783950617284
30,2,2026,0,144,0.2777777777777778,0.6932692307692307
30,2,2026,60,120,0.2833333333333333,0.7106703146374829
30,2,2026,120,103,0.30097087378640774,0.6971326164874552
60,0,2025,0,236,0.2245762711864407,0.7256418187442004
60,0,2025,60,199,0.22613065326633167,0.7360750360750361
60,0,2025,120,177,0.22598870056497175,0.7228102189781022
60,0,2026,0,153,0.2222222222222222,0.71280276816609
60,0,2026,60,130,0.2153846153846154,0.7471988795518207
60,0,2026,120,114,0.23684210526315788,0.7224350787569178
60,2,2025,0,235,0.2127659574468085,0.721081081081081
60,2,2025,60,200,0.2,0.7290625
60,2,2025,120,183,0.19672131147540983,0.7328042328042328
60,2,2026,0,144,0.2152777777777778,0.6839851555809306
60,2,2026,60,120,0.225,0.7100756670649144
60,2,2026,120,103,0.23300970873786409,0.6988396624472574
