phase,state,window,year,N,accuracy
phase0,BB-B,3,2024,27,0.5555555555555556
phase0,BB-B,3,2025,10,0.7
phase0,BB-B,3,2026,14,0.5714285714285714
phase0,BB-B,3,ALL,51,0.5882352941176471
phase0,BB-B,5,2024,34,0.5882352941176471
phase0,BB-B,5,2025,17,0.7647058823529411
phase0,BB-B,5,2026,13,0.6923076923076923
phase0,BB-B,5,ALL,64,0.65625
phase0,BB-B,8,2024,15,0.6666666666666666
phase0,BB-B,8,2025,7,0.7142857142857143
phase0,BB-B,8,2026,8,0.625
phase0,BB-B,8,ALL,30,0.6666666666666666
phase2,BB-B,3,2024,29,0.5517241379310345
phase2,BB-B,3,2025,13,0.6153846153846154
phase2,BB-B,3,2026,12,0.5833333333333334
phase2,BB-B,3,ALL,54,0.5740740740740741
phase2,BB-B,5,2024,34,0.6470588235294118
phase2,BB-B,5,2025,18,0.6666666666666666
phase2,BB-B,5,2026,11,0.6363636363636364
phase2,BB-B,5,ALL,63,0.6507936507936508
phase2,BB-B,8,2024,14,0.7142857142857143
phase2,BB-B,8,2025,10,0.6
phase2,BB-B,8,2026,7,0.7142857142857143
phase2,BB-B,8,ALL,31,0.6774193548387096
