method,phase,note,N_2024,acc_2024,N_2025,acc_2025,N_2026,acc_2026,N_all,acc_all
legacy deterministic 7-voter,phase0,failed transfer,636,0.5172955974842768,527,0.540796963946869,314,0.5,1477,0.5220040622884224
M5 Stoch K>D,phase0,standalone failed,636,0.47955974842767296,527,0.5199240986717267,314,0.5445859872611465,1477,0.5077860528097495
legacy deterministic 7-voter,phase2,failed transfer,720,0.49166666666666664,567,0.5679012345679012,287,0.49825783972125437,1574,0.5203303684879288
M5 Stoch K>D,phase2,standalone failed,720,0.4625,567,0.5379188712522046,287,0.519163763066202,1574,0.5
market-question 7-voter,phase0,negative control / no stable transfer,636,0.5094339622641509,527,0.5351043643263758,314,0.4840764331210191,1477,0.5132024373730535
immediate pressure,phase0,negative control / no stable transfer,636,0.4968553459119497,527,0.5180265654648957,314,0.4745222929936306,1477,0.4996614759647935
oscillator transition,phase0,negative control / no stable transfer,636,0.5,527,0.5218216318785579,314,0.5159235668789809,1477,0.5111712931618145
M15 structure,phase0,negative control / no stable transfer,636,0.5094339622641509,527,0.5351043643263758,314,0.5414012738853503,1477,0.5253893026404874
H1 structure,phase0,negative control / no stable transfer,636,0.4827044025157233,527,0.5275142314990512,314,0.5318471337579618,1477,0.5091401489505755
H4 structure,phase0,negative control / no stable transfer,636,0.5110062893081762,527,0.523719165085389,314,0.5286624203821656,1477,0.5192958700067705
HTF regime,phase0,negative control / no stable transfer,636,0.5204402515723271,527,0.4971537001897533,314,0.5414012738853503,1477,0.5165876777251185
volatility transition,phase0,negative control / no stable transfer,636,0.5062893081761006,527,0.540796963946869,314,0.5,1477,0.5172647257955315
location/liquidity,phase0,negative control / no stable transfer,636,0.49056603773584906,527,0.5218216318785579,314,0.5,1477,0.5037237643872715
M1 tape proxy,phase0,negative control / no stable transfer,636,0.5015723270440252,527,0.5351043643263758,314,0.5031847133757962,1477,0.5138794854434665
M1 recent direction,phase0,negative control / no stable transfer,636,0.4889937106918239,527,0.5199240986717267,314,0.5,1477,0.5023696682464455
M1 pressure,phase0,negative control / no stable transfer,636,0.5110062893081762,527,0.5332068311195446,314,0.5318471337579618,1477,0.5233581584292485
M1 Stoch,phase0,negative control / no stable transfer,636,0.5110062893081762,527,0.476280834914611,314,0.5159235668789809,1477,0.4996614759647935
M1 EMA3/8,phase0,negative control / no stable transfer,636,0.5188679245283019,527,0.5294117647058824,314,0.4840764331210191,1477,0.5152335815842924
