state,year,N,accuracy
tick0001,2024,18,0.6111111111111112
tick0001,2025,20,0.7
tick0001,2026,7,0.7142857142857143
tick0001,ALL,45,0.6666666666666666
tick0001 + M1 recent counter,2024,13,0.6153846153846154
tick0001 + M1 recent counter,2025,10,0.7
tick0001 + M1 recent counter,2026,3,0.6666666666666666
tick0001 + M1 recent counter,ALL,26,0.6538461538461539
tick0001 + M1 Stoch aligned,2024,3,0.6666666666666666
tick0001 + M1 Stoch aligned,2025,8,0.875
tick0001 + M1 Stoch aligned,2026,3,1.0
tick0001 + M1 Stoch aligned,ALL,14,0.8571428571428571
tick0001 + M1 Stoch 3m opposite -> now aligned,2024,2,1.0
tick0001 + M1 Stoch 3m opposite -> now aligned,2025,6,0.8333333333333334
tick0001 + M1 Stoch 3m opposite -> now aligned,2026,2,1.0
tick0001 + M1 Stoch 3m opposite -> now aligned,ALL,10,0.9
