period,direction,child_order_band,entries,resolved_or_wc,pnl,PF,WR,maxDD,avg_win,avg_loss,median_route_progress_S,median_sl_S,median_MFE_S,median_MAE_S
2022,DOWN,1,32,29,-8.919999999999618,0.9584807298454682,0.3448275862068966,114.71000000000004,20.592000000000052,-11.307368421052638,0.0,1.5869672787132005,1.0483221492359684,0.9531946827068003
2022,DOWN,2,23,20,-45.80999999999926,0.7148104339164579,0.35,73.83999999999924,16.402857142857197,-12.35615384615382,0.6802197628688647,1.5317171941224912,1.197301265638722,1.0301323955190285
2022,DOWN,3,19,18,-32.02999999999929,0.7746746394653575,0.3333333333333333,83.67999999999938,18.353333333333353,-11.845833333333283,1.4686278615204196,1.394385490380195,0.8451157086298344,1.1075009963917328
2022,DOWN,4+,39,33,-26.70999999999981,0.9004212802445668,0.48484848484848486,198.72999999999956,15.094999999999985,-15.778235294117621,3.3868716197934354,1.5889841773365296,2.131628913106597,0.9124448698453871
2022,UP,1,39,31,109.13999999999942,1.5224509334609837,0.41935483870967744,58.619999999999436,24.46461538461533,-11.605555555555547,0.0,1.582518281717206,1.4391727111130477,0.9539847033427622
2022,UP,2,27,21,-28.47000000000139,0.8218620948567066,0.23809523809523808,86.51000000000113,26.269999999999982,-9.988750000000081,0.5883864746229064,1.5407763253702638,1.0506496627223303,1.055499979321592
2022,UP,3,15,13,-17.08000000000061,0.8333170684102612,0.38461538461538464,38.86000000000058,17.077999999999975,-12.80875000000006,1.2605579988723101,1.8080159122065245,0.7966803724194144,1.2387439906962927
2022,UP,4+,31,28,-35.21999999999912,0.8297399207193312,0.32142857142857145,91.69000000000028,19.071111111111197,-10.887368421052626,3.843278960198028,1.7439236612059374,1.6025912746320319,1.3326946934354986
2023,DOWN,1,31,27,79.52000000000044,1.5230890672279993,0.4074074074074074,63.65000000000009,21.049090909090946,-9.501249999999999,0.0,1.4418324396033384,1.7287088063876304,0.8957250778129874
2023,DOWN,2,24,19,92.95999999999981,2.145956607495065,0.5263157894736842,35.49000000000024,17.407999999999994,-9.013333333333346,0.777949453791859,1.7039834635619764,1.9324753144706328,1.1241274977465592
2023,DOWN,3,19,18,33.42000000000007,1.3293259755616877,0.5,29.26000000000022,14.9888888888889,-11.275555555555558,1.1793601837045313,1.6423321566463842,1.9388302640505477,0.9197014225281553
2023,DOWN,4+,71,59,-316.83000000000084,0.33436278835245165,0.23728813559322035,316.83000000000084,11.367857142857165,-10.577333333333359,3.196307266093469,1.495623348395732,1.0713953325240304,1.0849876591409677
2023,UP,1,37,32,323.7100000000007,2.9763721838940183,0.5,44.62999999999988,30.46875000000003,-10.236874999999984,0.0,1.7713258839441206,1.7373818252178492,1.2936356665283708
2023,UP,2,33,30,223.39999999999986,2.2183017941866128,0.4666666666666667,62.1099999999999,29.05500000000003,-11.460625000000036,0.5608446801474342,1.923249006525781,1.980965419605469,1.2132432715813528
2023,UP,3,26,21,264.6099999999999,6.286913086913089,0.6666666666666666,18.019999999999982,22.475714285714275,-7.149999999999993,1.1069303052447204,1.820276935056015,2.334875758936384,0.7431055428471104
2023,UP,4+,76,74,666.4300000000014,3.342378123791795,0.47297297297297297,83.17999999999984,27.1697142857143,-7.48710526315787,2.7401833421852304,1.6782922215835485,1.982954106522575,0.7464491036479419
2024,DOWN,1,34,31,6.699999999998454,1.0203134948306656,0.3870967741935484,160.10000000000105,28.04416666666661,-17.35947368421057,0.0,2.0975500746190643,1.5292075236588603,1.1587542663514316
2024,DOWN,2,27,23,-4.740000000000691,0.9782439069169657,0.43478260869565216,146.33000000000038,21.312999999999988,-16.759230769230815,0.4204043951622107,1.961966924798648,1.2666260707698058,1.253119896977008
2024,DOWN,3,19,18,-46.4399999999996,0.7292444029850755,0.2222222222222222,126.25999999999931,31.269999999999868,-12.251428571428505,1.1261785324574647,1.7691670527170338,0.8536185096263197,1.202619720147549
2024,DOWN,4+,26,25,-162.41000000000054,0.4155601137140578,0.2,221.01,23.09599999999991,-13.894500000000004,2.5645790202384315,2.519494434432243,0.9250886157393878,1.1742873593878822
2024,UP,1,47,36,600.1199999999988,3.4181810855461947,0.4444444444444444,55.32000000000062,53.01812499999991,-12.408499999999993,0.0,1.5216768925918778,1.4741295236975944,1.0977501325859313
2024,UP,2,32,27,535.29,4.124321484853792,0.48148148148148145,51.720000000000255,54.35538461538461,-12.237857142857138,0.31532374435040805,1.8240877127865085,2.374198268099902,0.9411698726814117
2024,UP,3,24,21,289.24000000000046,2.621573134495717,0.38095238095238093,47.66999999999962,58.451250000000016,-13.720769230769205,1.3159370952592964,1.4235794169931002,1.2047149758982196,0.9835198113915442
2024,UP,4+,63,53,1336.809999999999,5.329047927461115,0.6037735849056604,119.52999999999975,51.42531250000002,-14.704761904761979,4.38693164573568,1.8020435796140468,2.858887429612285,1.0030665846611702
2025,DOWN,1,26,22,29.849999999999,1.0951940555537805,0.3181818181818182,143.6100000000015,49.059999999999945,-20.904666666666706,0.0,1.6393150314559566,1.2215063780169033,1.1102063038414225
2025,DOWN,2,16,15,27.109999999999218,1.1513341520598364,0.3333333333333333,66.41000000000076,41.25,-17.91400000000008,0.38527101382708495,1.5620169702674953,2.1395079108615995,0.9694934920341904
2025,DOWN,3,9,9,-46.3100000000004,0.658707347630627,0.3333333333333333,96.45000000000027,29.79333333333337,-22.615000000000084,1.1114472451916615,1.7774853649191684,2.4625245225777657,0.9552342359978886
2025,DOWN,4+,37,37,-830.2800000000002,0.14384705809565093,0.32432432432432434,855.5299999999997,11.625000000000037,-38.791200000000025,3.1322291161598947,1.839046721039398,1.825274663548719,1.1038533289418089
2025,UP,1,39,37,1337.6500000000042,5.3002957628753755,0.6216216216216216,84.07999999999947,71.68304347826096,-22.218571428571263,0.0,1.6046233777387306,3.083409773558295,0.7982921773498161
2025,UP,2,29,29,1224.9499999999998,9.879666545849986,0.7586206896551724,71.1599999999994,61.94999999999996,-19.707142857142767,0.4939084831131507,1.692325029894264,4.289964202209519,0.6640679647027451
2025,UP,3,24,23,687.2500000000014,6.068215339233052,0.6956521739130435,60.460000000000036,51.42812500000008,-19.37142857142856,1.2087367996057536,1.8944564748119017,3.492046422301729,0.7891906063114094
2025,UP,4+,74,65,1190.0000000000023,2.4853277082267238,0.4461538461538462,448.41000000000076,68.66103448275865,-22.254722222222185,3.069104430678454,1.4967186284572354,2.1719708167167884,0.9637879331978885
2026,DOWN,1,26,23,656.4500000000012,1.920661412022106,0.391304347826087,229.4900000000007,152.16333333333336,-50.929999999999936,0.0,1.4428988892651629,1.1354203548912536,1.0056808506949522
2026,DOWN,2,18,18,369.2000000000007,1.7113406034449554,0.5,260.53999999999905,98.69111111111118,-57.66888888888889,0.54078352129019,1.4716821780120086,1.868509744740438,0.8397350047992278
2026,DOWN,3,13,13,79.86000000000104,1.1917729270225517,0.46153846153846156,183.8099999999995,82.71500000000007,-59.48999999999991,1.1428429528597879,1.9679296597122384,1.9108311399413496,1.1385121967398277
2026,DOWN,4+,38,32,-641.939999999995,0.49193510091017334,0.375,785.8899999999967,51.79666666666693,-63.17499999999991,2.8624857998716475,1.7236909976263757,0.8584286193608233,1.0264339654400385
2026,UP,1,24,20,1053.2099999999991,3.3355360904756663,0.45,240.26999999999953,167.12888888888867,-40.99545454545444,0.0,1.4533995731887408,1.0227650421015693,0.9301118819759535
2026,UP,2,19,16,885.52,3.2492824303385937,0.5625,296.0199999999995,142.1344444444444,-56.241428571428514,0.3025611228566049,1.12691618218067,1.1407519988587218,0.9295911761549241
2026,UP,3,14,13,411.9600000000005,2.2123958915801,0.46153846153846156,255.11999999999944,125.29166666666652,-48.54142857142837,1.0826532175165906,1.7046329173291737,1.1651834069618539,0.8945902908179268
2026,UP,4+,30,22,697.3999999999951,2.644384711513505,0.5909090909090909,340.5000000000018,86.26999999999974,-47.1233333333335,2.8167900783009516,1.7641279522768434,2.1600443055066263,1.017149439527338
ALL,DOWN,1,149,132,763.5999999999995,1.4431084907850142,0.3712121212121212,229.4900000000007,50.75265306122449,-20.762409638554225,0.0,1.6396559409034703,1.3801728956270587,1.0111924195628692
ALL,DOWN,2,108,95,438.7199999999998,1.378932094180241,0.43157894736842106,326.9499999999998,38.93902439024392,-21.440370370370392,0.5103735311805352,1.6544670078177108,1.598998261018349,1.0386234607347948
ALL,DOWN,3,79,76,-11.499999999998181,0.9881108687336543,0.3684210526315789,291.8099999999995,34.134642857142865,-20.1514583333333,1.1793601837045313,1.7311488809778093,1.5801532367498472,1.0847796310927529
ALL,DOWN,4+,211,186,-1978.1699999999964,0.39233822165154403,0.3172043010752688,2149.5199999999986,21.647627118644124,-25.632913385826768,3.119419646690112,1.6982097872811852,1.1350559177240875,1.0761459921285246
ALL,UP,1,186,156,3423.830000000002,3.475887104355443,0.4935897435897436,240.26999999999953,62.4246753246753,-17.50468354430375,0.0,1.5590601356991989,1.7054804704596092,1.0479604110932694
ALL,UP,2,140,123,2840.6899999999982,3.7153494685325343,0.5121951219512195,296.0199999999995,61.69603174603173,-17.436000000000014,0.46383948376175865,1.666320030337133,1.9952846167634413,0.9411698726814117
ALL,UP,3,103,91,1635.9800000000016,3.029046981197604,0.5384615384615384,255.11999999999944,49.84204081632654,-19.197142857142826,1.1902043138217562,1.698997882733022,2.101811934742491,0.8496674009821019
ALL,UP,4+,274,242,3855.4199999999987,2.9034881137524984,0.48760330578512395,448.41000000000076,49.837881355932204,-16.467073170731712,3.0832919990605268,1.6958736663224347,2.148825676952926,0.9225366860490594
