period,direction,entries,resolved_or_wc,pnl,PF,WR,maxDD,avg_win,avg_loss,spread1_pnl,spread1_PF,spread1_DD,amb_wc_pnl,amb_wc_PF,amb_wc_DD
2022,DOWN,113,100,-113.46999999999798,0.8556085767003905,0.39,418.92999999999824,17.24051282051284,-12.882786885245881,-128.88999999999794,0.8380188762237519,427.20999999999844,-356.0099999999982,0.6538181040266839,571.2199999999982
2022,UP,112,93,28.3699999999983,1.0418405722291841,0.34408602150537637,208.48000000000138,22.075624999999995,-11.115573770491828,13.03999999999828,1.0189526619478777,210.90000000000146,-256.370000000001,0.7337217877211014,405.9900000000009
2022,ALL,225,193,-85.09999999999968,0.9418676139080541,0.36787564766839376,518.1599999999978,19.419718309859164,-11.999180327868855,-115.84999999999974,0.9219202825292847,530.6099999999981,-612.3799999999992,0.69245372090921,766.0799999999988
2023,DOWN,145,123,-110.93000000000052,0.8631507525289904,0.35772357723577236,362.780000000002,15.901590909090926,-10.260759493670902,-126.89000000000053,0.845391851057608,370.9900000000022,-466.5899999999999,0.5999262600106325,631.1000000000022
2023,UP,172,157,1478.150000000002,3.1682655635744936,0.5031847133757962,175.7299999999998,27.340126582278504,-8.853506493506485,1457.0100000000014,3.105444929337307,179.81999999999985,1192.810000000002,2.2334394970322453,286.22000000000116
2023,ALL,317,280,1367.2200000000014,1.916170794467675,0.4392857142857143,390.1000000000013,23.248292682926845,-9.566153846153851,1330.1200000000013,1.8792786599151217,396.51000000000147,726.2200000000021,1.3404177526109549,656.0500000000022
2024,DOWN,106,97,-206.89000000000237,0.7925103549257331,0.31958762886597936,619.4600000000012,25.490967741935425,-15.107727272727281,-223.78000000000236,0.7781412963734046,633.0500000000011,-408.43000000000256,0.6592583322904916,783.0100000000016
2024,UP,166,137,2761.459999999998,4.045716743688437,0.5036496350364964,144.42999999999938,53.161304347826075,-13.333382352941191,2736.829999999998,3.977987421383643,146.1300000000001,2162.359999999997,2.436049330242994,270.3500000000008
2024,ALL,272,234,2554.569999999996,2.3418409690195263,0.42735042735042733,270.50000000000045,44.58349999999998,-14.207313432835832,2513.049999999996,2.303665546148735,274.67000000000144,1753.9299999999942,1.6485420164027749,490.2599999999993
2025,DOWN,88,83,-819.6300000000024,0.48714788071431187,0.3253012048192771,1087.2000000000025,28.835185185185193,-28.538928571428617,-834.7500000000023,0.481083399641933,1096.8000000000022,-958.4900000000025,0.44820499240086525,1194.9000000000028
2025,UP,166,154,4439.850000000008,4.203863528121363,0.5844155844155844,394.25000000000136,64.72922222222226,-21.652812499999932,4413.960000000008,4.160662499194448,399.71000000000015,4015.220000000007,3.2178512049756773,467.7700000000018
2025,ALL,254,237,3620.2200000000053,2.213226718856824,0.4936708860759494,770.6600000000044,56.44598290598294,-24.86633333333332,3579.2100000000055,2.1910174798763484,783.5200000000052,3056.7300000000046,1.8616696500303052,923.6300000000051
2026,DOWN,95,86,463.5700000000079,1.1591946345601116,0.4186046511627907,818.2500000000005,93.76500000000013,-58.23939999999993,440.3800000000076,1.1506334829246967,823.6700000000006,-90.60999999999149,0.9738586039265492,992.77
2026,UP,87,71,3048.0899999999947,2.8949419970905272,0.5211267605633803,1028.499999999999,125.85486486486467,-47.30999999999996,3030.6599999999953,2.8751183294663556,1035.2499999999977,1958.419999999997,1.7258219338005563,1781.3599999999983
2026,ALL,182,157,3511.6600000000026,1.7768282782252462,0.46496815286624205,1085.5799999999963,110.02972602739723,-53.81559523809518,3471.0400000000027,1.7645849899884813,1097.5999999999945,1867.8100000000054,1.3030014470277544,1713.8599999999938
ALL,DOWN,547,489,-787.3499999999954,0.8891635497507647,0.3619631901840491,1684.820000000001,35.685649717514146,-22.76830128205128,-873.9299999999951,0.8778958398826371,1749.9100000000024,-2280.1299999999947,0.7347603498637241,2938.630000000001
ALL,UP,703,612,11755.920000000002,3.2346429033067485,0.5016339869281046,1028.4999999999982,55.42892508143323,-17.305131578947357,11651.5,3.193491909598353,1035.2500000000018,9072.440000000002,2.14201484345891,1781.3600000000024
ALL,ALL,1250,1101,10968.570000000005,1.8871039357125705,0.4396003633060854,1085.5799999999945,48.208760330578514,-20.072191558441553,10777.570000000005,1.8643422540520171,1097.5999999999985,6792.310000000007,1.410641489220851,1713.8599999999951
