block,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl,structural_sl,sl_dist,atr180,sl_atr180,entry_authorized,entry_reject_reason
FULL_2022_202608,2022-01-05 08:16:00,UP,1816.52,,ACTIVE,UP,SEED,False,,,,,1798.47,,,,,,
FULL_2022_202608,2022-01-05 21:54:00,DOWN,1812.47,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,1798.47,,,,,,
FULL_2022_202608,2022-01-06 10:27:00,DOWN,1798.25,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,NO_SAME_TARGET,,31.170000000000073,1829.42,,1811.45,13.200000000000045,,,False,ATR180_WARMUP
FULL_2022_202608,2022-01-07 15:36:00,DOWN,1786.38,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,43.039999999999964,1829.42,,1806.97,20.589999999999918,,,False,ATR180_WARMUP
FULL_2022_202608,2022-01-10 12:10:00,UP,1798.72,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,1829.42,1782.43,,,,,,
FULL_2022_202608,2022-01-11 01:30:00,UP,1802.42,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,27.0,19.99000000000001,1829.42,1782.43,1790.34,12.080000000000155,,,False,ATR180_WARMUP
FULL_2022_202608,2022-01-12 15:40:00,UP,1823.1,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,6.320000000000164,21.269999999999982,1829.42,1801.83,1814.77,8.329999999999927,,,False,ATR180_WARMUP
FULL_2022_202608,2022-01-13 17:53:00,DOWN,1814.77,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,1828.1,1801.83,,,,,,
FULL_2022_202608,2022-01-14 09:37:00,UP,1828.1,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,1.3200000000001637,15.709999999999809,1829.42,1812.39,1819.53,8.569999999999936,,,False,ATR180_WARMUP
FULL_2022_202608,2022-01-18 05:39:00,DOWN,1817.63,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,1823.09,1812.96,,,,,,
