id,tf,side,price,source,known_at
H1_SSL_20220103_0900,H1,DOWN,1821.01,2022-01-03 09:00:00,2022-01-03 12:00:00
H1_BSL_20220103_1200,H1,UP,1827.45,2022-01-03 12:00:00,2022-01-03 15:00:00
H1_SSL_20220103_1800,H1,DOWN,1798.25,2022-01-03 18:00:00,2022-01-03 21:00:00
H1_BSL_20220103_2200,H1,UP,1804.63,2022-01-03 22:00:00,2022-01-04 02:00:00
H1_SSL_20220103_2300,H1,DOWN,1800.93,2022-01-03 23:00:00,2022-01-04 03:00:00
H4_SSL_20220103_1600,H4,DOWN,1798.25,2022-01-03 16:00:00,2022-01-04 04:00:00
H1_BSL_20220104_0400,H1,UP,1807.07,2022-01-04 04:00:00,2022-01-04 07:00:00
H1_SSL_20220104_0600,H1,DOWN,1803.12,2022-01-04 06:00:00,2022-01-04 09:00:00
H1_BSL_20220104_0900,H1,UP,1807.34,2022-01-04 09:00:00,2022-01-04 12:00:00
H1_SSL_20220104_1100,H1,DOWN,1801.77,2022-01-04 11:00:00,2022-01-04 14:00:00
H1_BSL_20220104_1200,H1,UP,1808.41,2022-01-04 12:00:00,2022-01-04 15:00:00
H1_SSL_20220104_1400,H1,DOWN,1798.47,2022-01-04 14:00:00,2022-01-04 17:00:00
H1_BSL_20220104_1700,H1,UP,1816.52,2022-01-04 17:00:00,2022-01-04 20:00:00
H4_SSL_20220104_1200,H4,DOWN,1798.47,2022-01-04 12:00:00,2022-01-05 00:00:00
H1_BSL_20220104_2200,H1,UP,1815.39,2022-01-04 22:00:00,2022-01-05 02:00:00
H4_BSL_20220104_1600,H4,UP,1816.52,2022-01-04 16:00:00,2022-01-05 04:00:00
H1_SSL_20220105_0300,H1,DOWN,1812.67,2022-01-05 03:00:00,2022-01-05 06:00:00
H1_BSL_20220105_0500,H1,UP,1816.46,2022-01-05 05:00:00,2022-01-05 08:00:00
H1_SSL_20220105_0900,H1,DOWN,1812.47,2022-01-05 09:00:00,2022-01-05 12:00:00
H1_SSL_20220105_1500,H1,DOWN,1814.78,2022-01-05 15:00:00,2022-01-05 18:00:00
H1_BSL_20220105_1600,H1,UP,1829.42,2022-01-05 16:00:00,2022-01-05 19:00:00
H4_SSL_20220105_0800,H4,DOWN,1812.47,2022-01-05 08:00:00,2022-01-05 20:00:00
H1_SSL_20220105_2200,H1,DOWN,1808.11,2022-01-05 22:00:00,2022-01-06 02:00:00
H4_BSL_20220105_1600,H4,UP,1829.42,2022-01-05 16:00:00,2022-01-06 04:00:00
H1_BSL_20220106_0300,H1,UP,1811.45,2022-01-06 03:00:00,2022-01-06 06:00:00
H1_SSL_20220106_1100,H1,DOWN,1793.64,2022-01-06 11:00:00,2022-01-06 14:00:00
H1_BSL_20220106_1200,H1,UP,1806.97,2022-01-06 12:00:00,2022-01-06 15:00:00
H1_SSL_20220106_1500,H1,DOWN,1786.83,2022-01-06 15:00:00,2022-01-06 18:00:00
H1_BSL_20220106_1700,H1,UP,1795.75,2022-01-06 17:00:00,2022-01-06 20:00:00
H1_SSL_20220106_2100,H1,DOWN,1786.38,2022-01-06 21:00:00,2022-01-07 00:00:00
H1_BSL_20220107_0200,H1,UP,1792.56,2022-01-07 02:00:00,2022-01-07 05:00:00
H1_SSL_20220107_0300,H1,DOWN,1789.72,2022-01-07 03:00:00,2022-01-07 06:00:00
H1_BSL_20220107_0500,H1,UP,1793.13,2022-01-07 05:00:00,2022-01-07 08:00:00
H4_SSL_20220106_2000,H4,DOWN,1786.38,2022-01-06 20:00:00,2022-01-07 08:00:00
H1_SSL_20220107_1000,H1,DOWN,1787.67,2022-01-07 10:00:00,2022-01-07 13:00:00
H1_BSL_20220107_1200,H1,UP,1793.86,2022-01-07 12:00:00,2022-01-07 15:00:00
H1_BSL_20220107_1500,H1,UP,1796.21,2022-01-07 15:00:00,2022-01-07 18:00:00
H1_SSL_20220107_1500,H1,DOWN,1782.43,2022-01-07 15:00:00,2022-01-07 18:00:00
H1_BSL_20220107_2000,H1,UP,1798.72,2022-01-07 20:00:00,2022-01-07 23:00:00
H4_SSL_20220107_1200,H4,DOWN,1782.43,2022-01-07 12:00:00,2022-01-08 00:00:00
H1_SSL_20220110_0200,H1,DOWN,1792.29,2022-01-10 02:00:00,2022-01-10 05:00:00
H1_BSL_20220110_0300,H1,UP,1796.57,2022-01-10 03:00:00,2022-01-10 06:00:00
H4_BSL_20220107_2000,H4,UP,1798.72,2022-01-07 20:00:00,2022-01-10 08:00:00
H1_SSL_20220110_0900,H1,DOWN,1791.14,2022-01-10 09:00:00,2022-01-10 12:00:00
H1_BSL_20220110_1300,H1,UP,1802.42,2022-01-10 13:00:00,2022-01-10 16:00:00
H1_SSL_20220110_1600,H1,DOWN,1790.34,2022-01-10 16:00:00,2022-01-10 19:00:00
H4_BSL_20220110_1200,H4,UP,1802.42,2022-01-10 12:00:00,2022-01-11 00:00:00
H4_SSL_20220110_1600,H4,DOWN,1790.34,2022-01-10 16:00:00,2022-01-11 04:00:00
H1_BSL_20220111_1000,H1,UP,1810.17,2022-01-11 10:00:00,2022-01-11 13:00:00
H1_SSL_20220111_1300,H1,DOWN,1804.28,2022-01-11 13:00:00,2022-01-11 16:00:00
H1_SSL_20220111_1600,H1,DOWN,1801.83,2022-01-11 16:00:00,2022-01-11 19:00:00
H1_BSL_20220111_2200,H1,UP,1823.1,2022-01-11 22:00:00,2022-01-12 02:00:00
H4_SSL_20220111_1600,H4,DOWN,1801.83,2022-01-11 16:00:00,2022-01-12 04:00:00
H4_BSL_20220111_2000,H4,UP,1823.1,2022-01-11 20:00:00,2022-01-12 08:00:00
H1_SSL_20220112_0600,H1,DOWN,1817.69,2022-01-12 06:00:00,2022-01-12 09:00:00
H1_BSL_20220112_0700,H1,UP,1821.47,2022-01-12 07:00:00,2022-01-12 10:00:00
H1_SSL_20220112_1000,H1,DOWN,1814.77,2022-01-12 10:00:00,2022-01-12 13:00:00
H1_BSL_20220112_1500,H1,UP,1825.2,2022-01-12 15:00:00,2022-01-12 18:00:00
H4_SSL_20220112_0800,H4,DOWN,1814.77,2022-01-12 08:00:00,2022-01-12 20:00:00
H1_BSL_20220112_2100,H1,UP,1828.1,2022-01-12 21:00:00,2022-01-13 00:00:00
H1_BSL_20220113_0300,H1,UP,1826.58,2022-01-13 03:00:00,2022-01-13 06:00:00
H1_SSL_20220113_0400,H1,DOWN,1823.93,2022-01-13 04:00:00,2022-01-13 07:00:00
H4_BSL_20220112_2000,H4,UP,1828.1,2022-01-12 20:00:00,2022-01-13 08:00:00
H1_BSL_20220113_0700,H1,UP,1828.07,2022-01-13 07:00:00,2022-01-13 10:00:00
H1_BSL_20220113_1000,H1,UP,1827.66,2022-01-13 10:00:00,2022-01-13 13:00:00
H1_SSL_20220113_1100,H1,DOWN,1819.11,2022-01-13 11:00:00,2022-01-13 14:00:00
H1_BSL_20220113_1400,H1,UP,1826.04,2022-01-13 14:00:00,2022-01-13 17:00:00
H1_SSL_20220113_1800,H1,DOWN,1812.39,2022-01-13 18:00:00,2022-01-13 21:00:00
H1_BSL_20220113_2300,H1,UP,1822.83,2022-01-13 23:00:00,2022-01-14 03:00:00
H4_SSL_20220113_1600,H4,DOWN,1812.39,2022-01-13 16:00:00,2022-01-14 04:00:00
H1_SSL_20220114_0200,H1,DOWN,1819.53,2022-01-14 02:00:00,2022-01-14 05:00:00
H1_BSL_20220114_1000,H1,UP,1829.27,2022-01-14 10:00:00,2022-01-14 13:00:00
H1_BSL_20220114_1500,H1,UP,1827.62,2022-01-14 15:00:00,2022-01-14 18:00:00
H4_BSL_20220114_0800,H4,UP,1829.27,2022-01-14 08:00:00,2022-01-14 20:00:00
H1_SSL_20220114_2000,H1,DOWN,1814.5,2022-01-14 20:00:00,2022-01-14 23:00:00
H1_SSL_20220117_0300,H1,DOWN,1812.96,2022-01-17 03:00:00,2022-01-17 06:00:00
H4_SSL_20220117_0000,H4,DOWN,1812.96,2022-01-17 00:00:00,2022-01-17 12:00:00
H1_BSL_20220117_1000,H1,UP,1823.09,2022-01-17 10:00:00,2022-01-17 13:00:00
H1_BSL_20220117_1600,H1,UP,1821.47,2022-01-17 16:00:00,2022-01-17 19:00:00
H1_SSL_20220117_1700,H1,DOWN,1817.63,2022-01-17 17:00:00,2022-01-17 20:00:00
H4_BSL_20220117_0800,H4,UP,1823.09,2022-01-17 08:00:00,2022-01-17 20:00:00
H1_SSL_20220117_2100,H1,DOWN,1818.15,2022-01-17 21:00:00,2022-01-18 03:00:00
H4_SSL_20220117_1600,H4,DOWN,1817.63,2022-01-17 16:00:00,2022-01-18 04:00:00
H1_BSL_20220118_0500,H1,UP,1822.69,2022-01-18 05:00:00,2022-01-18 08:00:00
H1_SSL_20220118_0500,H1,DOWN,1815.23,2022-01-18 05:00:00,2022-01-18 08:00:00
H1_SSL_20220118_1100,H1,DOWN,1809.1,2022-01-18 11:00:00,2022-01-18 14:00:00
H4_BSL_20220118_0400,H4,UP,1822.69,2022-01-18 04:00:00,2022-01-18 16:00:00
