event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_BUY_SIDE_20250107_0300,2025H1,UP,1,2025-01-07 04:00:00,1.0,True,True
2025H1_BUY_SIDE_20250107_0300,2025H1,UP,2,2025-01-07 05:00:00,2.0,True,True
2025H1_BUY_SIDE_20250107_0300,2025H1,UP,3,2025-01-07 06:00:00,3.0,True,True
2025H1_BUY_SIDE_20250107_0700,2025H1,UP,1,2025-01-07 08:00:00,1.0,False,True
2025H1_BUY_SIDE_20250107_0700,2025H1,UP,2,2025-01-07 12:00:00,5.0,True,True
2025H1_BUY_SIDE_20250107_0700,2025H1,UP,3,2025-01-07 13:00:00,6.0,True,True
2025H1_SELL_SIDE_20250113_1200,2025H1,DOWN,1,2025-01-13 14:00:00,2.0,True,True
2025H1_SELL_SIDE_20250113_1200,2025H1,DOWN,2,2025-01-13 15:00:00,3.0,True,True
2025H1_SELL_SIDE_20250113_1200,2025H1,DOWN,3,2025-01-13 16:00:00,4.0,True,True
2025H1_BUY_SIDE_20250114_2100,2025H1,UP,1,2025-01-14 23:00:00,2.0,False,True
2025H1_BUY_SIDE_20250114_2100,2025H1,UP,2,2025-01-15 00:00:00,3.0,False,True
2025H1_BUY_SIDE_20250114_2100,2025H1,UP,3,2025-01-15 02:00:00,5.0,False,True
2025H1_BUY_SIDE_20250121_0300,2025H1,UP,1,2025-01-21 04:00:00,1.0,True,True
2025H1_BUY_SIDE_20250121_0300,2025H1,UP,2,2025-01-21 05:00:00,2.0,True,True
2025H1_BUY_SIDE_20250121_0300,2025H1,UP,3,2025-01-21 06:00:00,3.0,True,True
2025H1_SELL_SIDE_20250123_0500,2025H1,DOWN,1,2025-01-23 06:00:00,1.0,True,True
2025H1_SELL_SIDE_20250123_1100,2025H1,DOWN,1,2025-01-23 15:00:00,4.0,False,False
2025H1_SELL_SIDE_20250123_1100,2025H1,DOWN,2,2025-01-23 16:00:00,5.0,False,False
2025H1_BUY_SIDE_20250123_1800,2025H1,UP,1,2025-01-23 20:00:00,2.0,False,True
2025H1_BUY_SIDE_20250123_1800,2025H1,UP,2,2025-01-23 21:00:00,3.0,True,True
2025H1_BUY_SIDE_20250124_0200,2025H1,UP,1,2025-01-24 03:00:00,1.0,True,True
2025H1_BUY_SIDE_20250124_0200,2025H1,UP,2,2025-01-24 04:00:00,2.0,True,True
2025H1_BUY_SIDE_20250124_0200,2025H1,UP,3,2025-01-24 05:00:00,3.0,False,True
2025H1_BUY_SIDE_20250124_0300,2025H1,UP,1,2025-01-24 04:00:00,1.0,True,True
2025H1_BUY_SIDE_20250124_0300,2025H1,UP,2,2025-01-24 05:00:00,2.0,False,True
2025H1_BUY_SIDE_20250124_0300,2025H1,UP,3,2025-01-24 06:00:00,3.0,True,True
2025H1_SELL_SIDE_20250127_0100,2025H1,DOWN,1,2025-01-27 02:00:00,1.0,True,True
2025H1_SELL_SIDE_20250127_0100,2025H1,DOWN,2,2025-01-27 03:00:00,2.0,True,True
2025H1_SELL_SIDE_20250127_0100,2025H1,DOWN,3,2025-01-27 04:00:00,3.0,True,True
2025H1_SELL_SIDE_20250127_0700,2025H1,DOWN,1,2025-01-27 08:00:00,1.0,False,True
2025H1_SELL_SIDE_20250127_0800,2025H1,DOWN,1,2025-01-27 10:00:00,2.0,False,False
2025H1_BUY_SIDE_20250128_1400,2025H1,UP,1,2025-01-28 15:00:00,1.0,True,True
2025H1_BUY_SIDE_20250128_1400,2025H1,UP,2,2025-01-28 16:00:00,2.0,True,True
2025H1_BUY_SIDE_20250128_1400,2025H1,UP,3,2025-01-28 17:00:00,3.0,True,True
2025H1_BUY_SIDE_20250130_0200,2025H1,UP,1,2025-01-30 03:00:00,1.0,True,True
2025H1_BUY_SIDE_20250130_0600,2025H1,UP,1,2025-01-30 09:00:00,3.0,True,True
2025H1_BUY_SIDE_20250130_0600,2025H1,UP,2,2025-01-30 10:00:00,4.0,True,True
2025H1_BUY_SIDE_20250130_0600,2025H1,UP,3,2025-01-30 11:00:00,5.0,True,True
2025H1_SELL_SIDE_20250206_1600,2025H1,DOWN,1,2025-02-06 17:00:00,1.0,False,False
2025H1_BUY_SIDE_20250207_1100,2025H1,UP,1,2025-02-07 17:00:00,6.0,False,False
2025H1_BUY_SIDE_20250207_1600,2025H1,UP,1,2025-02-07 17:00:00,1.0,False,False
2025H1_BUY_SIDE_20250207_1600,2025H1,UP,2,2025-02-07 18:00:00,2.0,False,False
2025H1_SELL_SIDE_20250212_0200,2025H1,DOWN,1,2025-02-12 03:00:00,1.0,True,True
2025H1_SELL_SIDE_20250212_0200,2025H1,DOWN,2,2025-02-12 04:00:00,2.0,True,True
2025H1_SELL_SIDE_20250212_0200,2025H1,DOWN,3,2025-02-12 05:00:00,3.0,True,True
2025H1_BUY_SIDE_20250212_1600,2025H1,UP,1,2025-02-12 19:00:00,3.0,False,True
2025H1_BUY_SIDE_20250212_1600,2025H1,UP,2,2025-02-12 20:00:00,4.0,False,True
2025H1_BUY_SIDE_20250212_1600,2025H1,UP,3,2025-02-12 21:00:00,5.0,True,True
2025H1_BUY_SIDE_20250212_1800,2025H1,UP,1,2025-02-12 19:00:00,1.0,False,True
2025H1_BUY_SIDE_20250212_1800,2025H1,UP,2,2025-02-12 20:00:00,2.0,False,True
2025H1_BUY_SIDE_20250212_1800,2025H1,UP,3,2025-02-12 21:00:00,3.0,True,True
2025H1_SELL_SIDE_20250214_1500,2025H1,DOWN,1,2025-02-14 16:00:00,1.0,True,True
2025H1_SELL_SIDE_20250214_1500,2025H1,DOWN,2,2025-02-14 17:00:00,2.0,True,True
2025H1_SELL_SIDE_20250214_1500,2025H1,DOWN,3,2025-02-14 18:00:00,3.0,True,True
2025H1_SELL_SIDE_20250219_1800,2025H1,DOWN,1,2025-02-19 20:00:00,2.0,False,False
2025H1_SELL_SIDE_20250219_1800,2025H1,DOWN,2,2025-02-19 21:00:00,3.0,False,False
2025H1_SELL_SIDE_20250221_0300,2025H1,DOWN,1,2025-02-21 04:00:00,1.0,False,False
2025H1_SELL_SIDE_20250221_0300,2025H1,DOWN,2,2025-02-21 07:00:00,4.0,True,True
2025H1_SELL_SIDE_20250221_0300,2025H1,DOWN,3,2025-02-21 08:00:00,5.0,True,True
2025H1_SELL_SIDE_20250221_0700,2025H1,DOWN,1,2025-02-21 11:00:00,4.0,False,False
2025H1_BUY_SIDE_20250221_1600,2025H1,UP,1,2025-02-21 19:00:00,3.0,True,True
2025H1_BUY_SIDE_20250221_1600,2025H1,UP,2,2025-02-21 20:00:00,4.0,False,False
2025H1_BUY_SIDE_20250221_1600,2025H1,UP,3,2025-02-21 21:00:00,5.0,False,False
2025H1_BUY_SIDE_20250221_1900,2025H1,UP,1,2025-02-21 20:00:00,1.0,False,False
2025H1_BUY_SIDE_20250221_1900,2025H1,UP,2,2025-02-21 21:00:00,2.0,False,False
2025H1_BUY_SIDE_20250224_0400,2025H1,UP,1,2025-02-24 05:00:00,1.0,True,True
2025H1_BUY_SIDE_20250224_0400,2025H1,UP,2,2025-02-24 06:00:00,2.0,True,True
2025H1_BUY_SIDE_20250224_0400,2025H1,UP,3,2025-02-24 07:00:00,3.0,True,True
2025H1_BUY_SIDE_20250224_0500,2025H1,UP,1,2025-02-24 10:00:00,5.0,True,False
2025H1_BUY_SIDE_20250224_0500,2025H1,UP,2,2025-02-24 11:00:00,6.0,False,False
2025H1_SELL_SIDE_20250225_0900,2025H1,DOWN,1,2025-02-25 15:00:00,6.0,True,True
2025H1_SELL_SIDE_20250225_1400,2025H1,DOWN,1,2025-02-25 15:00:00,1.0,True,True
2025H1_SELL_SIDE_20250225_1400,2025H1,DOWN,2,2025-02-25 19:00:00,5.0,False,False
2025H1_SELL_SIDE_20250225_1400,2025H1,DOWN,3,2025-02-25 20:00:00,6.0,False,False
2025H1_BUY_SIDE_20250227_0100,2025H1,UP,1,2025-02-27 02:00:00,1.0,False,False
2025H1_SELL_SIDE_20250227_0300,2025H1,DOWN,1,2025-02-27 05:00:00,2.0,True,True
2025H1_SELL_SIDE_20250227_0300,2025H1,DOWN,2,2025-02-27 06:00:00,3.0,True,True
2025H1_SELL_SIDE_20250227_0300,2025H1,DOWN,3,2025-02-27 07:00:00,4.0,True,True
2025H1_BUY_SIDE_20250303_0100,2025H1,UP,1,2025-03-03 02:00:00,1.0,False,False
2025H1_BUY_SIDE_20250303_0100,2025H1,UP,2,2025-03-03 03:00:00,2.0,False,True
2025H1_BUY_SIDE_20250303_0100,2025H1,UP,3,2025-03-03 04:00:00,3.0,False,False
2025H1_BUY_SIDE_20250303_1400,2025H1,UP,1,2025-03-03 18:00:00,4.0,False,False
2025H1_BUY_SIDE_20250303_1400,2025H1,UP,2,2025-03-03 19:00:00,5.0,False,False
2025H1_BUY_SIDE_20250303_1400,2025H1,UP,3,2025-03-03 20:00:00,6.0,False,False
2025H1_SELL_SIDE_20250305_1500,2025H1,DOWN,1,2025-03-05 16:00:00,1.0,False,False
2025H1_BUY_SIDE_20250305_1700,2025H1,UP,1,2025-03-05 19:00:00,2.0,False,False
2025H1_BUY_SIDE_20250306_0300,2025H1,UP,1,2025-03-06 04:00:00,1.0,False,False
2025H1_BUY_SIDE_20250306_0300,2025H1,UP,2,2025-03-06 05:00:00,2.0,False,False
2025H1_SELL_SIDE_20250306_0700,2025H1,DOWN,1,2025-03-06 10:00:00,3.0,True,True
2025H1_SELL_SIDE_20250306_0700,2025H1,DOWN,2,2025-03-06 11:00:00,4.0,True,False
2025H1_SELL_SIDE_20250306_0700,2025H1,DOWN,3,2025-03-06 12:00:00,5.0,False,False
2025H1_SELL_SIDE_20250306_0900,2025H1,DOWN,1,2025-03-06 10:00:00,1.0,True,True
2025H1_SELL_SIDE_20250306_0900,2025H1,DOWN,2,2025-03-06 11:00:00,2.0,True,False
2025H1_SELL_SIDE_20250306_0900,2025H1,DOWN,3,2025-03-06 12:00:00,3.0,False,False
