dt,open,high,low,close,block,ema20,ema50,state_ema20,state_net_mid,state_ema_stack,h1_state_consensus,h1_agree_n,known_at,macro_state_majority,flow_state,macro_agree_n,role_agree_n,h1_vs_h4_relation
2025-01-02 08:00:00,2634.08,2635.4,2631.24,2634.15,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 09:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 09:00:00,2634.14,2635.97,2632.95,2635.95,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 10:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 10:00:00,2635.93,2637.78,2631.09,2636.43,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 11:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 11:00:00,2636.47,2639.87,2635.99,2636.02,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 12:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 12:00:00,2636.03,2646.29,2632.7,2642.7,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 13:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 13:00:00,2642.54,2644.61,2640.25,2641.97,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 14:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 14:00:00,2642.03,2646.45,2640.34,2643.31,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 15:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 15:00:00,2643.28,2647.22,2636.0,2643.0,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 16:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 16:00:00,2642.93,2651.02,2640.36,2647.62,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 17:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 17:00:00,2647.5,2655.88,2645.19,2654.07,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 18:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 18:00:00,2654.06,2660.39,2649.97,2659.22,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 19:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 19:00:00,2659.25,2660.48,2652.54,2656.55,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 20:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 20:00:00,2656.58,2658.8,2653.76,2655.43,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 21:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 21:00:00,2655.5,2657.08,2653.72,2654.72,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 22:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 22:00:00,2654.74,2660.45,2654.14,2659.62,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-02 23:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-02 23:00:00,2659.64,2660.18,2656.5,2657.96,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 00:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 01:00:00,2657.93,2659.55,2656.86,2658.39,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 02:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 02:00:00,2658.37,2661.07,2658.28,2660.69,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 03:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 03:00:00,2660.7,2662.55,2656.63,2659.44,2025H1,,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 04:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 04:00:00,2659.4,2664.05,2656.19,2662.55,2025H1,2651.8951874150484,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 05:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 05:00:00,2662.52,2665.2,2661.27,2662.29,2025H1,2652.885169565996,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 06:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 06:00:00,2662.22,2664.32,2661.74,2662.84,2025H1,2653.833248654949,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 07:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 07:00:00,2662.85,2662.89,2655.85,2658.51,2025H1,2654.278653544954,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 08:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 08:00:00,2658.55,2660.29,2656.65,2659.57,2025H1,2654.7825913025777,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 09:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 09:00:00,2659.56,2659.56,2651.89,2654.2,2025H1,2654.727106416618,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 10:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 10:00:00,2654.17,2655.74,2649.83,2652.94,2025H1,2654.5569058055116,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 11:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 11:00:00,2652.89,2655.88,2652.77,2653.59,2025H1,2654.46481953832,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 12:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 12:00:00,2653.49,2657.94,2652.99,2657.59,2025H1,2654.762455772766,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 13:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 13:00:00,2657.55,2659.29,2656.35,2657.58,2025H1,2655.0307933182166,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 14:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 14:00:00,2657.69,2658.27,2654.82,2655.3,2025H1,2655.0564320498147,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 15:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 15:00:00,2655.24,2656.3,2643.46,2649.78,2025H1,2654.5539147117374,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 16:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 16:00:00,2649.79,2652.68,2645.12,2646.79,2025H1,2653.8144942630006,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 17:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 17:00:00,2646.48,2648.21,2640.92,2643.85,2025H1,2652.8654948093813,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 18:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 18:00:00,2643.89,2647.22,2639.1,2639.94,2025H1,2651.634495303726,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 19:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 19:00:00,2639.94,2642.6,2639.08,2641.76,2025H1,2650.694067179562,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 20:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 20:00:00,2641.8,2642.27,2639.68,2641.84,2025H1,2649.8508226862705,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 21:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 21:00:00,2641.87,2642.93,2639.1,2639.44,2025H1,2648.859315763769,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 22:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 22:00:00,2639.41,2640.08,2636.82,2638.19,2025H1,2647.843190452934,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-03 23:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-03 23:00:00,2638.21,2640.67,2636.64,2640.23,2025H1,2647.1181246955116,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-04 00:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 01:00:00,2639.26,2642.36,2638.78,2640.98,2025H1,2646.533541391177,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 02:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 02:00:00,2640.97,2643.33,2638.56,2643.12,2025H1,2646.208442211065,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 03:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 03:00:00,2643.2,2647.35,2640.71,2641.32,2025H1,2645.742876286202,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 04:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 04:00:00,2641.24,2645.27,2639.72,2644.5,2025H1,2645.6245071160874,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 05:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 05:00:00,2644.49,2645.33,2639.21,2640.19,2025H1,2645.1069350097937,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 06:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 06:00:00,2640.17,2640.74,2634.36,2635.45,2025H1,2644.187226913623,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 07:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 07:00:00,2635.41,2636.18,2631.48,2633.85,2025H1,2643.2027291123254,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 08:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 08:00:00,2633.86,2635.31,2630.18,2631.49,2025H1,2642.087231101628,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 09:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 09:00:00,2631.47,2633.61,2625.17,2626.83,2025H1,2640.6341614729013,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 10:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 10:00:00,2626.85,2632.55,2625.72,2631.43,2025H1,2639.7575746659586,,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 11:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 11:00:00,2631.35,2635.7,2631.13,2632.66,2025H1,2639.0816151739627,2642.715824008681,WARMUP,WARMUP,WARMUP,WARMUP,3,2025-01-06 12:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 12:00:00,2632.66,2634.96,2630.88,2633.72,2025H1,2638.5709851573947,2642.363046596576,DOWN,DOWN,DOWN,DOWN,3,2025-01-06 13:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 13:00:00,2633.74,2649.37,2632.5,2645.55,2025H1,2639.235653237643,2642.4880251614168,BALANCE,UP,BALANCE,BALANCE,2,2025-01-06 14:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 14:00:00,2645.57,2647.78,2642.02,2645.39,2025H1,2639.8217815007247,2642.601828096263,UP,UP,BALANCE,UP,2,2025-01-06 15:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 15:00:00,2645.39,2648.82,2621.74,2624.14,2025H1,2638.328278500656,2641.8778348375863,DOWN,DOWN,DOWN,DOWN,3,2025-01-06 16:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 16:00:00,2624.08,2634.95,2614.68,2631.59,2025H1,2637.6865376910696,2641.4743903341514,DOWN,BALANCE,DOWN,DOWN,2,2025-01-06 17:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 17:00:00,2631.57,2639.54,2629.44,2634.26,2025H1,2637.3602007681106,2641.1914730661456,DOWN,UP,DOWN,DOWN,2,2025-01-06 18:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 18:00:00,2634.27,2641.28,2632.46,2640.75,2025H1,2637.6830387901955,2641.174160396885,BALANCE,UP,BALANCE,BALANCE,2,2025-01-06 19:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 19:00:00,2640.81,2641.05,2634.19,2636.66,2025H1,2637.5856065244625,2640.997134498968,DOWN,UP,DOWN,DOWN,2,2025-01-06 20:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 20:00:00,2636.65,2638.5,2633.75,2634.57,2025H1,2637.298405903085,2640.745090008813,DOWN,UP,DOWN,DOWN,2,2025-01-06 21:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 21:00:00,2634.59,2635.52,2632.88,2634.39,2025H1,2637.021414864696,2640.4958707927813,DOWN,BALANCE,DOWN,DOWN,2,2025-01-06 22:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 22:00:00,2634.37,2635.42,2633.11,2634.51,2025H1,2636.7822324966296,2640.261130761692,DOWN,BALANCE,DOWN,DOWN,2,2025-01-06 23:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-06 23:00:00,2634.52,2636.99,2634.52,2635.9,2025H1,2636.6982103540936,2640.09010602594,DOWN,UP,DOWN,DOWN,2,2025-01-07 00:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 01:00:00,2636.18,2636.38,2633.39,2634.62,2025H1,2636.5002855584657,2639.8755920641383,DOWN,BALANCE,DOWN,DOWN,2,2025-01-07 02:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 02:00:00,2634.7,2635.2,2632.9,2634.99,2025H1,2636.356448838612,2639.6840002184863,DOWN,BALANCE,DOWN,DOWN,2,2025-01-07 03:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 03:00:00,2634.93,2641.15,2634.84,2638.93,2025H1,2636.6015489492206,2639.654431582467,BALANCE,BALANCE,BALANCE,BALANCE,3,2025-01-07 04:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 04:00:00,2638.9,2640.06,2636.92,2638.62,2025H1,2636.7937823826283,2639.6138656380567,UP,UP,BALANCE,UP,2,2025-01-07 05:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 05:00:00,2638.61,2640.2,2637.49,2639.56,2025H1,2637.057231679521,2639.611753260094,UP,UP,BALANCE,UP,2,2025-01-07 06:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 06:00:00,2639.55,2639.71,2637.31,2638.28,2025H1,2637.173685805281,2639.559527642051,UP,UP,BALANCE,UP,2,2025-01-07 07:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 07:00:00,2638.21,2645.7,2637.02,2644.42,2025H1,2637.8638109666826,2639.750134401186,UP,UP,BALANCE,UP,2,2025-01-07 08:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 08:00:00,2644.38,2646.71,2639.83,2640.21,2025H1,2638.0872575412845,2639.768168346238,UP,UP,BALANCE,UP,2,2025-01-07 09:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 09:00:00,2640.2,2642.16,2637.99,2640.5,2025H1,2638.317042537353,2639.7968676267774,UP,UP,BALANCE,UP,2,2025-01-07 10:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 10:00:00,2640.49,2644.75,2640.07,2642.59,2025H1,2638.7239908671286,2639.906402229649,UP,UP,BALANCE,UP,2,2025-01-07 11:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 11:00:00,2642.6,2644.13,2640.2,2641.39,2025H1,2638.977896498831,2639.9645825343687,UP,BALANCE,BALANCE,BALANCE,2,2025-01-07 12:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 12:00:00,2641.32,2644.71,2641.27,2643.85,2025H1,2639.441906356085,2640.1169518467464,UP,UP,BALANCE,UP,2,2025-01-07 13:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 13:00:00,2643.84,2648.65,2641.98,2648.35,2025H1,2640.290296226934,2640.4398164802074,UP,UP,BALANCE,UP,2,2025-01-07 14:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 14:00:00,2648.35,2652.6,2647.35,2651.58,2025H1,2641.365506110083,2640.87668642216,UP,UP,UP,UP,3,2025-01-07 15:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 15:00:00,2651.6,2664.23,2649.93,2662.52,2025H1,2643.3802198138847,2641.72544381737,UP,UP,UP,UP,3,2025-01-07 16:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 16:00:00,2662.6,2662.95,2655.75,2658.21,2025H1,2644.79257983161,2642.3718970010023,UP,UP,UP,UP,3,2025-01-07 17:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 17:00:00,2653.88,2654.77,2641.97,2647.67,2025H1,2645.0666198476474,2642.5796657460614,UP,BALANCE,UP,UP,2,2025-01-07 18:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 18:00:00,2647.67,2655.56,2646.46,2651.77,2025H1,2645.705037005014,2642.9400710109217,UP,BALANCE,UP,UP,2,2025-01-07 19:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 19:00:00,2651.76,2656.02,2650.24,2652.47,2025H1,2646.349319195013,2643.3137937163756,UP,BALANCE,UP,UP,2,2025-01-07 20:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 20:00:00,2652.46,2652.6,2647.24,2649.09,2025H1,2646.6103364145356,2643.5403116098514,UP,BALANCE,UP,UP,2,2025-01-07 21:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 21:00:00,2649.09,2650.28,2646.97,2649.24,2025H1,2646.860780565532,2643.763828801622,UP,BALANCE,UP,UP,2,2025-01-07 22:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 22:00:00,2649.25,2651.37,2647.11,2650.35,2025H1,2647.1930871783384,2644.022110025088,UP,DOWN,UP,UP,2,2025-01-07 23:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-07 23:00:00,2650.36,2650.41,2647.81,2648.63,2025H1,2647.3299360184965,2644.2028115927315,UP,DOWN,UP,UP,2,2025-01-08 00:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-08 01:00:00,2647.73,2650.14,2647.56,2649.72,2025H1,2647.557561159592,2644.4191719224286,UP,BALANCE,UP,UP,2,2025-01-08 02:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-08 02:00:00,2649.57,2651.51,2648.68,2650.52,2025H1,2647.839698192012,2644.6584200823336,UP,BALANCE,UP,UP,2,2025-01-08 03:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-08 03:00:00,2650.53,2650.84,2647.15,2648.76,2025H1,2647.927345983249,2644.8192663536147,UP,DOWN,UP,UP,2,2025-01-08 04:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-08 04:00:00,2648.77,2650.36,2645.94,2648.9,2025H1,2648.01997969913,2644.9792951240615,UP,DOWN,UP,UP,2,2025-01-08 05:00:00,,,,,H4_NON_DIRECTIONAL
2025-01-08 05:00:00,2648.71,2648.83,2645.61,2646.79,2025H1,2647.9028387754033,2645.050303158412,BALANCE,DOWN,BALANCE,BALANCE,2,2025-01-08 06:00:00,,,,,H4_NON_DIRECTIONAL
