block,state,macro_state,start,end,hours,prev_state,next_state
2025H1,MIG_UP,UP,2025-01-15 16:00:00,2025-01-17 08:00:00,40,,UNRESOLVED_UP
2025H1,UNRESOLVED_UP,UP,2025-01-17 08:00:00,2025-01-17 16:00:00,8,MIG_UP,MIG_UP
2025H1,MIG_UP,UP,2025-01-17 16:00:00,2025-01-17 20:00:00,4,UNRESOLVED_UP,REPAIR_UP
2025H1,REPAIR_UP,UP,2025-01-17 20:00:00,2025-01-18 00:00:00,4,MIG_UP,BALANCE
2025H1,BALANCE,BALANCE,2025-01-20 00:00:00,2025-01-20 04:00:00,4,REPAIR_UP,PAUSE_UP
2025H1,PAUSE_UP,UP,2025-01-20 04:00:00,2025-01-20 08:00:00,4,BALANCE,MIG_UP
2025H1,MIG_UP,UP,2025-01-20 08:00:00,2025-01-20 12:00:00,4,PAUSE_UP,PAUSE_UP
2025H1,PAUSE_UP,UP,2025-01-20 12:00:00,2025-01-20 16:00:00,4,MIG_UP,MIG_UP
2025H1,MIG_UP,UP,2025-01-20 16:00:00,2025-01-23 04:00:00,60,PAUSE_UP,UNRESOLVED_UP
2025H1,UNRESOLVED_UP,UP,2025-01-23 04:00:00,2025-01-23 08:00:00,4,MIG_UP,REPAIR_UP
2025H1,REPAIR_UP,UP,2025-01-23 08:00:00,2025-01-23 16:00:00,8,UNRESOLVED_UP,MIG_UP
2025H1,MIG_UP,UP,2025-01-23 16:00:00,2025-01-23 20:00:00,4,REPAIR_UP,PAUSE_UP
2025H1,PAUSE_UP,UP,2025-01-23 20:00:00,2025-01-24 00:00:00,4,MIG_UP,MIG_UP
2025H1,MIG_UP,UP,2025-01-24 00:00:00,2025-01-25 00:00:00,24,PAUSE_UP,PAUSE_UP
2025H1,PAUSE_UP,UP,2025-01-27 00:00:00,2025-01-27 04:00:00,4,MIG_UP,BALANCE
2025H1,BALANCE,BALANCE,2025-01-27 04:00:00,2025-01-27 08:00:00,4,PAUSE_UP,UNRESOLVED_UP
2025H1,UNRESOLVED_UP,UP,2025-01-27 08:00:00,2025-01-27 16:00:00,8,BALANCE,MIG_DOWN
2025H1,MIG_DOWN,DOWN,2025-01-27 16:00:00,2025-01-28 12:00:00,20,UNRESOLVED_UP,UNRESOLVED_DOWN
