metric,2025_05,other_2025_months_mean,other_2025_months_median,may_minus_other_mean
strong_h4_authority_share_within_directional,0.7400881057268722,0.8091979476731683,0.8220140515222483,-0.0691098419462961
weak_h4_authority_share_within_directional,0.2599118942731278,0.19080205232683167,0.1779859484777517,0.0691098419462961
h4_local_interrupt_share_all_hours,0.3227722772277228,0.2379397559822439,0.2443064182194617,0.08483252124547888
h4_neutral_share_all_hours,0.100990099009901,0.07535465047907965,0.0720524017467248,0.02563544853082135
h1_interrupt_share_within_directional,0.3237885462555066,0.2899182036616214,0.272108843537415,0.033870342593885217
h1_realign_rate,0.5925925925925926,0.8076923076923077,0.8333333333333334,-0.21509971509971515
median_h1_bars_to_resolution,5.0,3.7,3.5,1.2999999999999998
h4_resume_rate,0.5384615384615384,0.6260256410256411,0.625,-0.08756410256410263
h4_neutralize_rate,0.3076923076923077,0.29692307692307696,0.3,0.010769230769230753
directional_side_changes,9.0,4.8,5.0,4.2
median_transition_buffer_hours,16.0,14.8,12.0,1.1999999999999993
