h1_cycle_id,block,h4_side,start,resolution,hours,path,outcome,h1_bars_to_resolution,month
2025H1-H1C001,2025H1,UP,2025-01-17 10:00:00,2025-01-17 18:00:00,8.0,COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,8,2025-01
2025H1-H1C002,2025H1,UP,2025-01-17 21:00:00,2025-01-20 08:00:00,59.0,LOCAL_BALANCE -> COUNTERFLOW -> COUNTERFLOW,H1_REALIGN,6,2025-01
2025H1-H1C003,2025H1,UP,2025-01-20 10:00:00,2025-01-20 11:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-01
2025H1-H1C004,2025H1,UP,2025-01-20 16:00:00,2025-01-20 17:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-01
2025H1-H1C005,2025H1,UP,2025-01-21 03:00:00,2025-01-21 04:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-01
2025H1-H1C006,2025H1,UP,2025-01-23 04:00:00,2025-01-23 19:00:00,15.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,15,2025-01
2025H1-H1C007,2025H1,UP,2025-01-24 23:00:00,2025-01-27 12:00:00,61.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,8,2025-01
2025H1-H1C008,2025H1,UP,2025-01-27 15:00:00,2025-01-27 20:00:00,5.0,LOCAL_BALANCE,H4_SIDE_CHANGED,5,2025-01
2025H1-H1C009,2025H1,DOWN,2025-01-28 15:00:00,2025-01-28 20:00:00,5.0,LOCAL_BALANCE,H4_SIDE_CHANGED,5,2025-01
2025H1-H1C010,2025H1,UP,2025-01-29 13:00:00,2025-01-29 17:00:00,4.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,4,2025-01
2025H1-H1C011,2025H1,UP,2025-01-29 18:00:00,2025-01-30 00:00:00,6.0,COUNTERFLOW,H1_REALIGN,2,2025-01
2025H1-H1C012,2025H1,UP,2025-01-31 21:00:00,2025-02-03 11:00:00,62.0,LOCAL_BALANCE -> COUNTERFLOW -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,13,2025-01
2025H1-H1C013,2025H1,UP,2025-02-04 09:00:00,2025-02-04 11:00:00,2.0,LOCAL_BALANCE,H1_REALIGN,2,2025-02
2025H1-H1C014,2025H1,UP,2025-02-06 09:00:00,2025-02-06 15:00:00,6.0,COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,6,2025-02
2025H1-H1C015,2025H1,UP,2025-02-06 16:00:00,2025-02-07 02:00:00,10.0,COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,9,2025-02
2025H1-H1C016,2025H1,UP,2025-02-07 09:00:00,2025-02-07 10:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-02
