month,h4_macro_agree_n,n,h4_side_change_rate,h1_realign_rate
2025-01,2,2,0.5,0.5
2025-01,3,10,0.1,0.9
2025-02,2,6,0.5,0.5
2025-02,3,18,0.05555555555555555,0.9444444444444444
2025-03,2,7,0.2857142857142857,0.7142857142857143
2025-03,3,19,0.15789473684210525,0.8421052631578947
2025-04,2,8,0.25,0.75
2025-04,3,18,0.2777777777777778,0.7222222222222222
2025-05,2,7,0.8571428571428571,0.14285714285714285
2025-05,3,20,0.25,0.75
2025-06,2,7,0.42857142857142855,0.5714285714285714
2025-06,3,23,0.08695652173913043,0.9130434782608695
2026-01,3,12,0.16666666666666666,0.8333333333333334
2026-02,2,7,0.42857142857142855,0.5714285714285714
2026-02,3,22,0.18181818181818182,0.8181818181818182
