block,start,prior_directional_side,next_migration_side,outcome,hours_to_next_migration
2025H1,2025-01-29 16:00:00,UP,UP,SAME_NEXT_MIGRATION,4.0
2025H1,2025-02-12 08:00:00,UP,UP,SAME_NEXT_MIGRATION,12.0
2025H1,2025-02-14 16:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-02-17 12:00:00,UP,UP,SAME_NEXT_MIGRATION,16.0
2025H1,2025-02-24 00:00:00,UP,UP,SAME_NEXT_MIGRATION,4.0
2025H1,2025-02-25 12:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-03-03 20:00:00,DOWN,UP,OPPOSITE_NEXT_MIGRATION,12.0
2025H1,2025-03-07 16:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,68.0
2025H1,2025-03-25 20:00:00,UP,UP,SAME_NEXT_MIGRATION,4.0
2025H1,2025-03-26 08:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-04-03 20:00:00,DOWN,DOWN,SAME_NEXT_MIGRATION,12.0
2025H1,2025-04-23 04:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-04-24 00:00:00,DOWN,UP,OPPOSITE_NEXT_MIGRATION,24.0
2025H1,2025-04-25 04:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-04-30 16:00:00,DOWN,DOWN,SAME_NEXT_MIGRATION,4.0
2025H1,2025-05-15 20:00:00,DOWN,UP,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-05-19 16:00:00,UP,UP,SAME_NEXT_MIGRATION,4.0
2025H1,2025-05-28 00:00:00,DOWN,DOWN,SAME_NEXT_MIGRATION,16.0
2025H1,2025-05-30 12:00:00,DOWN,DOWN,SAME_NEXT_MIGRATION,8.0
2025H1,2025-06-05 20:00:00,UP,UP,SAME_NEXT_MIGRATION,8.0
2025H1,2025-06-06 12:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2025H1,2025-06-17 04:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,40.0
2026JF,2026-01-30 04:00:00,UP,DOWN,OPPOSITE_NEXT_MIGRATION,4.0
2026JF,2026-02-06 12:00:00,DOWN,UP,OPPOSITE_NEXT_MIGRATION,4.0
2026JF,2026-02-18 12:00:00,DOWN,UP,OPPOSITE_NEXT_MIGRATION,4.0
