block,side,start,prior_category,outcome,hours_to_resolution
2025H1,UP,2025-01-17 08:00:00,FROM_MIGRATION,SAME_MIGRATION,8.0
2025H1,UP,2025-01-23 04:00:00,FROM_MIGRATION,SAME_MIGRATION,12.0
2025H1,UP,2025-01-27 08:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,8.0
2025H1,DOWN,2025-01-28 12:00:00,FROM_MIGRATION,OPPOSITE_SIDE,4.0
2025H1,UP,2025-01-30 04:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-02-06 08:00:00,FROM_MIGRATION,SAME_MIGRATION,24.0
2025H1,UP,2025-02-06 20:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,12.0
2025H1,UP,2025-02-11 12:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,16.0
2025H1,UP,2025-02-12 00:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,4.0
2025H1,UP,2025-02-14 12:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,DOWN,2025-02-18 00:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,4.0
2025H1,UP,2025-02-19 16:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-02-20 12:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-02-21 00:00:00,FROM_MIGRATION,SAME_MIGRATION,20.0
2025H1,UP,2025-02-21 12:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,8.0
2025H1,UP,2025-02-25 08:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,4.0
2025H1,DOWN,2025-02-27 00:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,DOWN,2025-03-03 08:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,8.0
2025H1,UP,2025-03-05 12:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-03-07 20:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,64.0
2025H1,UP,2025-03-19 16:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-03-21 00:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,UP,2025-03-21 08:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,4.0
2025H1,DOWN,2025-03-24 00:00:00,FROM_MIGRATION,SAME_MIGRATION,16.0
2025H1,DOWN,2025-03-24 12:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,4.0
2025H1,DOWN,2025-03-24 20:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-03-25 08:00:00,FROM_OTHER,SAME_MIGRATION,4.0
2025H1,UP,2025-03-25 16:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,UP,2025-04-02 00:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,8.0
2025H1,UP,2025-04-02 12:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-04-03 08:00:00,FROM_MIGRATION,OPPOSITE_SIDE,4.0
2025H1,DOWN,2025-04-04 00:00:00,FROM_NEUTRAL,SAME_MIGRATION,8.0
2025H1,DOWN,2025-04-08 08:00:00,FROM_MIGRATION,SAME_MIGRATION,8.0
2025H1,DOWN,2025-04-09 08:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,4.0
2025H1,UP,2025-04-17 16:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,UP,2025-04-22 16:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,8.0
2025H1,DOWN,2025-04-24 08:00:00,FROM_SAME_SIDE_LOCAL,OPPOSITE_SIDE,12.0
2025H1,UP,2025-04-24 20:00:00,FROM_OTHER,SAME_MIGRATION,4.0
2025H1,UP,2025-04-29 16:00:00,FROM_OTHER,OPPOSITE_SIDE,4.0
2025H1,DOWN,2025-04-29 20:00:00,FROM_OTHER,SAME_MIGRATION,4.0
2025H1,DOWN,2025-05-02 04:00:00,FROM_MIGRATION,SAME_MIGRATION,12.0
2025H1,DOWN,2025-05-02 20:00:00,FROM_MIGRATION,NEUTRALIZED,60.0
2025H1,UP,2025-05-07 12:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,12.0
2025H1,DOWN,2025-05-09 08:00:00,FROM_MIGRATION,SAME_MIGRATION,64.0
2025H1,DOWN,2025-05-09 16:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,56.0
2025H1,DOWN,2025-05-13 08:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,4.0
2025H1,DOWN,2025-05-15 12:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,DOWN,2025-05-16 04:00:00,FROM_OTHER,SAME_MIGRATION,8.0
2025H1,DOWN,2025-05-16 20:00:00,FROM_MIGRATION,NEUTRALIZED,52.0
2025H1,UP,2025-05-20 00:00:00,FROM_MIGRATION,OPPOSITE_SIDE,4.0
2025H1,UP,2025-05-26 12:00:00,FROM_MIGRATION,SAME_MIGRATION,12.0
2025H1,DOWN,2025-05-28 12:00:00,FROM_OTHER,SAME_MIGRATION,4.0
2025H1,DOWN,2025-05-30 08:00:00,FROM_NEUTRAL,NEUTRALIZED,4.0
2025H1,DOWN,2025-05-30 16:00:00,FROM_NEUTRAL,SAME_MIGRATION,4.0
