block,prior_category,outcome,n,prior_total,share
2025H1,FROM_MIGRATION,NEUTRALIZED,8,34,0.23529411764705882
2025H1,FROM_MIGRATION,OPPOSITE_SIDE,3,34,0.08823529411764706
2025H1,FROM_MIGRATION,SAME_MIGRATION,23,34,0.6764705882352942
2025H1,FROM_NEUTRAL,NEUTRALIZED,1,9,0.1111111111111111
2025H1,FROM_NEUTRAL,OPPOSITE_SIDE,5,9,0.5555555555555556
2025H1,FROM_NEUTRAL,SAME_MIGRATION,3,9,0.3333333333333333
2025H1,FROM_OTHER,OPPOSITE_SIDE,1,7,0.14285714285714285
2025H1,FROM_OTHER,SAME_MIGRATION,6,7,0.8571428571428571
2025H1,FROM_SAME_SIDE_LOCAL,END,1,16,0.0625
2025H1,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,6,16,0.375
2025H1,FROM_SAME_SIDE_LOCAL,OPPOSITE_SIDE,1,16,0.0625
2025H1,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,8,16,0.5
2026JF,FROM_MIGRATION,NEUTRALIZED,4,11,0.36363636363636365
2026JF,FROM_MIGRATION,OPPOSITE_SIDE,1,11,0.09090909090909091
2026JF,FROM_MIGRATION,SAME_MIGRATION,6,11,0.5454545454545454
2026JF,FROM_NEUTRAL,OPPOSITE_SIDE,1,3,0.3333333333333333
2026JF,FROM_NEUTRAL,SAME_MIGRATION,2,3,0.6666666666666666
2026JF,FROM_OTHER,SAME_MIGRATION,2,2,1.0
2026JF,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,1,3,0.3333333333333333
2026JF,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,2,3,0.6666666666666666
