block,h4_phase,h4_confidence,h1_core_role,h1_hours,block_hours,time_share
2025H1,MIGRATION,STRONG_SIDE,ALIGNED,1298,2687,0.4830666170450316
2025H1,LOCAL_INTERRUPT,STRONG_SIDE,H1_INTERRUPT,319,2687,0.11871976181615185
2025H1,MIGRATION,STRONG_SIDE,H1_INTERRUPT,222,2687,0.08262002232973577
2025H1,NEUTRAL,NO_DIRECTIONAL_AUTHORITY,NEUTRAL_AUCTION,222,2687,0.08262002232973577
2025H1,MIGRATION,WEAK_SIDE,ALIGNED,213,2687,0.07927056196501675
2025H1,LOCAL_INTERRUPT,WEAK_SIDE,H1_INTERRUPT,159,2687,0.059173799776702646
2025H1,LOCAL_INTERRUPT,STRONG_SIDE,ALIGNED,117,2687,0.043542984741347227
2025H1,LOCAL_INTERRUPT,WEAK_SIDE,ALIGNED,96,2687,0.03572757722366952
2025H1,MIGRATION,WEAK_SIDE,H1_INTERRUPT,41,2687,0.015258652772608858
2026JF,MIGRATION,STRONG_SIDE,ALIGNED,357,714,0.5
2026JF,MIGRATION,WEAK_SIDE,ALIGNED,84,714,0.11764705882352941
2026JF,MIGRATION,STRONG_SIDE,H1_INTERRUPT,75,714,0.10504201680672269
2026JF,LOCAL_INTERRUPT,STRONG_SIDE,H1_INTERRUPT,58,714,0.08123249299719888
2026JF,LOCAL_INTERRUPT,WEAK_SIDE,H1_INTERRUPT,47,714,0.06582633053221289
2026JF,NEUTRAL,NO_DIRECTIONAL_AUTHORITY,NEUTRAL_AUCTION,34,714,0.047619047619047616
2026JF,LOCAL_INTERRUPT,WEAK_SIDE,ALIGNED,28,714,0.0392156862745098
2026JF,LOCAL_INTERRUPT,STRONG_SIDE,ALIGNED,22,714,0.03081232492997199
2026JF,MIGRATION,WEAK_SIDE,H1_INTERRUPT,9,714,0.012605042016806723
