block,rank,state,state_share,cumulative_share
2025H1,1,MIGRATION|STRONG_SIDE|ALIGNED,0.4830666170450316,0.4830666170450316
2025H1,2,LOCAL_INTERRUPT|STRONG_SIDE|H1_INTERRUPT,0.11871976181615185,0.6017863788611835
2025H1,3,MIGRATION|STRONG_SIDE|H1_INTERRUPT,0.08262002232973577,0.6844064011909192
2025H1,4,NEUTRAL|NO_DIRECTIONAL_AUTHORITY|NEUTRAL_AUCTION,0.08262002232973577,0.767026423520655
2025H1,5,MIGRATION|WEAK_SIDE|ALIGNED,0.07927056196501675,0.8462969854856717
2025H1,6,LOCAL_INTERRUPT|WEAK_SIDE|H1_INTERRUPT,0.059173799776702646,0.9054707852623743
2025H1,7,LOCAL_INTERRUPT|STRONG_SIDE|ALIGNED,0.043542984741347227,0.9490137700037216
2025H1,8,LOCAL_INTERRUPT|WEAK_SIDE|ALIGNED,0.03572757722366952,0.984741347227391
2025H1,9,MIGRATION|WEAK_SIDE|H1_INTERRUPT,0.015258652772608858,0.9999999999999999
2026JF,1,MIGRATION|STRONG_SIDE|ALIGNED,0.5,0.5
2026JF,2,MIGRATION|WEAK_SIDE|ALIGNED,0.11764705882352941,0.6176470588235294
2026JF,3,MIGRATION|STRONG_SIDE|H1_INTERRUPT,0.10504201680672269,0.7226890756302521
2026JF,4,LOCAL_INTERRUPT|STRONG_SIDE|H1_INTERRUPT,0.08123249299719888,0.803921568627451
2026JF,5,LOCAL_INTERRUPT|WEAK_SIDE|H1_INTERRUPT,0.06582633053221289,0.8697478991596639
2026JF,6,NEUTRAL|NO_DIRECTIONAL_AUTHORITY|NEUTRAL_AUCTION,0.047619047619047616,0.9173669467787116
2026JF,7,LOCAL_INTERRUPT|WEAK_SIDE|ALIGNED,0.0392156862745098,0.9565826330532213
2026JF,8,LOCAL_INTERRUPT|STRONG_SIDE|ALIGNED,0.03081232492997199,0.9873949579831933
2026JF,9,MIGRATION|WEAK_SIDE|H1_INTERRUPT,0.012605042016806723,1.0
