cluster_id,block,direction,event_time,object_count,H4_object_present,price_min,price_max,outer_boundary,object_ids,state,role,accepted_beyond_4h_2close,reversal_dominant_24h,state_direction_dominant_24h,reversal_points,continuation_points
2025H1_BUY_SIDE_20250103_0200,2025H1,BUY_SIDE,2025-01-03 02:00:00,2,False,2660.45,2660.48,2660.48,H1_BSL_20250102_1900;H1_BSL_20250102_2200,WARMUP,BALANCE,True,True,,23.840000000000146,4.7199999999998
2025H1_SELL_SIDE_20250103_0700,2025H1,SELL_SIDE,2025-01-03 07:00:00,1,False,2656.19,2656.19,2656.19,H1_SSL_20250103_0400,WARMUP,BALANCE,True,False,,6.699999999999818,19.550000000000185
2025H1_SELL_SIDE_20250103_1500,2025H1,SELL_SIDE,2025-01-03 15:00:00,1,False,2649.83,2649.83,2649.83,H1_SSL_20250103_1000,WARMUP,BALANCE,True,False,,6.470000000000255,13.190000000000056
2025H1_SELL_SIDE_20250103_2200,2025H1,SELL_SIDE,2025-01-03 22:00:00,1,False,2639.08,2639.08,2639.08,H1_SSL_20250103_1900,WARMUP,BALANCE,False,False,,1.5900000000001455,2.4400000000000546
2025H1_BUY_SIDE_20250106_0200,2025H1,BUY_SIDE,2025-01-06 02:00:00,1,False,2642.93,2642.93,2642.93,H1_BSL_20250103_2100,WARMUP,BALANCE,False,True,,28.25,6.440000000000055
2025H1_SELL_SIDE_20250106_0600,2025H1,SELL_SIDE,2025-01-06 06:00:00,2,False,2636.0,2636.64,2636.0,H1_SSL_20250102_1500;H1_SSL_20250103_2300,WARMUP,BALANCE,True,False,,13.36999999999989,21.320000000000164
2025H1_SELL_SIDE_20250106_0800,2025H1,SELL_SIDE,2025-01-06 08:00:00,1,False,2631.09,2631.09,2631.09,H1_SSL_20250102_1000,WARMUP,BALANCE,False,True,,18.279999999999745,16.41000000000031
2025H1_BUY_SIDE_20250106_1300,2025H1,BUY_SIDE,2025-01-06 13:00:00,1,False,2647.35,2647.35,2647.35,H1_BSL_20250106_0300,DOWN,COUNTER,False,True,True,32.67000000000007,2.019999999999982
2025H1_SELL_SIDE_20250106_1500,2025H1,SELL_SIDE,2025-01-06 15:00:00,1,False,2625.17,2625.17,2625.17,H1_SSL_20250106_0900,DOWN,ALONG,False,True,False,27.42999999999984,10.490000000000236
2025H1_BUY_SIDE_20250107_0300,2025H1,BUY_SIDE,2025-01-07 03:00:00,1,False,2636.99,2636.99,2636.99,H1_BSL_20250106_2300,BALANCE,BALANCE,True,False,,2.149999999999636,27.24000000000024
2025H1_BUY_SIDE_20250107_0700,2025H1,BUY_SIDE,2025-01-07 07:00:00,2,False,2641.15,2641.28,2641.28,H1_BSL_20250106_1800;H1_BSL_20250107_0300,BALANCE,BALANCE,False,False,,4.260000000000218,22.949999999999815
2025H1_BUY_SIDE_20250107_1300,2025H1,BUY_SIDE,2025-01-07 13:00:00,1,False,2646.71,2646.71,2646.71,H1_BSL_20250107_0800,UP,ALONG,True,False,True,4.7400000000002365,17.519999999999982
2025H1_BUY_SIDE_20250107_1400,2025H1,BUY_SIDE,2025-01-07 14:00:00,2,True,2649.37,2649.37,2649.37,H1_BSL_20250106_1300;H4_BSL_20250106_1200,UP,ALONG,True,False,True,7.400000000000091,14.860000000000127
2025H1_BUY_SIDE_20250107_1500,2025H1,BUY_SIDE,2025-01-07 15:00:00,1,False,2659.29,2659.29,2659.29,H1_BSL_20250103_1300,UP,ALONG,False,True,False,17.320000000000164,4.940000000000055
2025H1_SELL_SIDE_20250108_0400,2025H1,SELL_SIDE,2025-01-08 04:00:00,1,False,2646.97,2646.97,2646.97,H1_SSL_20250107_2100,UP,COUNTER,True,True,True,23.050000000000185,1.7399999999997815
2025H1_BUY_SIDE_20250108_0800,2025H1,BUY_SIDE,2025-01-08 08:00:00,1,False,2651.51,2651.51,2651.51,H1_BSL_20250108_0200,UP,ALONG,True,False,True,5.730000000000018,18.509999999999764
2025H1_BUY_SIDE_20250108_1500,2025H1,BUY_SIDE,2025-01-08 15:00:00,2,False,2655.13,2656.02,2656.02,H1_BSL_20250107_1900;H1_BSL_20250108_1200,UP,ALONG,True,False,True,6.619999999999891,19.13000000000011
2025H1_BUY_SIDE_20250108_1600,2025H1,BUY_SIDE,2025-01-08 16:00:00,4,True,2664.23,2665.2,2665.2,H1_BSL_20250103_0500;H1_BSL_20250107_1500;H4_BSL_20250103_0400;H4_BSL_20250107_1200,UP,ALONG,True,True,False,15.799999999999727,13.090000000000146
2025H1_BUY_SIDE_20250109_0800,2025H1,BUY_SIDE,2025-01-09 08:00:00,2,False,2662.15,2664.09,2664.09,H1_BSL_20250108_2200;H1_BSL_20250109_0500,UP,ALONG,True,False,True,5.7800000000002,14.199999999999818
2025H1_BUY_SIDE_20250109_1300,2025H1,BUY_SIDE,2025-01-09 13:00:00,2,True,2670.02,2670.02,2670.02,H1_BSL_20250108_1800;H4_BSL_20250108_1600,UP,ALONG,True,False,True,7.300000000000182,12.63000000000011
2025H1_BUY_SIDE_20250110_0400,2025H1,BUY_SIDE,2025-01-10 04:00:00,1,False,2672.56,2672.56,2672.56,H1_BSL_20250109_2000,UP,ALONG,True,False,True,8.86999999999989,25.42999999999984
2025H1_BUY_SIDE_20250110_0800,2025H1,BUY_SIDE,2025-01-10 08:00:00,2,True,2678.29,2678.29,2678.29,H1_BSL_20250109_1500;H4_BSL_20250109_1200,UP,ALONG,True,False,True,14.599999999999907,19.699999999999815
