block,event_time,event_type,event_id,direction,price_low,price_high,object_ids,h4_macro,h4_flow_state,h1_relation,h1_state,detail
2025H1,2025-01-02 12:00:00,POI_CLUSTER_TOUCH,POIC0389,BULL,2635.97,2635.99,H1_FVG_BULL_20250102_1100,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-02 15:00:00,POI_CLUSTER_TOUCH,POIC0390,BULL,2639.87,2640.25,H1_FVG_BULL_20250102_1300,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-03 02:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250103_0200,BUY_SIDE,2660.45,2660.48,H1_BSL_20250102_1900;H1_BSL_20250102_2200,,,H4_NON_DIRECTIONAL,WARMUP,objects=2; H4_present=False
2025H1,2025-01-03 03:00:00,POI_CLUSTER_TOUCH,POIC0391,BULL,2656.5,2660.18,H1_OB_BULL_20250102_2300_VIA_20250103_0200,,,H4_NON_DIRECTIONAL,WARMUP,families=OB; timeframes=H1; objects=1
2025H1,2025-01-03 07:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250103_0700,SELL_SIDE,2656.19,2656.19,H1_SSL_20250103_0400,,,H4_NON_DIRECTIONAL,WARMUP,objects=1; H4_present=False
2025H1,2025-01-03 09:00:00,POI_CLUSTER_TOUCH,POIC0392,BULL,2647.22,2653.72,H4_FVG_BULL_20250102_2000,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H4; objects=1
2025H1,2025-01-03 11:00:00,POI_CLUSTER_TOUCH,POIC0001,BEAR,2655.74,2656.65,H1_FVG_BEAR_20250103_1000,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-03 12:00:00,POI_CLUSTER_TOUCH,POIC0002,BEAR,2656.65,2660.29,H1_OB_BEAR_20250103_0800_VIA_20250103_0900,,,H4_NON_DIRECTIONAL,WARMUP,families=OB; timeframes=H1; objects=1
2025H1,2025-01-03 14:00:00,POI_CLUSTER_TOUCH,POIC0393,BULL,2655.88,2656.35,H1_FVG_BULL_20250103_1300,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-03 15:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250103_1500,SELL_SIDE,2649.83,2649.83,H1_SSL_20250103_1000,,,H4_NON_DIRECTIONAL,WARMUP,objects=1; H4_present=False
2025H1,2025-01-03 18:00:00,POI_CLUSTER_TOUCH,POIC0394,BULL,2639.87,2640.36,H4_FVG_BULL_20250102_1600,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H4; objects=1
2025H1,2025-01-03 22:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250103_2200,SELL_SIDE,2639.08,2639.08,H1_SSL_20250103_1900,,,H4_NON_DIRECTIONAL,WARMUP,objects=1; H4_present=False
2025H1,2025-01-03 23:00:00,POI_CLUSTER_TOUCH,POIC0003,BEAR,2639.68,2642.27,H1_OB_BEAR_20250103_2000_VIA_20250103_2200,,,H4_NON_DIRECTIONAL,WARMUP,families=OB; timeframes=H1; objects=1
2025H1,2025-01-06 02:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250106_0200,BUY_SIDE,2642.93,2642.93,H1_BSL_20250103_2100,,,H4_NON_DIRECTIONAL,WARMUP,objects=1; H4_present=False
2025H1,2025-01-06 02:00:00,POI_CLUSTER_TOUCH,POIC0004,BEAR,2642.93,2643.46,H4_FVG_BEAR_20250103_2000,,,H4_NON_DIRECTIONAL,WARMUP,families=FVG; timeframes=H4; objects=1
2025H1,2025-01-06 04:00:00,POI_CLUSTER_TOUCH,POIC0395,BULL,2636.82,2640.08,H1_OB_BULL_20250103_2200_VIA_20250106_0200,,,H4_NON_DIRECTIONAL,WARMUP,families=OB; timeframes=H1; objects=1
2025H1,2025-01-06 06:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250106_0600,SELL_SIDE,2636.0,2636.64,H1_SSL_20250102_1500;H1_SSL_20250103_2300,,,H4_NON_DIRECTIONAL,WARMUP,objects=2; H4_present=False
2025H1,2025-01-06 08:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250106_0800,SELL_SIDE,2631.09,2631.09,H1_SSL_20250102_1000,,,H4_NON_DIRECTIONAL,WARMUP,objects=1; H4_present=False
2025H1,2025-01-06 13:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250106_1300,BUY_SIDE,2647.35,2647.35,H1_BSL_20250106_0300,,,H4_NON_DIRECTIONAL,DOWN,objects=1; H4_present=False
2025H1,2025-01-06 13:00:00,POI_CLUSTER_TOUCH,POIC0005,BEAR,2635.7,2639.21,H4_FVG_BEAR_20250106_0800;H1_FVG_BEAR_20250106_0700,,,H4_NON_DIRECTIONAL,DOWN,families=FVG; timeframes=H1;H4; objects=2
2025H1,2025-01-06 13:00:00,POI_CLUSTER_TOUCH,POIC0006,BEAR,2639.72,2645.27,H1_OB_BEAR_20250106_0400_VIA_20250106_0600,,,H4_NON_DIRECTIONAL,DOWN,families=OB; timeframes=H1; objects=1
2025H1,2025-01-06 15:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250106_1500,SELL_SIDE,2625.17,2625.17,H1_SSL_20250106_0900,,,H4_NON_DIRECTIONAL,UP,objects=1; H4_present=False
2025H1,2025-01-06 15:00:00,POI_CLUSTER_TOUCH,POIC0396,BULL,2634.96,2642.02,H1_FVG_BULL_20250106_1400,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-06 16:00:00,POI_CLUSTER_TOUCH,POIC0007,BEAR,2632.5,2649.37,H1_OB_BEAR_20250106_1300_VIA_20250106_1500,,,H4_NON_DIRECTIONAL,DOWN,families=OB; timeframes=H1; objects=1
2025H1,2025-01-06 17:00:00,POI_CLUSTER_TOUCH,POIC0008,BEAR,2634.95,2642.02,H1_FVG_BEAR_20250106_1600,,,H4_NON_DIRECTIONAL,DOWN,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-07 03:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250107_0300,BUY_SIDE,2636.99,2636.99,H1_BSL_20250106_2300,,,H4_NON_DIRECTIONAL,DOWN,objects=1; H4_present=False
2025H1,2025-01-07 07:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250107_0700,BUY_SIDE,2641.15,2641.28,H1_BSL_20250106_1800;H1_BSL_20250107_0300,,,H4_NON_DIRECTIONAL,UP,objects=2; H4_present=False
2025H1,2025-01-07 09:00:00,POI_CLUSTER_TOUCH,POIC0397,BULL,2637.31,2639.83,H1_OB_BULL_20250107_0600_VIA_20250107_0700;H1_FVG_BULL_20250107_0800,,,H4_NON_DIRECTIONAL,UP,families=FVG;OB; timeframes=H1; objects=2
2025H1,2025-01-07 13:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250107_1300,BUY_SIDE,2646.71,2646.71,H1_BSL_20250107_0800,,,H4_NON_DIRECTIONAL,UP,objects=1; H4_present=False
2025H1,2025-01-07 14:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250107_1400,BUY_SIDE,2649.37,2649.37,H1_BSL_20250106_1300;H4_BSL_20250106_1200,,,H4_NON_DIRECTIONAL,UP,objects=2; H4_present=True
2025H1,2025-01-07 15:00:00,LIQUIDITY_DELIVERY,2025H1_BUY_SIDE_20250107_1500,BUY_SIDE,2659.29,2659.29,H1_BSL_20250103_1300,,,H4_NON_DIRECTIONAL,UP,objects=1; H4_present=False
2025H1,2025-01-07 15:00:00,POI_CLUSTER_TOUCH,POIC0009,BEAR,2652.68,2654.82,H1_FVG_BEAR_20250103_1600,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-07 15:00:00,POI_CLUSTER_TOUCH,POIC0010,BEAR,2656.3,2659.29,H1_FVG_BEAR_20250103_1500;H1_OB_BEAR_20250103_1300_VIA_20250103_1500,,,H4_NON_DIRECTIONAL,UP,families=FVG;OB; timeframes=H1; objects=2
2025H1,2025-01-07 15:00:00,POI_CLUSTER_TOUCH,POIC0011,BEAR,2660.29,2661.74,H1_FVG_BEAR_20250103_0800,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-07 17:00:00,POI_CLUSTER_TOUCH,POIC0398,BULL,2637.99,2647.35,H4_OB_BULL_20250107_0800_VIA_20250107_1200;H1_OB_BULL_20250107_1100_VIA_20250107_1300;H1_FVG_BULL_20250107_1400,,,H4_NON_DIRECTIONAL,UP,families=FVG;OB; timeframes=H1;H4; objects=3
2025H1,2025-01-07 17:00:00,POI_CLUSTER_TOUCH,POIC0399,BULL,2648.65,2649.93,H1_FVG_BULL_20250107_1500,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-07 17:00:00,POI_CLUSTER_TOUCH,POIC0400,BULL,2652.6,2655.75,H1_FVG_BULL_20250107_1600,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-07 19:00:00,POI_CLUSTER_TOUCH,POIC0012,BEAR,2655.56,2655.75,H1_FVG_BEAR_20250107_1800,,,H4_NON_DIRECTIONAL,UP,families=FVG; timeframes=H1; objects=1
2025H1,2025-01-08 04:00:00,LIQUIDITY_DELIVERY,2025H1_SELL_SIDE_20250108_0400,SELL_SIDE,2646.97,2646.97,H1_SSL_20250107_2100,,,H4_NON_DIRECTIONAL,UP,objects=1; H4_present=False
