interruption_id,block,side,start,resolution,hours,path,outcome,first_interrupt_state,month
2025H1-INT001,2025H1,UP,2025-01-17 08:00:00,2025-01-17 16:00:00,8.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-01
2025H1-INT002,2025H1,UP,2025-01-17 20:00:00,2025-01-20 00:00:00,52.0,REPAIR_UP,NEUTRALIZE,REPAIR_UP,2025-01
2025H1-INT003,2025H1,UP,2025-01-20 12:00:00,2025-01-20 16:00:00,4.0,PAUSE_UP,RESUME_SAME,PAUSE_UP,2025-01
2025H1-INT004,2025H1,UP,2025-01-23 04:00:00,2025-01-23 16:00:00,12.0,UNRESOLVED_UP -> REPAIR_UP,RESUME_SAME,UNRESOLVED_UP,2025-01
2025H1-INT005,2025H1,UP,2025-01-23 20:00:00,2025-01-24 00:00:00,4.0,PAUSE_UP,RESUME_SAME,PAUSE_UP,2025-01
2025H1-INT006,2025H1,UP,2025-01-27 00:00:00,2025-01-27 04:00:00,4.0,PAUSE_UP,NEUTRALIZE,PAUSE_UP,2025-01
2025H1-INT007,2025H1,DOWN,2025-01-28 12:00:00,2025-01-28 16:00:00,4.0,UNRESOLVED_DOWN,OPPOSITE_TRANSITION,UNRESOLVED_DOWN,2025-01
2025H1-INT008,2025H1,UP,2025-01-30 04:00:00,2025-01-30 08:00:00,4.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-01
2025H1-INT009,2025H1,UP,2025-02-03 00:00:00,2025-02-03 08:00:00,8.0,REPAIR_UP,RESUME_SAME,REPAIR_UP,2025-02
2025H1-INT010,2025H1,UP,2025-02-06 08:00:00,2025-02-07 08:00:00,24.0,UNRESOLVED_UP -> REPAIR_UP -> UNRESOLVED_UP -> PAUSE_UP,RESUME_SAME,UNRESOLVED_UP,2025-02
2025H1-INT011,2025H1,UP,2025-02-07 16:00:00,2025-02-07 20:00:00,4.0,PAUSE_UP,RESUME_SAME,PAUSE_UP,2025-02
2025H1-INT012,2025H1,UP,2025-02-11 08:00:00,2025-02-12 04:00:00,20.0,PAUSE_UP -> UNRESOLVED_UP -> PAUSE_UP -> REPAIR_UP -> UNRESOLVED_UP,NEUTRALIZE,PAUSE_UP,2025-02
2025H1-INT013,2025H1,UP,2025-02-14 12:00:00,2025-02-14 16:00:00,4.0,UNRESOLVED_UP,NEUTRALIZE,UNRESOLVED_UP,2025-02
2025H1-INT014,2025H1,UP,2025-02-19 16:00:00,2025-02-19 20:00:00,4.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-02
2025H1-INT015,2025H1,UP,2025-02-20 12:00:00,2025-02-20 16:00:00,4.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-02
2025H1-INT016,2025H1,UP,2025-02-21 00:00:00,2025-02-21 20:00:00,20.0,UNRESOLVED_UP -> REPAIR_UP -> UNRESOLVED_UP -> PAUSE_UP,RESUME_SAME,UNRESOLVED_UP,2025-02
2025H1-INT017,2025H1,UP,2025-02-25 04:00:00,2025-02-25 12:00:00,8.0,PAUSE_UP -> UNRESOLVED_UP,NEUTRALIZE,PAUSE_UP,2025-02
2025H1-INT018,2025H1,DOWN,2025-02-27 00:00:00,2025-02-27 04:00:00,4.0,UNRESOLVED_DOWN,RESUME_SAME,UNRESOLVED_DOWN,2025-02
2025H1-INT019,2025H1,DOWN,2025-03-03 00:00:00,2025-03-03 16:00:00,16.0,PAUSE_DOWN -> UNRESOLVED_DOWN -> REPAIR_DOWN,NEUTRALIZE,PAUSE_DOWN,2025-03
2025H1-INT020,2025H1,UP,2025-03-05 12:00:00,2025-03-05 16:00:00,4.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-03
2025H1-INT021,2025H1,UP,2025-03-07 00:00:00,2025-03-07 08:00:00,8.0,REPAIR_UP -> PAUSE_UP,RESUME_SAME,REPAIR_UP,2025-03
2025H1-INT022,2025H1,UP,2025-03-17 00:00:00,2025-03-17 08:00:00,8.0,PAUSE_UP -> REPAIR_UP,RESUME_SAME,PAUSE_UP,2025-03
2025H1-INT023,2025H1,UP,2025-03-17 12:00:00,2025-03-17 16:00:00,4.0,PAUSE_UP,RESUME_SAME,PAUSE_UP,2025-03
2025H1-INT024,2025H1,UP,2025-03-19 16:00:00,2025-03-19 20:00:00,4.0,UNRESOLVED_UP,RESUME_SAME,UNRESOLVED_UP,2025-03
2025H1-INT025,2025H1,UP,2025-03-20 12:00:00,2025-03-20 16:00:00,4.0,REPAIR_UP,RESUME_SAME,REPAIR_UP,2025-03
2025H1-INT026,2025H1,UP,2025-03-21 00:00:00,2025-03-21 04:00:00,4.0,UNRESOLVED_UP,NEUTRALIZE,UNRESOLVED_UP,2025-03
2025H1-INT027,2025H1,DOWN,2025-03-24 00:00:00,2025-03-24 16:00:00,16.0,UNRESOLVED_DOWN -> PAUSE_DOWN -> UNRESOLVED_DOWN,RESUME_SAME,UNRESOLVED_DOWN,2025-03
2025H1-INT028,2025H1,DOWN,2025-03-24 20:00:00,2025-03-25 00:00:00,4.0,UNRESOLVED_DOWN,RESUME_SAME,UNRESOLVED_DOWN,2025-03
