cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0001,2025H1,BEAR,2025-01-03 11:00:00,2655.74,2656.65,1,FVG,H1,H1_FVG_BEAR_20250103_1000,False,False,WARMUP,BALANCE,True,True,,19.55499999999984,3.0950000000002547
POIC0002,2025H1,BEAR,2025-01-03 12:00:00,2656.65,2660.29,1,OB,H1,H1_OB_BEAR_20250103_0800_VIA_20250103_0900,False,False,WARMUP,BALANCE,False,True,,21.830000000000386,0.819999999999709
POIC0003,2025H1,BEAR,2025-01-03 23:00:00,2639.68,2642.27,1,OB,H1,H1_OB_BEAR_20250103_2000_VIA_20250103_2200,False,False,WARMUP,BALANCE,False,True,,4.335000000000036,-0.3049999999998363
POIC0004,2025H1,BEAR,2025-01-06 02:00:00,2642.93,2643.46,1,FVG,H4,H4_FVG_BEAR_20250103_2000,False,True,WARMUP,BALANCE,False,True,,28.514999999999876,6.175000000000182
POIC0005,2025H1,BEAR,2025-01-06 13:00:00,2635.7,2639.21,2,FVG,H1;H4,H4_FVG_BEAR_20250106_0800;H1_FVG_BEAR_20250106_0700,False,True,DOWN,ALIGNED,True,True,True,22.77500000000009,11.914999999999964
POIC0006,2025H1,BEAR,2025-01-06 13:00:00,2639.72,2645.27,1,OB,H1,H1_OB_BEAR_20250106_0400_VIA_20250106_0600,False,False,DOWN,ALIGNED,True,True,True,27.81500000000005,6.875
POIC0007,2025H1,BEAR,2025-01-06 16:00:00,2632.5,2649.37,1,OB,H1,H1_OB_BEAR_20250106_1300_VIA_20250106_1500,False,False,DOWN,ALIGNED,False,True,True,26.25500000000011,23.295000000000076
POIC0008,2025H1,BEAR,2025-01-06 17:00:00,2634.95,2642.02,1,FVG,H1,H1_FVG_BEAR_20250106_1600,False,False,DOWN,ALIGNED,False,False,False,9.044999999999618,25.745000000000346
POIC0009,2025H1,BEAR,2025-01-07 15:00:00,2652.68,2654.82,1,FVG,H1,H1_FVG_BEAR_20250103_1600,False,False,UP,OPPOSING,True,True,False,11.7800000000002,10.480000000000018
POIC0010,2025H1,BEAR,2025-01-07 15:00:00,2656.3,2659.29,2,FVG;OB,H1,H1_FVG_BEAR_20250103_1500;H1_OB_BEAR_20250103_1300_VIA_20250103_1500,True,False,UP,OPPOSING,False,True,False,15.825000000000273,6.434999999999945
POIC0011,2025H1,BEAR,2025-01-07 15:00:00,2660.29,2661.74,1,FVG,H1,H1_FVG_BEAR_20250103_0800,False,False,UP,OPPOSING,False,True,False,19.045000000000076,3.215000000000145
POIC0012,2025H1,BEAR,2025-01-07 19:00:00,2655.56,2655.75,1,FVG,H1,H1_FVG_BEAR_20250107_1800,False,False,UP,OPPOSING,False,False,True,10.424999999999727,14.365000000000236
POIC0013,2025H1,BEAR,2025-01-08 06:00:00,2645.94,2650.36,1,OB,H1,H1_OB_BEAR_20250108_0400_VIA_20250108_0500,False,False,UP,OPPOSING,True,False,True,2.9200000000000728,21.86999999999989
POIC0014,2025H1,BEAR,2025-01-08 15:00:00,2652.42,2652.7,1,FVG,H1,H1_FVG_BEAR_20250108_1400,False,False,UP,OPPOSING,True,False,True,3.1599999999998545,22.590000000000146
POIC0015,2025H1,BEAR,2025-01-08 21:00:00,2659.07,2662.61,1,FVG,H1,H1_FVG_BEAR_20250108_2000,False,False,BALANCE,BALANCE,False,False,,8.559999999999945,17.449999999999818
