resolved,wr,total_R,mean_R,PF,maxDD,avg_win_R,avg_loss_R,payoff,block,policy,observed_spread_multiple,records
75,0.41333333333333333,43.84282284128094,0.5845709712170792,2.4068209242887106,4.431504386931188,2.419589962122024,-0.7082833178295868,3.4161329247968797,2024,ONE_POSITION,0,88
31,0.5806451612903226,20.289917830456435,0.6545134784018205,3.204410856685875,2.5340111480494167,1.6385641033190013,-0.7080181560988913,2.3142967298286874,2025H1,ONE_POSITION,0,34
9,0.4444444444444444,8.079143135523763,0.8976825706137515,3.084687102458782,2.0491212315551737,2.9886533810847165,-0.7750940777630204,3.8558588780734775,2026JF,ONE_POSITION,0,11
115,0.4608695652173913,72.21188380726113,0.6279294244109663,2.632121924446112,4.431504386931188,2.1972840794313893,-0.7136156839129435,3.0790860248237535,COMBINED,ONE_POSITION,0,133
75,0.41333333333333333,43.02259947873739,0.5736346597164985,2.3587522610333544,4.556172934746094,2.4092230151921608,-0.7196207725504451,3.347906435015083,2024,ONE_POSITION,1,88
31,0.5806451612903226,20.08341438267658,0.6478520768605348,3.1596352849954004,2.6061513172672086,1.6323812010596606,-0.715342095107485,2.2819588169411227,2025H1,ONE_POSITION,1,34
9,0.4444444444444444,8.055152451308949,0.8950169390343277,3.0713767405131955,2.05623176325812,2.985986010698925,-0.7777583182973502,3.839220925641494,2026JF,ONE_POSITION,1,11
115,0.4608695652173913,71.16116631272294,0.6187927505454168,2.586593146465748,4.556172934746094,2.188919228921256,-0.7234121422597362,3.025825944922196,COMBINED,ONE_POSITION,1,133
75,0.41333333333333333,42.20237611619386,0.5626983482159181,2.3121747261977,4.680841482560995,2.398856068262297,-0.7309582272713034,3.2817963855709285,2024,ONE_POSITION,2,88
31,0.5806451612903226,19.876910934896735,0.6411906753192496,3.115767279291578,2.6782914864849987,1.6261982988003199,-0.7226660341160787,2.250276368377251,2025H1,ONE_POSITION,2,34
9,0.4444444444444444,8.031161767094135,0.8923513074549039,3.0581572575546936,2.0633422949610667,2.9833186403131338,-0.78042255883168,3.822696571943367,2026JF,ONE_POSITION,2,11
115,0.4608695652173913,70.11044881818474,0.6096560766798673,2.5422809957226975,4.680841482560995,2.1805543784111223,-0.7332086006065286,2.9739890893359857,COMBINED,ONE_POSITION,2,133
75,0.4,41.382152753650324,0.5517620367153376,2.2668642639876158,4.805510030375894,2.468239255794591,-0.7258894426708309,3.400296395981424,2024,ONE_POSITION,3,88
31,0.5806451612903226,19.670407487116876,0.6345292737779638,3.072779522933723,2.7504316557027897,1.6200153965409791,-0.7299899731246724,2.219229655452134,2025H1,ONE_POSITION,3,34
9,0.4444444444444444,8.00717108287932,0.8896856758754801,3.0450277260099283,2.070452826664013,2.980651269927342,-0.7830867993660098,3.8062846575124105,2026JF,ONE_POSITION,3,11
115,0.45217391304347826,69.05973132364652,0.6005194028143176,2.499006702812124,4.805510030375894,2.2140396132939366,-0.7312750566291775,3.0276427360993043,COMBINED,ONE_POSITION,3,133
260,0.7115384615384616,48.623518971965424,0.18701353450755934,1.8471971167350532,6.95974418705655,0.573064401177674,-0.7652452699453904,0.7488636959736701,2024,REPLACE,0,284
118,0.7542372881355932,25.91178405458462,0.21959139029309,2.104393953871878,2.8785211267605533,0.5547666354136613,-0.8090498792148706,0.6857014006998254,2025H1,REPLACE,0,125
36,0.7777777777777778,16.128894325496795,0.44802484237491097,3.1870154385730634,2.2133293464277557,0.839419171048306,-0.9218553079819721,0.9105758395923037,2026JF,REPLACE,0,41
414,0.7294685990338164,90.66419735204683,0.21899564577789088,2.027581256644757,6.95974418705655,0.5923671574802587,-0.7877739661338509,0.7519506647159364,COMBINED,REPLACE,0,450
260,0.7038461538461539,46.10227044399547,0.17731642478459797,1.7923776110134044,7.126798351682389,0.5698604790885775,-0.755612951028756,0.7541698144701209,2024,REPLACE,1,284
118,0.7542372881355932,25.1934562204701,0.21350386627517035,2.0643419147619686,2.9072664077246877,0.5490326979116493,-0.8162225480574721,0.6726507362707538,2025H1,REPLACE,1,125
36,0.7777777777777778,16.032436269439348,0.44534545192887076,3.1676311514907587,2.242101125546748,0.83674035011577,-0.9245366917252767,0.9050374718545025,2026JF,REPLACE,1,41
414,0.7246376811594203,87.32816293390492,0.21093759162778966,1.9784783816753586,7.126798351682389,0.5885903586352935,-0.7828854794445886,0.7518217850366363,COMBINED,REPLACE,1,450
260,0.7038461538461539,43.58102191602551,0.16761931506163658,1.7387714072293112,7.330438194653993,0.5605040194395096,-0.766119657680581,0.7316141986702566,2024,REPLACE,2,284
118,0.7542372881355932,24.475128386355586,0.20741634225725072,2.024987669389769,2.936011688688824,0.5432987604096371,-0.8233952169000731,0.6598274428348685,2025H1,REPLACE,2,125
36,0.7777777777777778,15.935978213381901,0.4426660614828306,3.1483589776504926,2.2708729046657368,0.8340615291832341,-0.927218075468581,0.8995311364715693,2026JF,REPLACE,2,41
414,0.7246376811594203,83.992128515763,0.20287953747768842,1.930274992331193,7.330438194653993,0.5809318268367285,-0.7919949082039957,0.7335044970858534,COMBINED,REPLACE,2,450
260,0.7038461538461539,41.05977338805556,0.15792220533867524,1.686615642636428,7.574241831171896,0.5511475597904417,-0.7766263643324062,0.7096688769563113,2024,REPLACE,3,284
118,0.7542372881355932,23.756800552241064,0.20132881823933105,1.9863131396060247,2.9647569696529583,0.537564822907625,-0.8305678857426745,0.6472256297592665,2025H1,REPLACE,3,125
36,0.7777777777777778,15.839520157324456,0.43998667103679046,3.1291979472099145,2.2996446837847238,0.8313827082506978,-0.9298994592118857,0.8940565563456899,2026JF,REPLACE,3,41
414,0.7246376811594203,80.65609409762106,0.1948214833275871,1.8831678530531717,7.574241831171896,0.5732732950381634,-0.801104336963403,0.7156037841602052,COMBINED,REPLACE,3,450
