resolved,wr,total_R,mean_R,PF,maxDD,avg_win_R,avg_loss_R,payoff,block,policy,records
75,0.41333333333333333,43.84282284128094,0.5845709712170792,2.4068209242887106,4.431504386931188,2.419589962122024,-0.7082833178295868,3.4161329247968797,2024,ONE_POSITION,88
31,0.5806451612903226,20.289917830456435,0.6545134784018205,3.204410856685875,2.5340111480494167,1.6385641033190013,-0.7080181560988913,2.3142967298286874,2025H1,ONE_POSITION,34
9,0.4444444444444444,8.079143135523763,0.8976825706137515,3.084687102458782,2.0491212315551737,2.9886533810847165,-0.7750940777630204,3.8558588780734775,2026JF,ONE_POSITION,11
115,0.4608695652173913,72.21188380726113,0.6279294244109663,2.632121924446112,4.431504386931188,2.1972840794313893,-0.7136156839129435,3.0790860248237535,COMBINED,ONE_POSITION,133
260,0.7115384615384616,48.623518971965424,0.18701353450755934,1.8471971167350532,6.95974418705655,0.573064401177674,-0.7652452699453904,0.7488636959736701,2024,REPLACE,284
118,0.7542372881355932,25.91178405458462,0.21959139029309,2.104393953871878,2.8785211267605533,0.5547666354136613,-0.8090498792148706,0.6857014006998254,2025H1,REPLACE,125
36,0.7777777777777778,16.128894325496795,0.44802484237491097,3.1870154385730634,2.2133293464277557,0.839419171048306,-0.9218553079819721,0.9105758395923037,2026JF,REPLACE,41
414,0.7294685990338164,90.66419735204683,0.21899564577789088,2.027581256644757,6.95974418705655,0.5923671574802587,-0.7877739661338509,0.7519506647159364,COMBINED,REPLACE,450
248,0.41935483870967744,154.30107680462893,0.6221817613089876,2.5835085098292403,14.656909607909768,2.4206116119687446,-0.676684241945281,3.5771656289943334,2024,FULL_STACK,284
112,0.5178571428571429,34.94260250863907,0.31198752239856314,1.9116771549393203,8.039054916236047,1.263283233997394,-0.7097745382075886,1.7798373511504015,2025H1,FULL_STACK,125
33,0.45454545454545453,33.42974638184157,1.0130226176315626,3.5597894383626154,8.003361662050025,3.0992876813425565,-0.7255316021275979,4.271747326035139,2026JF,FULL_STACK,41
393,0.45038167938931295,222.6734256951096,0.5665990475702534,2.4961603056756023,14.656909607909768,2.0988889855182857,-0.6890274293593843,3.046161728960057,COMBINED,FULL_STACK,450
