block,entry_ts,direction,entry,sl,sl_dist,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R
2025H1,2025-01-08 16:13:00,UP,2664.23,2645.23,19.0,SAME_NEAREST,0.9699999999997999,19.0,ONE_POSITION,CHALLENGE_OPENS,2025-01-13 12:04:00,2679.2,0.7878947368420948
2025H1,2025-01-13 17:55:00,DOWN,2663.69,2691.25,27.559999999999945,SAME_NEAREST,18.460000000000036,34.29999999999973,ONE_POSITION,CHALLENGE_OPENS,2025-01-14 21:36:00,2675.22,-0.4183599419448392
2025H1,2025-01-16 02:23:00,UP,2697.99,2676.7,21.289999999999964,NO_SAME_TARGET,,38.179999999999836,ONE_POSITION,CHALLENGE_OPENS,2025-01-20 03:05:00,2689.92,-0.37905119774540735
2025H1,2025-01-21 03:41:00,UP,2713.72,2701.81,11.909999999999854,SAME_NEAREST,3.6200000000003456,24.409999999999854,ONE_POSITION,CHALLENGE_OPENS,2025-01-27 18:51:00,2735.79,1.8530646515533529
2025H1,2025-01-30 08:58:00,UP,2766.25,2744.66,21.590000000000146,SAME_NEAREST,5.690000000000055,21.590000000000146,ONE_POSITION,CHALLENGE_OPENS,2025-02-03 01:24:00,2790.94,1.1435849930523339
2025H1,2025-02-03 16:36:00,UP,2817.17,2772.09,45.07999999999993,NO_SAME_TARGET,,45.07999999999993,ONE_POSITION,CHALLENGE_OPENS,2025-02-12 12:43:00,2881.65,1.4303460514640667
2025H1,2025-02-13 05:15:00,UP,2909.12,2893.48,15.639999999999873,SAME_NEAREST,33.43000000000029,45.40000000000009,ONE_POSITION,SL,2025-02-14 17:33:00,2893.48,-1.0
2025H1,2025-02-18 05:02:00,UP,2906.39,2888.27,18.11999999999989,OPPOSITE_NEAREST,33.55000000000018,29.449999999999818,ONE_POSITION,CHALLENGE_OPENS,2025-02-19 18:00:00,2924.11,0.977924944812382
2025H1,2025-02-20 08:00:00,UP,2946.94,2933.96,12.980000000000018,NO_SAME_TARGET,,28.420000000000073,ONE_POSITION,SL,2025-02-20 15:51:00,2933.96,-1.0
2025H1,2025-02-21 10:21:00,DOWN,2918.52,2949.68,31.159999999999854,SAME_NEAREST,26.5,36.32999999999993,ONE_POSITION,AMBIGUOUS,2025-02-24 14:02:00,,
