id,tf,side,price,source,known_at
H1_BSL_20260102_1500,H1,UP,4402.35,2026-01-02 15:00:00,2026-01-02 18:00:00
H1_SSL_20260102_2000,H1,DOWN,4309.99,2026-01-02 20:00:00,2026-01-02 23:00:00
H1_BSL_20260105_0300,H1,UP,4420.97,2026-01-05 03:00:00,2026-01-05 06:00:00
H4_SSL_20260102_2000,H4,DOWN,4309.99,2026-01-02 20:00:00,2026-01-05 08:00:00
H1_BSL_20260105_1200,H1,UP,4439.92,2026-01-05 12:00:00,2026-01-05 15:00:00
H1_SSL_20260105_1500,H1,DOWN,4396.21,2026-01-05 15:00:00,2026-01-05 18:00:00
H1_BSL_20260105_1700,H1,UP,4455.78,2026-01-05 17:00:00,2026-01-05 20:00:00
H1_SSL_20260105_1900,H1,DOWN,4432.32,2026-01-05 19:00:00,2026-01-05 22:00:00
H1_BSL_20260105_2100,H1,UP,4449.43,2026-01-05 21:00:00,2026-01-06 00:00:00
H1_BSL_20260106_0100,H1,UP,4460.08,2026-01-06 01:00:00,2026-01-06 04:00:00
H1_SSL_20260106_0300,H1,DOWN,4427.92,2026-01-06 03:00:00,2026-01-06 06:00:00
H1_BSL_20260106_0700,H1,UP,4474.18,2026-01-06 07:00:00,2026-01-06 10:00:00
H1_SSL_20260106_0700,H1,DOWN,4449.26,2026-01-06 07:00:00,2026-01-06 10:00:00
H1_BSL_20260106_1000,H1,UP,4475.89,2026-01-06 10:00:00,2026-01-06 13:00:00
H1_SSL_20260106_1200,H1,DOWN,4442.52,2026-01-06 12:00:00,2026-01-06 15:00:00
H1_SSL_20260106_2100,H1,DOWN,4477.25,2026-01-06 21:00:00,2026-01-07 00:00:00
H4_SSL_20260106_1200,H4,DOWN,4442.52,2026-01-06 12:00:00,2026-01-07 00:00:00
H1_BSL_20260107_0100,H1,UP,4500.43,2026-01-07 01:00:00,2026-01-07 04:00:00
H1_SSL_20260107_0400,H1,DOWN,4459.71,2026-01-07 04:00:00,2026-01-07 07:00:00
H1_SSL_20260107_0800,H1,DOWN,4441.43,2026-01-07 08:00:00,2026-01-07 11:00:00
H4_BSL_20260107_0000,H4,UP,4500.43,2026-01-07 00:00:00,2026-01-07 12:00:00
H1_BSL_20260107_1000,H1,UP,4474.97,2026-01-07 10:00:00,2026-01-07 13:00:00
H1_SSL_20260107_1700,H1,DOWN,4423.51,2026-01-07 17:00:00,2026-01-07 20:00:00
H1_BSL_20260107_1800,H1,UP,4468.33,2026-01-07 18:00:00,2026-01-07 21:00:00
H1_SSL_20260107_2100,H1,DOWN,4445.35,2026-01-07 21:00:00,2026-01-08 00:00:00
H4_SSL_20260107_1600,H4,DOWN,4423.51,2026-01-07 16:00:00,2026-01-08 04:00:00
H1_BSL_20260108_0200,H1,UP,4466.33,2026-01-08 02:00:00,2026-01-08 05:00:00
H1_SSL_20260108_0700,H1,DOWN,4415.63,2026-01-08 07:00:00,2026-01-08 10:00:00
H1_BSL_20260108_0900,H1,UP,4439.65,2026-01-08 09:00:00,2026-01-08 12:00:00
H1_SSL_20260108_1400,H1,DOWN,4407.65,2026-01-08 14:00:00,2026-01-08 17:00:00
H1_BSL_20260108_1900,H1,UP,4465.48,2026-01-08 19:00:00,2026-01-08 22:00:00
H1_SSL_20260108_2100,H1,DOWN,4444.6,2026-01-08 21:00:00,2026-01-09 00:00:00
H4_SSL_20260108_1200,H4,DOWN,4407.65,2026-01-08 12:00:00,2026-01-09 00:00:00
H1_BSL_20260109_0100,H1,UP,4483.83,2026-01-09 01:00:00,2026-01-09 04:00:00
H1_SSL_20260109_0300,H1,DOWN,4452.91,2026-01-09 03:00:00,2026-01-09 06:00:00
H1_SSL_20260109_0700,H1,DOWN,4458.24,2026-01-09 07:00:00,2026-01-09 10:00:00
H1_BSL_20260109_0800,H1,UP,4477.49,2026-01-09 08:00:00,2026-01-09 11:00:00
H4_BSL_20260109_0000,H4,UP,4483.83,2026-01-09 00:00:00,2026-01-09 12:00:00
H1_SSL_20260109_1000,H1,DOWN,4464.05,2026-01-09 10:00:00,2026-01-09 13:00:00
H1_BSL_20260109_1100,H1,UP,4477.46,2026-01-09 11:00:00,2026-01-09 14:00:00
H1_SSL_20260109_1500,H1,DOWN,4459.12,2026-01-09 15:00:00,2026-01-09 18:00:00
H1_BSL_20260109_1700,H1,UP,4517.06,2026-01-09 17:00:00,2026-01-09 20:00:00
H1_SSL_20260109_1900,H1,DOWN,4482.09,2026-01-09 19:00:00,2026-01-09 22:00:00
H1_BSL_20260112_0200,H1,UP,4601.12,2026-01-12 02:00:00,2026-01-12 05:00:00
H4_BSL_20260112_0000,H4,UP,4601.12,2026-01-12 00:00:00,2026-01-12 12:00:00
H1_BSL_20260112_1100,H1,UP,4599.33,2026-01-12 11:00:00,2026-01-12 14:00:00
H1_SSL_20260112_1400,H1,DOWN,4578.43,2026-01-12 14:00:00,2026-01-12 17:00:00
H1_BSL_20260112_1800,H1,UP,4630.11,2026-01-12 18:00:00,2026-01-12 21:00:00
H4_BSL_20260112_1600,H4,UP,4630.11,2026-01-12 16:00:00,2026-01-13 04:00:00
H1_SSL_20260113_0300,H1,DOWN,4575.47,2026-01-13 03:00:00,2026-01-13 06:00:00
H1_BSL_20260113_0700,H1,UP,4602.0,2026-01-13 07:00:00,2026-01-13 10:00:00
H1_SSL_20260113_0800,H1,DOWN,4573.76,2026-01-13 08:00:00,2026-01-13 11:00:00
H1_BSL_20260113_1000,H1,UP,4597.19,2026-01-13 10:00:00,2026-01-13 13:00:00
