block,entry_ts,direction,entry,sl,sl_dist,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4466.33,42.81999999999971,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,ONE_POSITION,SL,2026-01-08 22:25:00,4466.33,-1.0
2026JF,2026-01-09 17:21:00,UP,4500.43,4458.24,42.19000000000051,NO_SAME_TARGET,,92.78000000000065,ONE_POSITION,CHALLENGE_OPENS,2026-01-13 22:34:00,4573.76,1.7380895946906623
2026JF,2026-01-14 07:01:00,UP,4634.53,4569.86,64.67000000000007,NO_SAME_TARGET,,226.8800000000001,ONE_POSITION,CHALLENGE_OPENS,2026-01-16 17:27:00,4581.09,-0.826349157259928
2026JF,2026-01-16 17:29:00,DOWN,4569.86,4620.8,50.94000000000051,OPPOSITE_NEAREST,162.21000000000004,54.92000000000007,ONE_POSITION,AMBIGUOUS,2026-01-19 01:00:00,,
2026JF,2026-01-19 01:02:00,UP,4642.89,4536.61,106.28000000000065,NO_SAME_TARGET,,235.2400000000007,ONE_POSITION,CHALLENGE_OPENS,2026-01-29 17:27:00,5235.83,5.579036507339066
2026JF,2026-01-30 10:33:00,DOWN,5100.21,5241.13,140.92000000000007,SAME_NEAREST,53.38000000000011,497.77999999999975,ONE_POSITION,CHALLENGE_OPENS,2026-02-03 02:24:00,4812.46,2.0419386886176545
2026JF,2026-02-04 18:46:00,DOWN,4880.74,5063.46,182.72000000000025,SAME_NEAREST,477.6199999999999,717.25,ONE_POSITION,CHALLENGE_OPENS,2026-02-09 17:33:00,5047.32,-0.9116681260945693
2026JF,2026-02-11 12:40:00,UP,5078.61,5043.58,35.029999999999745,SAME_NEAREST,7.75,79.64999999999964,ONE_POSITION,SL,2026-02-11 15:30:00,5043.58,-1.0
2026JF,2026-02-12 18:13:00,DOWN,4987.81,5083.77,95.96000000000004,OPPOSITE_NEAREST,332.97000000000025,112.17999999999938,ONE_POSITION,CHALLENGE_OPENS,2026-02-18 17:03:00,5001.0,-0.13745310546060435
2026JF,2026-02-19 08:45:00,UP,5010.87,4958.75,52.11999999999989,SAME_NEAREST,41.090000000000146,169.10999999999967,ONE_POSITION,CHALLENGE_OPENS,2026-02-26 16:30:00,5146.15,2.5955487336914818
2026JF,2026-02-27 15:07:00,UP,5201.02,5168.74,32.280000000000655,SAME_NEAREST,16.55999999999949,70.68000000000029,ONE_POSITION,OPEN_CENSORED,,,
