block,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl
2024,2024-01-03 11:44:00,DOWN,2055.8,,ACTIVE,DOWN,SEED,False,,,,2078.9,
2024,2024-01-05 15:30:00,DOWN,2030.61,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,17.580000000000155,2048.19,
2024,2024-01-05 16:29:00,UP,2048.19,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,2050.87,
2024,2024-01-05 17:00:00,UP,2050.87,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_OPPOSITE_TARGET,15.079999999999927,,2065.95,
2024,2024-01-08 13:18:00,DOWN,2024.42,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2063.96,
2024,2024-01-09 09:25:00,UP,2036.84,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,27.12000000000012,20.089999999999918,2063.96,2016.75
2024,2024-01-10 07:48:00,DOWN,2025.97,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2041.88,2016.75
2024,2024-01-11 15:30:00,UP,2041.88,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,22.079999999999927,21.49000000000001,2063.96,2020.39
2024,2024-01-11 18:24:00,DOWN,2020.39,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2063.96,2016.75
2024,2024-01-11 18:26:00,DOWN,2016.75,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,NO_SAME_TARGET,,47.210000000000036,2063.96,
2024,2024-01-12 12:50:00,UP,2043.91,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,2063.96,2013.25
2024,2024-01-16 05:38:00,DOWN,2049.2,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,OPPOSITE_NEAREST,35.94999999999982,9.370000000000346,2058.57,2013.25
2024,2024-01-17 16:55:00,DOWN,2013.25,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,19.670000000000073,2032.92,
2024,2024-01-19 14:04:00,UP,2032.92,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,2058.57,2001.78
2024,2024-01-23 07:33:00,UP,2030.11,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,9.190000000000055,13.699999999999818,2039.3,2016.41
2024,2024-01-24 09:44:00,UP,2030.63,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,7.179999999999836,9.300000000000182,2037.81,2021.33
2024,2024-01-24 16:45:00,DOWN,2022.74,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2037.81,2021.33
2024,2024-01-24 17:03:00,DOWN,2021.33,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,4.919999999999845,16.480000000000018,2037.81,2016.41
2024,2024-01-24 17:35:00,DOWN,2016.41,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,14.63000000000011,21.399999999999864,2037.81,2001.78
2024,2024-01-25 15:30:00,DOWN,2011.13,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,9.350000000000136,25.449999999999818,2036.58,2001.78
2024,2024-01-26 15:30:00,UP,2025.31,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,2036.58,2009.11
2024,2024-01-29 01:28:00,UP,2026.7,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,9.879999999999882,17.590000000000146,2036.58,2009.11
2024,2024-01-29 15:48:00,UP,2036.58,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.2300000000000182,20.679999999999836,2037.81,2015.9
2024,2024-01-30 09:35:00,UP,2039.3,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,19.27000000000021,18.799999999999955,2058.57,2020.5
2024,2024-01-31 16:42:00,UP,2048.55,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,10.019999999999982,19.5300000000002,2058.57,2029.02
2024,2024-02-01 13:09:00,DOWN,2030.77,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2055.96,2029.02
2024,2024-02-01 18:09:00,UP,2055.96,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,2.6100000000001273,26.940000000000055,2058.57,2029.02
