id,tf,side,price,source,known_at
H1_BSL_20240102_0800,H1,UP,2076.76,2024-01-02 08:00:00,2024-01-02 11:00:00
H1_SSL_20240102_1000,H1,DOWN,2071.77,2024-01-02 10:00:00,2024-01-02 13:00:00
H1_BSL_20240102_1100,H1,UP,2078.9,2024-01-02 11:00:00,2024-01-02 14:00:00
H1_SSL_20240102_1700,H1,DOWN,2055.8,2024-01-02 17:00:00,2024-01-02 20:00:00
H4_BSL_20240102_0800,H4,UP,2078.9,2024-01-02 08:00:00,2024-01-02 20:00:00
H1_SSL_20240102_2200,H1,DOWN,2057.95,2024-01-02 22:00:00,2024-01-03 02:00:00
H4_SSL_20240102_1600,H4,DOWN,2055.8,2024-01-02 16:00:00,2024-01-03 04:00:00
H1_BSL_20240103_0700,H1,UP,2065.95,2024-01-03 07:00:00,2024-01-03 10:00:00
H4_BSL_20240103_0400,H4,UP,2065.95,2024-01-03 04:00:00,2024-01-03 16:00:00
H1_BSL_20240103_1700,H1,UP,2048.72,2024-01-03 17:00:00,2024-01-03 20:00:00
H1_BSL_20240103_2100,H1,UP,2042.31,2024-01-03 21:00:00,2024-01-04 00:00:00
H1_SSL_20240103_2100,H1,DOWN,2030.61,2024-01-03 21:00:00,2024-01-04 00:00:00
H1_BSL_20240104_0100,H1,UP,2043.76,2024-01-04 01:00:00,2024-01-04 04:00:00
H1_SSL_20240104_0300,H1,DOWN,2040.07,2024-01-04 03:00:00,2024-01-04 06:00:00
H1_BSL_20240104_0500,H1,UP,2046.93,2024-01-04 05:00:00,2024-01-04 08:00:00
H4_SSL_20240103_2000,H4,DOWN,2030.61,2024-01-03 20:00:00,2024-01-04 08:00:00
H1_SSL_20240104_0700,H1,DOWN,2042.36,2024-01-04 07:00:00,2024-01-04 10:00:00
H1_BSL_20240104_1100,H1,UP,2050.87,2024-01-04 11:00:00,2024-01-04 14:00:00
H1_SSL_20240104_1600,H1,DOWN,2036.19,2024-01-04 16:00:00,2024-01-04 19:00:00
H1_BSL_20240104_1700,H1,UP,2047.73,2024-01-04 17:00:00,2024-01-04 20:00:00
H4_BSL_20240104_0800,H4,UP,2050.87,2024-01-04 08:00:00,2024-01-04 20:00:00
H1_SSL_20240105_0100,H1,DOWN,2042.65,2024-01-05 01:00:00,2024-01-05 04:00:00
H4_SSL_20240104_1600,H4,DOWN,2036.19,2024-01-04 16:00:00,2024-01-05 04:00:00
H1_BSL_20240105_0300,H1,UP,2048.19,2024-01-05 03:00:00,2024-01-05 06:00:00
H1_SSL_20240105_0800,H1,DOWN,2040.86,2024-01-05 08:00:00,2024-01-05 11:00:00
H1_BSL_20240105_0900,H1,UP,2046.95,2024-01-05 09:00:00,2024-01-05 12:00:00
H4_BSL_20240105_0000,H4,UP,2048.19,2024-01-05 00:00:00,2024-01-05 12:00:00
H1_SSL_20240105_1500,H1,DOWN,2024.42,2024-01-05 15:00:00,2024-01-05 18:00:00
H1_BSL_20240105_1700,H1,UP,2063.96,2024-01-05 17:00:00,2024-01-05 20:00:00
H1_SSL_20240105_1900,H1,DOWN,2040.41,2024-01-05 19:00:00,2024-01-05 22:00:00
H1_BSL_20240105_2100,H1,UP,2050.32,2024-01-05 21:00:00,2024-01-06 00:00:00
H4_SSL_20240105_1200,H4,DOWN,2024.42,2024-01-05 12:00:00,2024-01-06 00:00:00
H4_BSL_20240105_1600,H4,UP,2063.96,2024-01-05 16:00:00,2024-01-08 04:00:00
H1_BSL_20240108_0300,H1,UP,2046.52,2024-01-08 03:00:00,2024-01-08 06:00:00
H1_SSL_20240108_0700,H1,DOWN,2026.96,2024-01-08 07:00:00,2024-01-08 10:00:00
H1_SSL_20240108_1300,H1,DOWN,2016.75,2024-01-08 13:00:00,2024-01-08 16:00:00
H1_BSL_20240108_1800,H1,UP,2036.84,2024-01-08 18:00:00,2024-01-08 21:00:00
H4_SSL_20240108_1200,H4,DOWN,2016.75,2024-01-08 12:00:00,2024-01-09 00:00:00
H1_SSL_20240108_2200,H1,DOWN,2026.06,2024-01-08 22:00:00,2024-01-09 02:00:00
H4_BSL_20240108_1600,H4,UP,2036.84,2024-01-08 16:00:00,2024-01-09 04:00:00
H1_BSL_20240109_0400,H1,UP,2035.82,2024-01-09 04:00:00,2024-01-09 07:00:00
