block,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl
2026JF,2026-01-07 08:46:00,DOWN,4442.52,,ACTIVE,DOWN,SEED,False,,,,,4309.99
2026JF,2026-01-08 07:16:00,DOWN,4423.51,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,4500.43,4309.99
2026JF,2026-01-09 15:32:00,UP,4483.83,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,4500.43,4407.65
2026JF,2026-01-09 17:21:00,UP,4500.43,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,92.78000000000065,,4407.65
2026JF,2026-01-12 15:07:00,UP,4601.12,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,193.47000000000025,,4407.65
2026JF,2026-01-13 16:47:00,UP,4630.11,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,222.46000000000004,,4407.65
2026JF,2026-01-13 22:34:00,DOWN,4573.76,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,4407.65
2026JF,2026-01-14 07:01:00,UP,4634.53,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,NO_SAME_TARGET,,226.8800000000001,,4407.65
2026JF,2026-01-16 17:27:00,DOWN,4581.09,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,4624.78,4569.86
2026JF,2026-01-16 17:29:00,DOWN,4569.86,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,162.21000000000004,54.92000000000007,4624.78,4407.65
2026JF,2026-01-19 01:00:00,UP,4624.78,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,4642.89,4407.65
2026JF,2026-01-19 01:02:00,UP,4642.89,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,235.2400000000007,,4407.65
2026JF,2026-01-20 06:35:00,UP,4690.54,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,153.9300000000003,,4536.61
2026JF,2026-01-22 19:22:00,UP,4888.61,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,132.92000000000007,,4755.69
2026JF,2026-01-23 18:09:00,UP,4967.39,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,211.70000000000073,,4755.69
2026JF,2026-01-27 22:03:00,UP,5111.22,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,121.32000000000062,,4989.9
2026JF,2026-01-28 20:18:00,UP,5311.43,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,264.60000000000036,,5046.83
2026JF,2026-01-29 17:27:00,DOWN,5235.83,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,5597.99,5046.83
2026JF,2026-01-30 10:33:00,DOWN,5100.21,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,53.38000000000011,497.77999999999975,5597.99,5046.83
2026JF,2026-01-30 11:13:00,DOWN,5046.83,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,56.93000000000029,551.1599999999999,5597.99,4989.9
2026JF,2026-01-30 11:44:00,DOWN,4989.9,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,90.19999999999982,608.0900000000001,5597.99,4899.7
2026JF,2026-01-30 19:21:00,DOWN,4899.7,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,144.01000000000022,698.29,5597.99,4755.69
2026JF,2026-01-30 20:19:00,DOWN,4755.69,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,96.1899999999996,842.3000000000002,5597.99,4659.5
2026JF,2026-02-02 03:09:00,DOWN,4659.5,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,122.89000000000033,938.4899999999998,5597.99,4536.61
2026JF,2026-02-02 07:49:00,DOWN,4536.61,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,128.96000000000004,1061.38,5597.99,4407.65
2026JF,2026-02-02 08:38:00,DOWN,4407.65,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,97.65999999999985,1190.3400000000001,5597.99,4309.99
2026JF,2026-02-03 02:24:00,UP,4812.46,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,5597.99,4403.12
2026JF,2026-02-04 18:46:00,DOWN,4880.74,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,SAME_NEAREST,477.6199999999999,717.25,5597.99,4403.12
2026JF,2026-02-05 04:47:00,DOWN,4855.2,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,452.0799999999999,236.52000000000044,5091.72,4403.12
2026JF,2026-02-05 23:33:00,DOWN,4789.79,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,386.6700000000001,301.9300000000003,5091.72,4403.12
2026JF,2026-02-09 17:33:00,UP,5047.32,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,5091.72,4654.84
2026JF,2026-02-11 12:40:00,UP,5078.61,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,7.75,79.64999999999964,5086.36,4998.96
2026JF,2026-02-11 12:44:00,UP,5091.72,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,506.2699999999995,92.76000000000022,5597.99,4998.96
2026JF,2026-02-12 18:11:00,DOWN,5018.68,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,5099.99,4998.96
2026JF,2026-02-12 18:13:00,DOWN,4987.81,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,332.97000000000025,112.17999999999938,5099.99,4654.84
2026JF,2026-02-17 02:52:00,DOWN,4965.3,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,31.48999999999978,86.65999999999985,5051.96,4933.81
2026JF,2026-02-17 02:58:00,DOWN,4933.81,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,55.18000000000029,118.14999999999964,5051.96,4878.63
2026JF,2026-02-17 07:31:00,DOWN,4878.63,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,223.78999999999996,173.32999999999993,5051.96,4654.84
2026JF,2026-02-17 16:01:00,DOWN,4859.1,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,204.26000000000022,141.89999999999964,5001.0,4654.84
2026JF,2026-02-18 17:03:00,UP,5001.0,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,5051.96,4841.76
2026JF,2026-02-19 08:45:00,UP,5010.87,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,41.090000000000146,169.10999999999967,5051.96,4841.76
2026JF,2026-02-20 08:23:00,UP,5022.28,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,29.68000000000029,58.849999999999454,5051.96,4963.43
2026JF,2026-02-20 16:34:00,UP,5051.96,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,31.8100000000004,88.52999999999975,5083.77,4963.43
2026JF,2026-02-20 22:19:00,UP,5083.77,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,16.219999999999345,120.34000000000015,5099.99,4963.43
2026JF,2026-02-20 23:47:00,UP,5099.99,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,19.100000000000364,136.5599999999995,5119.09,4963.43
2026JF,2026-02-23 01:04:00,UP,5119.09,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,478.89999999999964,155.65999999999985,5597.99,4963.43
2026JF,2026-02-23 16:36:00,UP,5176.6,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,421.3899999999994,187.40000000000055,5597.99,4989.2
2026JF,2026-02-25 18:46:00,UP,5210.59,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,39.05000000000018,117.09000000000015,5249.64,5093.5
2026JF,2026-02-26 16:30:00,DOWN,5146.15,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,5217.58,5093.5
2026JF,2026-02-27 15:07:00,UP,5201.02,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,16.55999999999949,70.68000000000029,5217.58,5130.34
2026JF,2026-02-27 15:15:00,UP,5217.58,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,32.0600000000004,87.23999999999978,5249.64,5130.34
2026JF,2026-02-27 18:11:00,UP,5249.64,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,348.34999999999945,119.30000000000018,5597.99,5130.34
