feature,auc_all,within_pair,last_max,sign
relmedian_h4liq_same_d1_S,0.6167480406013104,0.6635359116022099,0.46,1
relmedian_h4liq_distance_ratio,0.6040151612488757,0.6408839779005525,0.476,1
ratiofirst_h4liq_same_d1_S,0.5973949633817295,0.6480662983425415,0.408,1
ratiofirst_h4liq_distance_ratio,0.5924129513041244,0.638121546961326,0.452,1
is_running_max_h4liq_distance_ratio,0.5619009379416677,0.4580110497237569,0.512,1
is_running_min_h4liq_distance_ratio,0.5555939226519337,0.7,0.944,-1
h4_birth_ratio_since_prev,0.5355952075035333,0.5480662983425414,0.708,1
h4_birth_balance_since_prev,0.5331507773352178,0.5480662983425414,0.72,1
is_running_min_h4liq_same_d1_S,0.5315639856096621,0.6585635359116022,0.908,-1
relmedian_h4liq_opp_age1_h,0.5295082230502377,0.5883977900552486,0.524,1
ratiofirst_h4liq_same_age1_h,0.5284016446100476,0.8624309392265194,0.888,1
h4_birth_opp_since_prev,0.5280884620326353,0.47845303867403316,0.696,-1
h4_active_opp_preroute_n,0.5261997301811641,0.5,1.0,-1
is_running_max_h4liq_same_d1_S,0.5255460619298471,0.3983425414364641,0.352,1
is_running_min_h4liq_opp_d1_S,0.5212803546190415,0.6558011049723756,0.924,-1
is_running_min_h4liq_opp_age1_h,0.5209912630091225,0.6513812154696133,0.888,-1
relmedian_h4liq_same_active_n,0.5204082615957857,0.8198895027624309,0.744,-1
current_liq_age_prior_percentile,0.5183974688423487,0.5911602209944752,0.604,-1
h4_birth_ratio_since_first,0.5179349222664783,0.5685082872928177,0.672,1
h4_active_same_routeborn_n,0.5169279198252601,0.5027624309392266,0.94,-1
h4_birth_balance_since_first,0.5166372221508415,0.5988950276243094,0.788,1
relmedian_h4liq_same_age1_h,0.5164332519593987,0.6657458563535912,0.556,1
ratiofirst_h4liq_opp_age1_h,0.5161794937684697,0.5966850828729282,0.476,1
is_running_min_h4liq_same_age1_h,0.5161216754464859,0.6359116022099448,0.968,-1
is_running_min_h4liq_same_active_n,0.5161152511884878,0.5011049723756906,0.944,1
is_running_max_current_liq_age_median_h,0.5155402800976487,0.612707182320442,0.776,-1
h4_replenish_net_since_first,0.5154583708081717,0.8917127071823204,0.944,-1
relmedian_h4liq_opp_d1_S,0.5145220352049339,0.611049723756906,0.516,1
is_running_max_h4liq_same_age1_h,0.5141092766285494,0.4994475138121547,0.94,1
is_running_min_current_liq_age_max_h,0.5140964281125531,0.39723756906077345,0.236,1
is_running_min_current_liq_age_median_h,0.51389245792111,0.3961325966850829,0.24,1
h4_birth_same_since_first,0.5136515482461776,0.8662983425414365,1.0,1
relmedian_h4liq_opp_active_n,0.5136419118591802,0.32209944751381214,0.48,-1
sl_progress_from_first_S,0.5130797892843376,0.8917127071823204,0.868,1
is_running_max_current_liq_age_max_h,0.5130412437363485,0.6093922651933702,0.772,-1
ratiofirst_h4liq_same_active_n,0.5127087883849415,0.8917127071823204,0.944,-1
h4_birth_same_since_prev,0.5126991519979442,0.5917127071823205,0.652,1
is_running_min_h4liq_opp_active_n,0.5120229988436336,0.3287292817679558,0.32,1
h4_active_routeborn_ratio,0.5102290247976359,0.8160220994475138,0.968,-1
current_liq_age_min_h,0.5096701143517923,0.39005524861878454,0.232,-1
h4_active_same_preroute_n,0.509289477065399,0.8917127071823204,1.0,-1
current_liq_age_ratio_prior_median,0.5087048695875627,0.5226519337016574,0.32,-1
current_liq_age_median_h,0.5084623538481305,0.3889502762430939,0.24,-1
h4_active_routeborn_balance,0.5082905049466786,0.8453038674033149,0.996,-1
current_liq_age_max_h,0.5070955929590133,0.3834254143646409,0.236,-1
sl_change_prev_S,0.506318257741231,0.5209944751381216,0.316,1
ratiofirst_h4liq_opp_d1_S,0.5044070409867661,0.6419889502762431,0.54,1
h4_replenish_ratio_since_first,0.5036007966079918,0.5640883977900553,0.296,1
is_running_max_h4liq_opp_age1_h,0.5035156751895156,0.3414364640883978,0.476,1
current_liq_age_vs_prior_median,0.50303546190415,0.4453038674033149,0.328,-1
is_running_max_h4liq_same_active_n,0.5022067326223822,0.6613259668508288,0.992,-1
ratiofirst_h4liq_opp_active_n,0.5018774893999743,0.16022099447513813,0.32,-1
is_running_max_h4liq_opp_d1_S,0.5008046383142747,0.36408839779005525,0.54,1
h4_active_opp_routeborn_n,0.5005573043813439,0.8397790055248618,1.0,1
h4_birth_opp_since_first,0.5004175767698831,0.8397790055248618,1.0,1
