N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_before_last,ha_before_last,changed,year,method,q,threshold,delta
288,527.5900000000017,1.611613456678494,0.6597222222222222,175.63000000000056,18.799999999999866,79.75,347.09000000000015,71,57,0.8028169014084507,35,30,62,2023,MECH_CUR_D1,0.5,1.402444589628278,-326.3599999999997
288,644.3600000000013,1.740116239002093,0.6666666666666666,151.33000000000015,19.93250000000004,79.75,395.7499999999998,71,46,0.647887323943662,26,20,51,2023,MECH_CUR_D1,0.7,2.0965557762184033,-209.59000000000015
288,650.1300000000008,1.7440431229829034,0.6770833333333334,161.8000000000004,19.93250000000004,79.75,384.6899999999996,71,30,0.4225352112676056,18,14,36,2023,MECH_CUR_D1,0.8,2.77940935435869,-203.82000000000062
288,649.880000000001,1.7110751252817489,0.6840277777777778,161.8000000000004,19.93250000000004,79.75,414.6500000000001,71,12,0.16901408450704225,7,6,14,2023,MECH_CUR_D1,0.9,4.114136020336241,-204.0700000000004
288,730.9000000000012,1.8131953716065887,0.6944444444444444,161.8000000000004,21.92149999999999,71.1400000000001,439.47000000000025,71,4,0.056338028169014086,2,2,6,2023,MECH_CUR_D1,0.95,7.1210944920050245,-123.05000000000018
288,520.9900000000011,1.5783829390410449,0.6493055555555556,150.03000000000043,19.154500000000066,79.75,378.31999999999994,71,62,0.8732394366197183,40,34,68,2023,DYN_SMALL__LOGIT,0.5,0.47161702802936467,-332.96000000000026
288,685.6000000000015,1.7710561534914615,0.6805555555555556,153.1800000000003,19.93250000000004,79.75,423.8599999999999,71,53,0.7464788732394366,32,25,56,2023,DYN_SMALL__LOGIT,0.7,0.5711162680682571,-168.3499999999999
288,739.5500000000018,1.8332957746478913,0.6840277777777778,157.84000000000037,21.92149999999999,79.75,446.28,71,45,0.6338028169014085,29,22,51,2023,DYN_SMALL__LOGIT,0.8,0.650169635950395,-114.39999999999964
288,736.510000000002,1.8215851413910462,0.6840277777777778,164.77000000000044,21.233999999999952,79.75,451.84000000000015,71,30,0.4225352112676056,16,11,29,2023,DYN_SMALL__LOGIT,0.9,0.7470494621348152,-117.43999999999937
288,765.9900000000014,1.8579348812203915,0.6909722222222222,155.99000000000024,21.233999999999952,71.1400000000001,467.22000000000025,71,13,0.18309859154929578,6,5,13,2023,DYN_SMALL__LOGIT,0.95,0.8487302273253443,-87.96000000000004
288,459.73000000000184,1.487162097722772,0.6527777777777778,149.11000000000035,18.799999999999866,79.75,366.20000000000005,71,56,0.7887323943661971,39,34,62,2023,DYN_SMALL__HGB,0.5,0.3158141566303777,-394.2199999999996
288,651.7900000000013,1.7385889765207172,0.6770833333333334,135.62000000000012,19.41899999999999,79.75,411.19000000000005,71,35,0.49295774647887325,25,22,36,2023,DYN_SMALL__HGB,0.7,0.5722509549233998,-202.16000000000008
288,686.0500000000011,1.7533381648877782,0.6875,152.78000000000043,21.233999999999952,71.1400000000001,436.1299999999999,71,18,0.2535211267605634,14,13,20,2023,DYN_SMALL__HGB,0.8,0.6959689386534339,-167.90000000000032
288,729.5500000000015,1.8000943158264175,0.6944444444444444,155.99000000000024,21.92149999999999,71.1400000000001,444.7500000000002,71,7,0.09859154929577464,6,5,10,2023,DYN_SMALL__HGB,0.9,0.8012390375781581,-124.39999999999986
288,762.9800000000012,1.856405248566075,0.7013888888888888,161.8000000000004,22.10300000000005,71.1400000000001,436.54999999999995,71,2,0.028169014084507043,1,1,4,2023,DYN_SMALL__HGB,0.95,0.8757394856396066,-90.97000000000025
288,571.650000000001,1.6685026662924523,0.6597222222222222,130.69000000000074,19.341499999999993,79.75,368.6200000000001,71,62,0.8732394366197183,41,32,70,2023,GEOM_DELTA__LOGIT,0.5,0.4505642315775974,-282.3000000000004
288,517.1800000000017,1.571198215212664,0.6493055555555556,161.62000000000057,19.341499999999993,79.75,368.6200000000001,71,50,0.704225352112676,36,29,60,2023,GEOM_DELTA__LOGIT,0.7,0.5900130652101903,-336.76999999999975
288,756.0700000000015,1.922993346761891,0.6770833333333334,157.84000000000037,21.233999999999952,79.75,419.6199999999999,71,47,0.6619718309859155,28,22,53,2023,GEOM_DELTA__LOGIT,0.8,0.6805244459750633,-97.87999999999988
288,803.2500000000016,1.9360797109893984,0.6840277777777778,161.8000000000004,22.10300000000005,71.1400000000001,462.25,71,37,0.5211267605633803,20,15,40,2023,GEOM_DELTA__LOGIT,0.9,0.7926421251950245,-50.69999999999982
288,772.0100000000011,1.8869600183823556,0.6909722222222222,161.8000000000004,21.233999999999952,71.1400000000001,454.44000000000005,71,28,0.39436619718309857,15,12,29,2023,GEOM_DELTA__LOGIT,0.95,0.8711187484222294,-81.94000000000028
288,477.42000000000166,1.5416179790577134,0.6354166666666666,145.61000000000058,18.53649999999997,79.75,347.09000000000015,71,67,0.9436619718309859,46,39,75,2023,GEOM_DELTA__HGB,0.5,0.27991956352087854,-376.52999999999975
288,789.8700000000008,2.0201875387476784,0.6944444444444444,148.12000000000035,21.233999999999952,79.75,395.1099999999997,71,51,0.7183098591549296,28,20,55,2023,GEOM_DELTA__HGB,0.7,0.5755630532893274,-64.08000000000061
288,771.3100000000013,1.9216164223154248,0.6944444444444444,152.78000000000043,21.233999999999952,71.1400000000001,424.43000000000006,71,29,0.4084507042253521,15,12,32,2023,GEOM_DELTA__HGB,0.8,0.7107246459972177,-82.6400000000001
288,755.610000000002,1.851535470783798,0.6979166666666666,155.99000000000024,22.10300000000005,71.1400000000001,438.6700000000003,71,11,0.15492957746478872,5,3,10,2023,GEOM_DELTA__HGB,0.9,0.8187400038488714,-98.33999999999946
288,870.000000000002,1.9791563498852063,0.7013888888888888,155.99000000000024,22.10300000000005,135.6500000000001,539.9200000000003,71,5,0.07042253521126761,2,0,4,2023,GEOM_DELTA__HGB,0.95,0.8565227755762244,16.050000000000637
288,550.2000000000023,1.6155946160645396,0.6597222222222222,153.81000000000063,18.799999999999866,79.75,388.5100000000002,71,60,0.8450704225352113,41,34,68,2023,FULL_NO_RANK__LOGIT,0.5,0.42676909287913617,-303.7499999999991
288,703.610000000001,1.8282441849515048,0.6805555555555556,152.78000000000043,19.93250000000004,79.75,419.6199999999999,71,49,0.6901408450704225,31,24,54,2023,FULL_NO_RANK__LOGIT,0.7,0.6014458104970064,-150.34000000000037
288,853.5400000000016,2.04430279079442,0.6909722222222222,152.78000000000043,22.10300000000005,71.1400000000001,462.25,71,42,0.5915492957746479,27,20,48,2023,FULL_NO_RANK__LOGIT,0.8,0.7367272529225098,-0.4099999999998545
288,806.5400000000018,1.9517257655318936,0.6840277777777778,161.8000000000004,22.10300000000005,71.1400000000001,462.25,71,37,0.5211267605633803,24,17,43,2023,FULL_NO_RANK__LOGIT,0.9,0.8432618885195411,-47.40999999999963
288,768.9000000000021,1.8868102971027907,0.6875,155.99000000000024,21.233999999999952,71.1400000000001,446.0500000000002,71,28,0.39436619718309857,17,12,32,2023,FULL_NO_RANK__LOGIT,0.95,0.9077114867089645,-85.04999999999927
288,650.3800000000015,1.789487739742659,0.6666666666666666,136.61000000000035,19.569999999999933,79.75,378.78,71,47,0.6619718309859155,30,26,54,2023,FULL_NO_RANK__TREE2,0.5,0.6836399869436004,-203.56999999999994
288,650.3800000000015,1.789487739742659,0.6666666666666666,136.61000000000035,19.569999999999933,79.75,378.78,71,47,0.6619718309859155,30,26,54,2023,FULL_NO_RANK__TREE2,0.7,0.6836399869436004,-203.56999999999994
288,650.3800000000015,1.789487739742659,0.6666666666666666,136.61000000000035,19.569999999999933,79.75,378.78,71,47,0.6619718309859155,30,26,54,2023,FULL_NO_RANK__TREE2,0.8,0.6836399869436004,-203.56999999999994
288,650.3800000000015,1.789487739742659,0.6666666666666666,136.61000000000035,19.569999999999933,79.75,378.78,71,47,0.6619718309859155,30,26,54,2023,FULL_NO_RANK__TREE2,0.9,0.6836399869436004,-203.56999999999994
288,650.3800000000015,1.789487739742659,0.6666666666666666,136.61000000000035,19.569999999999933,79.75,378.78,71,47,0.6619718309859155,30,26,54,2023,FULL_NO_RANK__TREE2,0.95,0.6836399869436004,-203.56999999999994
288,538.7100000000021,1.601729087314445,0.6527777777777778,161.1000000000006,19.154500000000066,79.75,379.6500000000003,71,62,0.8732394366197183,39,34,70,2023,FULL_NO_RANK__HGB,0.5,0.2127251944419909,-315.2399999999993
288,846.8600000000017,1.999622276257705,0.7083333333333334,161.8000000000004,21.92149999999999,79.75,467.91999999999985,71,23,0.323943661971831,14,10,30,2023,FULL_NO_RANK__HGB,0.7,0.6724680214214414,-7.089999999999691
288,767.2900000000018,1.8660451256814596,0.6944444444444444,161.8000000000004,21.92149999999999,71.1400000000001,454.6300000000001,71,10,0.14084507042253522,7,5,12,2023,FULL_NO_RANK__HGB,0.8,0.8053286234797851,-86.65999999999963
288,859.6800000000019,1.9661279809399688,0.6944444444444444,161.8000000000004,22.10300000000005,139.51,532.72,71,3,0.04225352112676056,2,2,4,2023,FULL_NO_RANK__HGB,0.9,0.8814167914984852,5.730000000000473
288,854.4400000000014,1.9532011735963168,0.6979166666666666,161.8000000000004,22.10300000000005,139.51,532.72,71,1,0.014084507042253521,1,1,1,2023,FULL_NO_RANK__HGB,0.95,0.9055415740600647,0.4900000000000091
288,550.2000000000023,1.6155946160645396,0.6597222222222222,153.81000000000063,18.799999999999866,79.75,388.5100000000002,71,60,0.8450704225352113,41,34,68,2023,FULL_WITH_RANK__LOGIT,0.5,0.4268582265278906,-303.7499999999991
288,703.610000000001,1.8282441849515048,0.6805555555555556,152.78000000000043,19.93250000000004,79.75,419.6199999999999,71,49,0.6901408450704225,31,24,54,2023,FULL_WITH_RANK__LOGIT,0.7,0.6015106383205139,-150.34000000000037
288,853.5400000000016,2.04430279079442,0.6909722222222222,152.78000000000043,22.10300000000005,71.1400000000001,462.25,71,42,0.5915492957746479,27,20,48,2023,FULL_WITH_RANK__LOGIT,0.8,0.7365334722439618,-0.4099999999998545
288,806.5400000000018,1.9517257655318936,0.6840277777777778,161.8000000000004,22.10300000000005,71.1400000000001,462.25,71,37,0.5211267605633803,24,17,43,2023,FULL_WITH_RANK__LOGIT,0.9,0.8433010603579981,-47.40999999999963
288,768.9000000000021,1.8868102971027907,0.6875,155.99000000000024,21.233999999999952,71.1400000000001,446.0500000000002,71,28,0.39436619718309857,17,12,32,2023,FULL_WITH_RANK__LOGIT,0.95,0.9077389515848496,-85.04999999999927
