year,method,auc,ap
2024,MECH_CUR_D1,0.6003593429158112,0.4318220612442726
2024,DYN_SMALL__LOGIT,0.5970572728786282,0.4718619373676853
2024,DYN_SMALL__HGB,0.5480222265386537,0.4250864360687007
2024,GEOM_DELTA__LOGIT,0.5671999001054443,0.4389411219002175
2024,GEOM_DELTA__HGB,0.49759281869138133,0.37923940025154956
2024,FULL_NO_RANK__LOGIT,0.5257089738609246,0.4050534214012556
2024,FULL_NO_RANK__TREE2,0.5865059104278817,0.424980488967672
2024,FULL_NO_RANK__HGB,0.4678186913813197,0.3483125860527049
2024,FULL_WITH_RANK__LOGIT,0.5335756701259782,0.40981548617953334
2025,MECH_CUR_D1,0.6502929694419056,0.45468503926298415
2025,DYN_SMALL__LOGIT,0.6465732848711572,0.46011970119837375
2025,DYN_SMALL__HGB,0.6027837410816134,0.42779782103184694
2025,GEOM_DELTA__LOGIT,0.6228452398665164,0.4509763261580262
2025,GEOM_DELTA__HGB,0.5897542174137919,0.4034112767972966
2025,FULL_NO_RANK__LOGIT,0.5851311808758617,0.41456511071005886
2025,FULL_NO_RANK__TREE2,0.6255552957680617,0.4159738920200215
2025,FULL_NO_RANK__HGB,0.5875259492280769,0.4000636806826288
2025,FULL_WITH_RANK__LOGIT,0.5760338951828314,0.4058295879934811
2026,MECH_CUR_D1,0.5982395713738997,0.3552416440246333
2026,DYN_SMALL__LOGIT,0.6256218905472637,0.464450665646507
2026,DYN_SMALL__HGB,0.6410065059318791,0.39740026081144963
2026,GEOM_DELTA__LOGIT,0.6166666666666667,0.4598629109348704
2026,GEOM_DELTA__HGB,0.5514734022196709,0.343723010878206
2026,FULL_NO_RANK__LOGIT,0.5976655185610409,0.4560179814804757
2026,FULL_NO_RANK__TREE2,0.5790566398775354,0.35938839309235976
2026,FULL_NO_RANK__HGB,0.565614236509759,0.38850635900339786
2026,FULL_WITH_RANK__LOGIT,0.5973210868733256,0.4570789149422946
