N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_before_last,ha_before_last,changed,year,method,selected_q,val_delta,base_pnl,oracle_pnl,delta,oracle_recovery
241,1039.9499999999991,1.762376382789991,0.6182572614107884,146.52999999999884,38.04000000000042,107.55999999999996,726.9799999999998,84,14,0.16666666666666666,8,7,20,2024,MECH_CUR_D1,0.95,-123.05000000000018,1287.8899999999983,2001.3899999999983,-247.93999999999915,-0.347498248072879
241,1096.8999999999978,1.794227747648594,0.6224066390041494,152.7700000000009,39.08999999999992,133.47000000000003,704.4799999999998,84,14,0.16666666666666666,4,2,5,2024,DYN_SMALL__LOGIT,0.95,-87.96000000000004,1287.8899999999983,2001.3899999999983,-190.99000000000046,-0.2676804484933433
241,1299.0699999999983,1.9416757881307383,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,891.8299999999992,84,5,0.05952380952380952,2,1,3,2024,DYN_SMALL__HGB,0.95,-90.97000000000025,1287.8899999999983,2001.3899999999983,11.180000000000064,0.01566923615977584
241,1152.799999999998,1.8262377798801614,0.6182572614107884,152.7700000000009,40.1899999999996,133.47000000000003,768.5799999999997,84,12,0.14285714285714285,5,3,5,2024,GEOM_DELTA__LOGIT,0.9,-50.69999999999982,1287.8899999999983,2001.3899999999983,-135.09000000000037,-0.18933426769446443
241,1283.9499999999985,1.924529796365101,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,5,0.05952380952380952,2,2,3,2024,GEOM_DELTA__HGB,0.95,16.050000000000637,1287.8899999999983,2001.3899999999983,-3.939999999999827,-0.005522074281709638
241,1172.5499999999972,1.8601767963907097,0.6224066390041494,139.79999999999927,40.1899999999996,116.41999999999985,751.5299999999995,84,17,0.20238095238095238,7,5,12,2024,FULL_NO_RANK__LOGIT,0.8,-0.4099999999998545,1287.8899999999983,2001.3899999999983,-115.34000000000106,-0.1616538192011227
241,1028.7399999999986,1.769519620603502,0.6390041493775933,152.7700000000009,38.04000000000042,116.5,621.9799999999993,84,30,0.35714285714285715,20,16,43,2024,FULL_NO_RANK__TREE2,0.95,-203.56999999999994,1287.8899999999983,2001.3899999999983,-259.14999999999964,-0.3632095304835314
241,1230.5099999999977,1.891267030268788,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,854.6999999999991,84,5,0.05952380952380952,2,2,4,2024,FULL_NO_RANK__HGB,0.9,5.730000000000473,1287.8899999999983,2001.3899999999983,-57.380000000000564,-0.08042046250876042
241,1175.0699999999972,1.8620254557458795,0.6224066390041494,139.79999999999927,40.1899999999996,116.41999999999985,758.0499999999995,84,18,0.21428571428571427,7,5,12,2024,FULL_WITH_RANK__LOGIT,0.8,-0.4099999999998545,1287.8899999999983,2001.3899999999983,-112.82000000000107,-0.1581219341275418
241,2197.1000000000017,2.1095287873508384,0.6846473029045643,319.3000000000002,73.88000000000011,171.3699999999999,1241.5399999999995,67,17,0.2537313432835821,9,9,22,2025,MECH_CUR_D1,0.95,-247.93999999999915,2711.210000000002,4244.119999999999,-514.1100000000001,-0.335381724954499
241,2481.6000000000013,2.3372707089431612,0.6846473029045643,311.55000000000064,80.64999999999964,182.12999999999965,1310.44,67,21,0.31343283582089554,12,10,24,2025,DYN_SMALL__LOGIT,0.9,-146.69000000000028,2711.210000000002,4244.119999999999,-229.61000000000058,-0.14978700641264067
241,2682.520000000003,2.375326845974799,0.6763485477178424,292.57000000000016,92.26999999999998,247.53999999999996,1467.670000000001,67,13,0.19402985074626866,7,5,13,2025,DYN_SMALL__HGB,0.95,11.180000000000064,2711.210000000002,4244.119999999999,-28.68999999999869,-0.01871603681886004
241,2573.8800000000037,2.341512738189555,0.6887966804979253,319.3000000000002,92.2199999999998,161.8099999999995,1282.190000000001,67,18,0.26865671641791045,9,7,17,2025,GEOM_DELTA__LOGIT,0.95,38.30999999999972,2711.210000000002,4244.119999999999,-137.3299999999981,-0.08958777749508998
241,2694.0299999999997,2.3894559314253887,0.6846473029045643,313.71000000000004,92.2199999999998,182.12999999999965,1406.1,67,11,0.16417910447761194,5,4,15,2025,GEOM_DELTA__HGB,0.95,-3.939999999999827,2711.210000000002,4244.119999999999,-17.18000000000211,-0.011207442054655617
241,2839.440000000003,2.5302004742401416,0.6970954356846473,319.3000000000002,92.26999999999998,241.4699999999998,1419.2200000000007,67,18,0.26865671641791045,9,6,19,2025,FULL_NO_RANK__LOGIT,0.95,22.810000000000173,2711.210000000002,4244.119999999999,128.23000000000093,0.08365135591783025
241,2029.3100000000054,2.183181449802644,0.6763485477178424,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,63,0.9402985074626866,36,33,74,2025,FULL_NO_RANK__TREE2,0.7,-239.15000000000077,2711.210000000002,4244.119999999999,-681.8999999999965,-0.44484020588292705
241,2553.0400000000022,2.2963542195592592,0.6846473029045643,313.71000000000004,87.52000000000044,241.4699999999998,1398.4900000000007,67,5,0.07462686567164178,3,2,5,2025,FULL_NO_RANK__HGB,0.95,4.0,2711.210000000002,4244.119999999999,-158.16999999999962,-0.1031828352610394
241,2613.730000000003,2.4085632679456817,0.6970954356846473,319.3000000000002,92.2199999999998,161.8099999999995,1282.190000000001,67,19,0.2835820895522388,10,7,21,2025,FULL_WITH_RANK__LOGIT,0.95,22.810000000000173,2711.210000000002,4244.119999999999,-97.47999999999865,-0.06359146981884053
165,3394.860000000001,2.344653445346201,0.6909090909090909,415.60000000000036,166.22999999999945,394.10000000000036,2255.6,49,25,0.5102040816326531,12,10,34,2026,MECH_CUR_D1,0.8,-328.219999999998,3429.270000000001,5380.109999999999,-34.409999999999854,-0.017638555699083416
165,4015.230000000001,2.427033539586808,0.6787878787878788,440.34999999999854,180.06199999999973,592.9399999999996,2937.3199999999993,49,12,0.24489795918367346,6,4,13,2026,DYN_SMALL__LOGIT,0.95,107.05999999999995,3429.270000000001,5380.109999999999,585.96,0.30036292058805475
165,3780.860000000002,2.3002923272689775,0.6606060606060606,425.83999999999924,185.95999999999995,592.9399999999996,2999.3199999999993,49,11,0.22448979591836735,8,6,11,2026,DYN_SMALL__HGB,0.95,-28.68999999999869,3429.270000000001,5380.109999999999,351.59000000000106,0.18022492874864235
165,3043.5100000000007,2.1939172596678165,0.6727272727272727,415.60000000000036,166.22999999999945,394.10000000000036,2241.7599999999993,49,38,0.7755102040816326,20,16,41,2026,GEOM_DELTA__LOGIT,0.7,17.830000000003565,3429.270000000001,5380.109999999999,-385.7600000000002,-0.1977404605195714
165,3265.5000000000005,2.119890531600771,0.6666666666666666,440.34999999999854,174.46199999999925,592.9399999999996,2579.6699999999987,49,7,0.14285714285714285,5,4,6,2026,GEOM_DELTA__HGB,0.95,-17.18000000000211,3429.270000000001,5380.109999999999,-163.77000000000044,-0.08394845297410378
165,3562.650000000001,2.2542466563632093,0.6727272727272727,440.34999999999854,174.46199999999925,592.9399999999996,2686.019999999999,49,14,0.2857142857142857,7,6,14,2026,FULL_NO_RANK__LOGIT,0.95,128.23000000000093,3429.270000000001,5380.109999999999,133.3800000000001,0.06837054807160006
165,3508.8500000000004,2.2865701850554956,0.6727272727272727,415.60000000000036,174.46199999999925,592.9399999999996,2659.819999999999,49,20,0.40816326530612246,10,6,21,2026,FULL_NO_RANK__TREE2,0.95,-681.8999999999965,3429.270000000001,5380.109999999999,79.57999999999947,0.040792684177072214
165,3214.630000000002,2.1836508509275165,0.6666666666666666,415.60000000000036,178.3019999999993,394.10000000000036,2403.8999999999996,49,22,0.4489795918367347,13,9,23,2026,FULL_NO_RANK__HGB,0.8,-110.1299999999992,3429.270000000001,5380.109999999999,-214.63999999999896,-0.11002439974575014
165,3215.0999999999995,2.1738611345389236,0.6545454545454545,570.9699999999984,185.95999999999995,394.10000000000036,2482.4399999999987,49,33,0.673469387755102,20,15,37,2026,FULL_WITH_RANK__LOGIT,0.8,-75.95999999999776,3429.270000000001,5380.109999999999,-214.17000000000144,-0.10978347788644977
