N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_exact_last,arm_early,ha_before_true_last,changed,year,method,selected_q,val_year,val_delta,base_pnl,oracle_pnl,delta,oracle_recovery
241,1028.879999999999,1.7593546577708228,0.6224066390041494,146.52999999999884,38.04000000000042,107.55999999999996,720.4599999999998,84,14,0.16666666666666666,6,8,7,19,2024,MECH_D1,0.95,2023,-23.600000000000364,1287.8899999999983,2001.3899999999983,-259.0099999999993,-0.36301331464610975
241,899.469999999998,1.695726495726494,0.6224066390041494,141.58999999999924,37.11000000000013,107.55999999999996,585.7299999999989,84,24,0.2857142857142857,10,14,13,32,2024,MECH4,0.9,2023,-4.850000000000136,1287.8899999999983,2001.3899999999983,-388.4200000000003,-0.5443868255080593
241,1273.639999999998,1.9405665672170838,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,833.589999999999,84,5,0.05952380952380952,1,4,3,6,2024,H4BASE_LOGIT,0.95,2023,-121.36000000000104,1287.8899999999983,2001.3899999999983,-14.250000000000227,-0.01997196916608301
241,1026.33,1.76401926555649,0.6141078838174274,152.7700000000009,38.17000000000007,116.5,676.8900000000001,84,19,0.2261904761904762,8,11,7,21,2024,SMALL_LOGIT,0.9,2023,-90.42000000000007,1287.8899999999983,2001.3899999999983,-261.55999999999835,-0.3665872459705653
241,952.5499999999981,1.6986577673463379,0.6182572614107884,152.7700000000009,38.17000000000007,107.55999999999996,654.6199999999997,84,12,0.14285714285714285,3,9,7,14,2024,SMALL_HGB,0.9,2023,-118.55999999999904,1287.8899999999983,2001.3899999999983,-335.34000000000015,-0.46999299229152086
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.95,2023,-160.80999999999926,1287.8899999999983,2001.3899999999983,-251.60999999999967,-0.3526419060967059
241,1255.5899999999992,1.915413273452365,0.6265560165975104,152.7700000000009,42.289999999999964,158.13999999999987,843.8799999999999,84,10,0.11904761904761904,3,7,5,13,2024,H4ALL_HGB,0.9,2023,-64.25000000000023,1287.8899999999983,2001.3899999999983,-32.299999999999045,-0.045269796776452764
241,2197.1000000000017,2.1095287873508384,0.6846473029045643,319.3000000000002,73.88000000000011,171.3699999999999,1241.5399999999995,67,19,0.2835820895522388,10,9,9,22,2025,MECH_D1,0.95,2024,-259.0099999999993,2711.210000000002,4244.119999999999,-514.1100000000001,-0.335381724954499
241,2637.300000000001,2.343764967237674,0.6763485477178424,319.3000000000002,92.26999999999998,167.55000000000018,1314.3600000000001,67,14,0.208955223880597,1,13,11,24,2025,MECH4,0.95,2024,-131.05999999999995,2711.210000000002,4244.119999999999,-73.91000000000076,-0.04821548557971499
241,2669.4700000000025,2.4267839676745253,0.6929460580912863,285.75999999999976,87.52000000000044,161.8099999999995,1260.300000000001,67,10,0.14925373134328357,6,4,3,11,2025,H4BASE_LOGIT,0.95,2024,-14.250000000000227,2711.210000000002,4244.119999999999,-41.73999999999933,-0.02722925677306522
241,3274.310000000002,2.8773852116875416,0.7053941908713693,304.21000000000004,96.19999999999982,256.5300000000002,1566.3300000000008,67,24,0.3582089552238806,11,13,12,34,2025,SMALL_LOGIT,0.95,2024,-0.13999999999919055,2711.210000000002,4244.119999999999,563.1000000000004,0.3673405483687897
241,2923.0300000000025,2.530670702331333,0.6846473029045643,319.3000000000002,92.2199999999998,241.4699999999998,1461.6000000000008,67,8,0.11940298507462686,4,4,2,11,2025,SMALL_HGB,0.95,2024,-102.84000000000015,2711.210000000002,4244.119999999999,211.82000000000062,0.1381816284061041
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.95,2024,-251.60999999999967,2711.210000000002,4244.119999999999,-737.6299999999969,-0.4811958953885083
241,2673.490000000002,2.416133440684792,0.6721991701244814,262.5,87.52000000000044,241.4699999999998,1431.5800000000008,67,9,0.13432835820895522,4,5,3,9,2025,H4ALL_HGB,0.9,2024,-32.299999999999045,2711.210000000002,4244.119999999999,-37.7199999999998,-0.024606793614758773
165,2859.9399999999996,2.086380453858252,0.6787878787878788,415.60000000000036,143.45799999999994,287.75,2029.4499999999998,49,22,0.4489795918367347,10,12,11,29,2026,MECH_D1,0.8,2025,-235.57999999999765,3429.270000000001,5380.109999999999,-569.3300000000013,-0.29183838756638264
165,3618.86,2.2159208125716106,0.6727272727272727,440.34999999999854,180.06199999999973,592.9399999999996,2772.179999999999,49,3,0.061224489795918366,2,1,1,4,2026,MECH4,0.95,2025,-73.91000000000076,3429.270000000001,5380.109999999999,189.58999999999924,0.09718377724467381
165,2589.320000000002,1.9364155160317396,0.6606060606060606,649.9799999999977,139.97599999999957,394.10000000000036,2107.739999999999,49,26,0.5306122448979592,9,17,13,25,2026,H4BASE_LOGIT,0.7,2025,207.0800000000022,3429.270000000001,5380.109999999999,-839.9499999999989,-0.4305581185540587
165,3120.609999999999,2.086574720488028,0.6727272727272727,440.34999999999854,180.06199999999973,365.3199999999997,2380.049999999999,49,13,0.2653061224489796,4,9,8,16,2026,SMALL_LOGIT,0.95,2025,563.1000000000004,3429.270000000001,5380.109999999999,-308.6600000000017,-0.15821902360009124
165,3253.6200000000003,2.093418558696617,0.6727272727272727,425.83999999999924,185.95999999999995,592.9399999999996,2641.889999999999,49,11,0.22448979591836735,5,6,6,12,2026,SMALL_HGB,0.95,2025,211.82000000000062,3429.270000000001,5380.109999999999,-175.65000000000055,-0.09003813741772812
165,2305.5599999999986,1.8617466220635779,0.6484848484848484,415.60000000000036,114.14400000000005,394.10000000000036,1967.7999999999993,49,43,0.8775510204081632,15,28,21,49,2026,H4ALL_TREE2,0.95,2025,-737.6299999999969,3429.270000000001,5380.109999999999,-1123.7100000000023,-0.5760134096081706
165,2572.8999999999987,1.9014561201894777,0.6606060606060606,425.83999999999924,141.8060000000001,287.75,2041.539999999999,49,15,0.30612244897959184,7,8,7,16,2026,H4ALL_HGB,0.8,2025,329.5399999999995,3429.270000000001,5380.109999999999,-856.3700000000022,-0.4389750056385983
